"Zupanija","2014 Privatno Putovanja Inozemstvo 1 i više noæenja","2014 Privatno Putovanja Inozemstvo 1 - 3 noæenja","2014 Privatno Putovanja Inozemstvo 4 i više noæenja","2014 Privatno Putovanja Hrvatska 1 i više noæenja","2014 Privatno Putovanja Hrvatska 1 - 3 noæenja","2014 Privatno Putovanja Hrvatska 4 i više noæenja","2014 Privatno Noæenja Inozemstvo 1 i više noæenja","2014 Privatno Noæenja Inozemstvo 1 - 3 noæenja","2014 Privatno Noæenja Inozemstvo 4 i više noæenja","2014 Privatno Noæenja Hrvatska 1 i više noæenja","2014 Privatno Noæenja Hrvatska 1 - 3 noæenja","2014 Privatno Noæenja Hrvatska 4 i više noæenja","2014 Privatno Izdaci Inozemstvo 1 i više noæenja","2014 Privatno Izdaci Inozemstvo 1 - 3 noæenja","2014 Privatno Izdaci Inozemstvo 4 i više noæenja","2014 Privatno Izdaci Hrvatska 1 i više noæenja","2014 Privatno Izdaci Hrvatska 1 - 3 noæenja","2014 Privatno Izdaci Hrvatska 4 i više noæenja","2014 Poslovno Putovanja Inozemstvo 1 i više noæenja","2014 Poslovno Putovanja Inozemstvo 1 - 3 noæenja","2014 Poslovno Putovanja Inozemstvo 4 i više noæenja","2014 Poslovno Putovanja Hrvatska 1 i više noæenja","2014 Poslovno Putovanja Hrvatska 1 - 3 noæenja","2014 Poslovno Putovanja Hrvatska 4 i više noæenja","2014 Poslovno Noæenja Inozemstvo 1 i više noæenja","2014 Poslovno Noæenja Inozemstvo 1 - 3 noæenja","2014 Poslovno Noæenja Inozemstvo 4 i više noæenja","2014 Poslovno Noæenja Hrvatska 1 i više noæenja","2014 Poslovno Noæenja Hrvatska 1 - 3 noæenja","2014 Poslovno Noæenja Hrvatska 4 i više noæenja","2014 Poslovno Izdaci Inozemstvo 1 i više noæenja","2014 Poslovno Izdaci Inozemstvo 1 - 3 noæenja","2014 Poslovno Izdaci Inozemstvo 4 i više noæenja","2014 Poslovno Izdaci Hrvatska 1 i više noæenja","2014 Poslovno Izdaci Hrvatska 1 - 3 noæenja","2014 Poslovno Izdaci Hrvatska 4 i više noæenja","2015 Privatno Putovanja Inozemstvo 1 i više noæenja","2015 Privatno Putovanja Inozemstvo 1 - 3 noæenja","2015 Privatno Putovanja Inozemstvo 4 i više noæenja","2015 Privatno Putovanja Hrvatska 1 i više noæenja","2015 Privatno Putovanja Hrvatska 1 - 3 noæenja","2015 Privatno Putovanja Hrvatska 4 i više noæenja","2015 Privatno Noæenja Inozemstvo 1 i više noæenja","2015 Privatno Noæenja Inozemstvo 1 - 3 noæenja","2015 Privatno Noæenja Inozemstvo 4 i više noæenja","2015 Privatno Noæenja Hrvatska 1 i više noæenja","2015 Privatno Noæenja Hrvatska 1 - 3 noæenja","2015 Privatno Noæenja Hrvatska 4 i više noæenja","2015 Privatno Izdaci Inozemstvo 1 i više noæenja","2015 Privatno Izdaci Inozemstvo 1 - 3 noæenja","2015 Privatno Izdaci Inozemstvo 4 i više noæenja","2015 Privatno Izdaci Hrvatska 1 i više noæenja","2015 Privatno Izdaci Hrvatska 1 - 3 noæenja","2015 Privatno Izdaci Hrvatska 4 i više noæenja","2015 Poslovno Putovanja Inozemstvo 1 i više noæenja","2015 Poslovno Putovanja Inozemstvo 1 - 3 noæenja","2015 Poslovno Putovanja Inozemstvo 4 i više noæenja","2015 Poslovno Putovanja Hrvatska 1 i više noæenja","2015 Poslovno Putovanja Hrvatska 1 - 3 noæenja","2015 Poslovno Putovanja Hrvatska 4 i više noæenja","2015 Poslovno Noæenja Inozemstvo 1 i više noæenja","2015 Poslovno Noæenja Inozemstvo 1 - 3 noæenja","2015 Poslovno Noæenja Inozemstvo 4 i više noæenja","2015 Poslovno Noæenja Hrvatska 1 i više noæenja","2015 Poslovno Noæenja Hrvatska 1 - 3 noæenja","2015 Poslovno Noæenja Hrvatska 4 i više noæenja","2015 Poslovno Izdaci Inozemstvo 1 i više noæenja","2015 Poslovno Izdaci Inozemstvo 1 - 3 noæenja","2015 Poslovno Izdaci Inozemstvo 4 i više noæenja","2015 Poslovno Izdaci Hrvatska 1 i više noæenja","2015 Poslovno Izdaci Hrvatska 1 - 3 noæenja","2015 Poslovno Izdaci Hrvatska 4 i više noæenja"
"Zagrebaèka županija",136241,73913,62328,270313,139559,130753,781602,128901,652700,1909651,251308,1658344,246020013,75012481,171007533,250016301,64436281,185580020,32029,20176,11852,44661,36200,8462,332349,49656,282694,475740,53280,422460,125313848,62048786,63265062,110636081,54049006,56587075,145607,97223,48384,245447,100501,144946,1591192,213464,1377728,1603820,219788,1384032,385493387,204057668,181435720,394624845,89972129,304652716,47703,30502,17201,38282,26371,11910,176997,65259,111737,148676,58183,90493,223930623,121942704,101987919,70853926,38777611,32076315
"Krapinsko-zagorska županija",29364,14778,14586,90144,49917,40227,117224,31866,85359,559600,94692,464909,83462416,28891028,54571388,77377250,24940359,52436892,22305,19571,2734,9298,9298,..,78880,43918,34963,15254,15254,..,78170010,67521884,10648126,8712245,8712245,..,30603,11564,19039,70759,32334,38425,236564,21694,214871,394709,69626,325084,122241188,17467751,104773437,74369975,17492472,56877503,27125,2258,24867,14188,13987,201,231847,6774,225073,28643,27838,804,179095039,11749948,167345091,28098723,27636238,462485
"Sisaèko-moslavaèka županija",75296,34179,41117,170396,112635,57761,418358,70102,348256,667224,205072,462152,139322120,47744790,91577330,110851247,50748346,60102901,49084,17555,31529,12731,12295,436,343992,24177,319815,19172,15685,3487,312792572,53319263,259473309,13188352,12752457,435895,79406,41698,37708,93230,26231,66999,408551,101626,306925,681412,60229,621183,66277147,19543534,46733613,114596351,15158455,99437896,12751,6445,6306,2921,2921,..,40309,11155,29154,6425,6425,..,34954202,8039208,26914994,2880767,2880767,..
"Karlovaèka županija",46808,17848,28960,95615,58985,36630,455020,37708,417311,427796,103356,324441,159761216,27203260,132557956,87428575,30713581,56714994,436,436,..,14211,14211,..,872,872,..,21754,21754,..,1379609,1379609,..,10385135,10385135,..,35187,24320,10867,115365,51589,63776,144212,51605,92607,888235,110622,777613,73352258,34408598,38943660,132520282,26649449,105870833,6354,4768,1586,833,625,208,94272,8650,85622,3541,1458,2083,17730536,15352153,2378383,1395411,770600,624811
"Varaždinska županija",51233,22111,29122,128466,52997,75470,245291,54500,190791,615036,93070,521966,143904678,35417271,108487407,132556117,46174878,86381240,23098,23098,..,11556,8613,2942,34504,34504,..,40963,13321,27642,45784605,45784605,..,17910111,15734417,2175694,77889,35920,41970,125738,60651,65087,338679,65605,273073,645302,96575,548726,210700364,69239622,141460741,188408143,39815983,148592160,14223,6032,8191,23329,16041,7289,52574,9933,42642,129643,29992,99650,49537184,13875427,35661756,39476056,27989534,11486521
"Koprivnièko-križevaèka županija",21244,14945,6299,77950,48769,29181,102154,22922,79232,439263,64968,374295,24443309,12248509,12194800,57290740,22511212,34779529,7054,2497,4558,14649,9077,5572,67947,3909,64038,65231,9513,55718,19321159,7339011,11982148,12602686,6131962,6470724,30585,10492,20092,66999,40939,26060,190998,22644,168354,284754,60583,224171,66542340,12825418,53716922,67938691,17653988,50284703,9125,9125,..,4450,4450,..,22214,22214,..,8270,8270,..,40930001,40930001,..,7755405,7755405,..
"Bjelovarsko-bilogorska županija",33633,22035,11598,115209,73505,41704,99442,37846,61596,835454,115172,720282,53137309,25841917,27295392,102869710,27591477,75278233,21541,10564,10977,21029,14056,6973,123546,19119,104427,54210,23656,30554,70129486,30189502,39939985,63033009,41110950,21922059,27955,11318,16637,65527,38937,26590,163184,20527,142656,384732,77431,307300,56409760,15771612,40638148,60424005,24748322,35675683,3703,3703,..,6616,6616,..,6099,6099,..,12113,12113,..,10842208,10842208,..,15399971,15399971,..
"Primorsko-goranska županija",185148,109161,75987,392685,232576,160110,1147644,217459,930185,1909673,420788,1488886,507480598,148976170,358504429,481786092,310344319,171441772,46499,26115,20384,37181,34001,3180,860380,56894,803485,73696,55746,17950,342799728,67070118,275729610,43965047,38082940,5882107,195229,76608,118621,211206,131899,79307,1185906,175271,1010635,1097568,245933,851634,656309174,165388454,490920720,177722852,70203547,107519305,103574,41657,61917,13351,9609,3742,594785,73462,521323,474397,15030,459367,1998677548,108755418,1889922131,20146722,12732675,7414047
"Lièko-senjska županija",20484,8703,11781,85762,69046,16716,138272,19975,118297,324297,132758,191539,49237414,10517024,38720390,65064954,31116797,33948156,2784,1406,1378,3298,3298,..,8324,2811,5512,5772,5772,..,5579818,1232066,4347752,4766618,4766618,..,21578,13944,7634,36593,30783,5809,80229,29284,50945,84052,48708,35343,42490092,9744836,32745256,21564387,17371713,4192674,..,..,..,16741,1168,15573,..,..,..,110491,1470,109021,..,..,..,81354048,1556136,79797912
"Virovitièko-podravska županija",12034,6777,5257,71216,33925,37292,50896,11836,39060,305054,57146,247908,9024405,3712406,5311999,55106272,13873105,41233167,1792,1356,436,8967,6393,2574,3972,1792,2179,24883,12012,12871,1598957,748961,849996,7359621,5845705,1513917,13852,11558,2294,49117,27119,21998,35850,26676,9174,317514,61695,255819,8866814,5602366,3264449,36534929,12771939,23762991,20055,17171,2884,30057,30057,..,53403,33213,20190,73716,73716,..,52226703,37054619,15172084,34431531,34431531,..
