"Doseljeno i odseljeno stanovništvo po gradovima/opæinama"

"Prostorna jedinica","2011 Ukupno doseljeni","2011 Doseljeni iz drugoga grada/opæine iste županije","2011 Doseljeni iz druge županije","2011 Doseljeni iz inozemstva","2011 Ukupno odseljeni","2011  Odseljeni u drugi grad/opæinu iste županije","2011 Odseljeni u drugu županiju","2011 Odseljeni u inozemstvo","2012 Ukupno doseljeni","2012 Doseljeni iz drugoga grada/opæine iste županije","2012 Doseljeni iz druge županije","2012 Doseljeni iz inozemstva","2012 Ukupno odseljeni","2012  Odseljeni u drugi grad/opæinu iste županije","2012 Odseljeni u drugu županiju","2012 Odseljeni u inozemstvo","2013 Ukupno doseljeni","2013 Doseljeni iz drugoga grada/opæine iste županije","2013 Doseljeni iz druge županije","2013 Doseljeni iz inozemstva","2013 Ukupno odseljeni","2013  Odseljeni u drugi grad/opæinu iste županije","2013 Odseljeni u drugu županiju","2013 Odseljeni u inozemstvo","2014 Ukupno doseljeni","2014 Doseljeni iz drugoga grada/opæine iste županije","2014 Doseljeni iz druge županije","2014 Doseljeni iz inozemstva","2014 Ukupno odseljeni","2014  Odseljeni u drugi grad/opæinu iste županije","2014 Odseljeni u drugu županiju","2014 Odseljeni u inozemstvo","2015 Ukupno doseljeni","2015 Doseljeni iz drugoga grada/opæine iste županije","2015 Doseljeni iz druge županije","2015 Doseljeni iz inozemstva","2015 Ukupno odseljeni","2015  Odseljeni u drugi grad/opæinu iste županije","2015 Odseljeni u drugu županiju","2015 Odseljeni u inozemstvo"
"Republika Hrvatska",79937,27236,28514,8534,84102,27236,28514,12699,77798,26908,27617,8959,81716,26908,27617,12877,87218,30054,29959,10378,92102,30054,29959,15262,91374,30947,33806,10638,101594,30947,33806,20858,87633,28268,33418,11706,105578,28268,33418,29651
"Zagrebaèka županija",7496,1304,4214,520,6631,1304,3469,400,7033,1279,3777,534,6319,1279,3177,420,7454,1271,4009,627,7049,1271,3444,787,7461,1274,4227,551,7783,1274,3401,1699,7021,1322,3702,652,8387,1322,3444,2276
"Krapinsko-zagorska županija",1717,680,573,78,1837,680,726,45,1707,695,549,59,1876,695,663,114,2024,815,662,56,2176,815,746,124,2081,829,747,79,2329,829,818,256,2223,902,836,118,2494,902,816,409
"Sisaèko-moslavaèka županija",2845,864,785,266,4396,864,1295,1307,2709,795,771,272,4238,795,1355,1217,2920,968,818,244,4867,968,1401,1608,2990,924,912,258,4739,924,1602,1317,2986,936,811,361,5172,936,1610,1748
"Karlovaèka županija",2082,765,565,122,2668,765,732,541,2127,750,607,184,2631,750,694,601,2362,741,696,164,3040,741,838,700,2176,792,681,198,3006,792,947,762,2416,768,914,257,3080,768,934,901
"Varaždinska županija",2490,1171,649,140,2424,1171,625,98,2432,1203,555,71,2556,1203,635,115,2508,1147,624,123,2753,1147,702,290,2865,1436,762,120,3429,1436,935,511,3035,1289,918,203,3579,1289,865,800
"Koprivnièko-križevaèka županija",1610,696,481,73,1755,696,616,83,1633,705,514,66,1718,705,587,78,1841,820,505,48,1989,820,586,115,1832,817,521,62,2388,817,868,271,1763,814,523,90,2384,814,860,374
"Bjelovarsko-bilogorska županija",1931,652,600,104,2702,652,1026,449,2017,733,603,76,2591,733,950,303,2276,830,616,70,2991,830,1034,367,2434,851,781,108,3181,851,1195,441,2064,710,635,117,3179,710,1246,621
"Primorsko-goranska županija",6662,3644,1640,727,6413,3644,1501,617,7059,3701,1800,840,6691,3701,1600,672,7567,3965,1920,915,7322,3965,1629,961,8258,4134,2430,957,8220,4134,1914,1435,7867,3839,2355,1049,9020,3839,2008,2549
"Lièko-senjska županija",1150,172,461,146,1447,172,470,434,1056,157,438,132,1391,157,407,498,1279,198,595,137,1362,198,444,371,1436,224,617,146,1740,224,576,491,1184,181,517,147,1588,181,555,513
