"","Republika Hrvatska","Grad Zagreb","Zagrebaèka","Krapinsko-zagorska","Varaždinska","Koprivnièko-križevaèka","Meðimurska","Bjelovarsko-bilogorska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Osjeèko-baranjska","Vukovarsko-srijemska","Karlovaèka","Sisaèko-moslavaèka","Primorsko-goranska","Lièko-senjska","Zadarska","Šibensko-kninska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska"
"2000.",23610741.5359236,6938239.26124864,1307048.55104404,574228.13845792,901145.132299012,754708.657785643,515335.090941591,528286.733309093,362925.942924983,329096.829444518,570195.029296467,1370157.76673039,633679.475563986,591488.756995578,914523.675350482,2077583.00267741,237863.296700131,634440.035136812,426763.346417689,1934387.86474935,1429383.20082945,579261.748020375
"2001.",26003297.4790353,7866611.61790977,1300705.70204683,662213.399204177,1007263.89628704,802265.975120022,571246.331711249,581885.30621512,414424.479680739,360705.97908226,636848.225607471,1487202.68117862,699626.986734182,722122.624163332,928548.286311922,2110395.97697583,253873.682711011,741490.653922424,455937.163189927,2131480.00170914,1629106.0291441,639342.480130123
"2002.",28564893.7145003,8525690.32147335,1603671.64327058,687161.237013856,1146815.00123046,864131.369284739,648198.699468064,648820.79503988,445415.353011062,384529.893485601,693238.053620694,1684769.32359929,773007.46732107,789821.757469504,961747.108848666,2229871.53095284,311903.798686518,834939.937502109,514284.810073839,2319468.12983668,1818350.16845347,679057.31485807
"2003.",30721183.5156857,9376318.91072587,1674703.64421992,709205.563518043,1177995.0367157,879871.018903187,658094.176508154,655658.977347515,464021.644632688,422867.262085372,717845.661028908,1711620.22586017,824535.956522882,760932.417740987,978423.307326015,2500803.80785532,386610.223978536,984566.169097062,584442.611791954,2518278.84069998,1981010.82018639,753377.238941007
"2004.",33469037.01165,10338601.3399434,1851033.42323824,729490.671894489,1166456.09533664,879166.247565692,693026.809943029,692823.752406204,474092.995411687,451259.019508123,780029.340760327,1883473.97987139,867927.772186223,776301.104147047,1020027.73590109,2656826.46868281,525305.01631481,1056739.17032035,660527.272622213,2891773.84260291,2187874.61894481,886280.334048473
"2005.",36512084.9752674,11624308.8483501,2095413.74987603,819478.684877509,1234670.96718113,902047.066305061,743707.815036708,709916.92913692,484130.096237286,468311.546244973,779096.521678452,2071442.5119539,941127.486144804,835210.182673234,1116158.71251729,3011750.46567391,411407.623333219,1173657.65306909,752474.082983646,3057170.99300918,2294653.87885342,985949.160131583
"2006.",40207983.2391895,12854446.9447656,2179213.43224044,861218.058963958,1348427.03091697,1063918.50802865,848173.573820064,817361.726585328,563107.009916805,482711.026436084,860477.961447848,2281736.38582801,1095725.69818435,944994.713817079,1290056.74665393,3277045.39795358,430946.491148061,1244510.17273284,768986.081671866,3419301.24706548,2485223.17364285,1090401.85736973
"2007.",43935224.2208819,13903702.7091137,2464933.81749708,951971.306820117,1457210.379282,1109105.10427425,899789.218423743,822864.774684877,601016.587311978,510297.27541775,928124.525092784,2634108.93525139,1131073.14608602,1049502.13441373,1238809.1066193,3492589.69887736,420062.108101911,1451841.89657661,911035.57920091,3934822.38145756,2728678.4624143,1293685.07396452
"2008.",48134630.1900133,15372979.1181936,2693847.38850939,978805.669389876,1649709.75222344,1114389.47923292,1043817.42883894,972967.19734156,626155.303890251,556030.601563712,1043987.97482363,2865454.59089837,1279716.39285381,1113089.1692542,1430305.6272446,4007259.75856345,495848.94542611,1631657.119679,938532.487162175,4121571.09136155,2848781.86019706,1349723.2333657
"2009.",45093441.6811744,14437588.0068461,2608334.19359365,872137.867828039,1559075.96856496,1139809.03119923,983698.394230409,931981.381804445,555005.064456484,507252.718397177,958575.725593278,2660789.83492218,1182924.69465111,999902.530467054,1397922.70777825,3699954.08592816,447624.044851316,1487150.4962119,816225.081534299,3804058.56524251,2769798.20323125,1273633.08384257
"2010.",45021982.5937186,15148867.9865048,2458343.38978832,823786.525477143,1470464.86844613,1057637.777716,951073.189127389,852215.742601662,527948.368030639,504042.454581849,933595.72664738,2526728.68913679,1108982.60557477,979460.559742003,1409333.98324532,3715935.57685205,423932.372011577,1435493.39992208,865724.456027193,3796039.35118085,2772959.41712481,1259416.15397977
"2011.",44737402.6532202,14953204.9607191,2511151.11447605,832507.557386848,1465497.17516326,1078772.16922055,961243.863173508,840959.549145429,535769.211761198,488610.30210759,934152.618142817,2535418.15880598,1113841.18408297,995216.504559665,1421298.96199353,3734622.5591625,408967.450772636,1412100.36311126,864165.410258956,3698731.12871898,2742579.33802908,1208593.07242827
"2012.",43959161.3702507,14675386.5245386,2481163.58735445,823451.90752727,1454365.01093236,1051726.80584009,958477.911052782,812531.718390314,519811.194172625,468048.576744339,920469.609482211,2451523.50535467,1064947.72228176,967864.980060404,1380354.38397584,3873437.97944383,387551.599560205,1397583.94215915,846695.721087641,3582511.86093094,2633482.23596776,1207774.59339335
"2013.",43516109.3834079,14423405.8649441,2479722.29584282,835492.224774271,1467743.90942539,1002473.58861207,961868.330012965,798866.96857318,501682.869621208,462579.608389092,912869.394779141,2443019.1356636,1058782.79035333,974689.427225009,1307206.66759772,3810160.59168216,386093.996944522,1401765.66303354,856347.090362743,3570893.09733721,2640731.40063475,1219714.46759906
"2014.",43002460.9626786,14298554.072029,2512388.98156121,850483.710249055,1464657.02845307,972460.514305382,982087.737647839,809771.407151399,463986.396690407,436708.213392986,871240.628857134,2398870.29250863,1020126.73802222,945368.379717609,1213230.56200339,3685840.09326874,379848.638023007,1404136.433093,850636.235571974,3549673.37104557,2647531.38418293,1244860.144904
