"","Republika Hrvatska","Grad Zagreb","Zagrebaèka","Krapinsko-zagorska","Varaždinska","Koprivnièko-križevaèka","Meðimurska","Bjelovarsko-bilogorska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Osjeèko-baranjska","Vukovarsko-srijemska","Karlovaèka","Sisaèko-moslavaèka","Primorsko-goranska","Lièko-senjska","Zadarska","Šibensko-kninska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska"
"2000.",180240906.495493,52965491.6609614,9977815.19548463,4383572.62322327,6879208.57049108,5761334.19665425,3933991.81465465,4032862.73564508,2770522.93524977,2512276.48964869,4352784.46478489,10459581.6078703,4837415.33189308,4515337.63056821,6981338.38812163,15859961.160155,1815813.20324089,4843221.33110922,3257848.22557737,14766830.6700925,10911699.8064183,4421998.45364883
"2001.",194270791.485658,58771502.5970736,9717580.10422608,4947400.2787348,7525274.61274383,5993733.91371754,4267784.77169273,4347268.614045,3096167.77424168,2694836.53395944,4757896.91460277,11110900.1543016,5226917.415653,5394982.45786,6937189.81832609,15766781.0063623,1896691.80677606,5539681.12439835,3406309.28181492,15924299.881649,12171060.9183718,4776531.50510703
"2002.",211579482.185855,63149583.5945854,11878357.3735857,5089786.79069194,8494431.19055399,6400600.3131392,4801192.21019117,4805800.05716131,3299180.82978446,2848203.69233041,5134797.6254552,12479045.9454361,5725647.75826795,5850190.80185444,7123637.75331146,16516604.912851,2310263.95117987,6184380.07851962,3809295.24538148,17180244.7704651,13468476.0573308,5029761.23377817
"2003.",232382650.966158,70924801.5678203,12667873.6913833,5364606.76543023,8910646.60048662,6655562.5949964,4977987.55846345,4959567.10808299,3509974.79736952,3198672.84149475,5429962.60574659,12947119.8702223,6236994.4600563,5755881.51903242,7401036.5455942,18916700.201962,2924415.6135092,7447502.67546011,4420868.85736207,19048885.6842072,14984857.1345733,5698732.27290503
"2004.",250873191.347485,77494847.2917873,13874754.2098984,5468028.63950608,8743381.62469298,6589948.8585532,5194707.19875376,5193185.14443613,3553649.38384747,3382493.20734665,5846850.32895037,14117918.2414424,6505708.84342083,5818904.66033294,7645801.49943907,19914721.0247764,3937518.30469059,7920978.66418683,4951101.06684887,21675811.3565218,16399608.0237322,6643273.77432046
"2005.",270191144.884973,86020431.8203064,15506160.2335288,6064180.78359176,9136623.18667582,6675190.68686956,5503472.78553895,5253418.64170888,3582585.46627044,3465527.45285547,5765350.87795706,15328771.9462569,6964387.63046339,6180594.60666052,8259626.9320874,22287094.9982588,3044435.74882412,8685121.79462097,5568343.58036088,22623209.0353046,16980546.5522476,7296070.12458424
"2006.",294436989.855116,94131173.9550301,15958050.9030685,6306569.80186616,9874327.53492329,7790914.58259907,6211047.00687468,5985416.50216364,4123547.60446227,3534819.95722645,6301150.17951041,16708811.0112242,8023833.83322359,6920053.59508068,9446890.75717798,23997308.6153589,3155756.08175709,9113360.07388653,5631168.95918474,25039026.7177722,18198914.0318873,7984848.15083806
"2007.",322309639.65365,101997827.24441,18082801.3189011,6983679.59428721,10690123.0294099,8136416.11795286,6600870.80235173,6036551.62151898,4409069.10383583,3743550.50811285,6808739.15044664,19323873.197074,8297574.09007682,7699167.5985997,9087927.1435322,25621704.3901686,3081583.60621567,10650739.7382821,6683374.31869388,28865931.7519979,20017637.0451621,9490498.2826201
"2008.",347685001.82664,111041764.560995,19458139.1920385,7070087.57741223,11916147.1886458,8049433.56982671,7539679.08800601,7027915.25455922,4522831.21564337,4016308.00854177,7540910.97201057,20697688.5609761,9243619.29510101,8040041.19939525,10331352.1399894,28945150.5283409,3581605.19392508,11785749.8104087,6779187.2135551,29770841.6325587,20577258.4593745,9749291.16533598
"2009.",330965750.26483,105965456.805999,19144009.663927,6401102.97636876,11442922.2613848,8365689.93417442,7219907.48416737,6840327.67874834,4073489.64085185,3723008.71832287,7035518.30108105,19529010.6760624,8682139.67432532,7338838.61709959,10260129.2015647,27156012.8111904,3285360.84888466,10915021.3730741,5990728.06207539,27920093.2587599,20329083.4817188,9347898.79504907
