"","Republika Hrvatska1)","Grad Zagreb","Zagrebaèka","Krapinsko-zagorska","Varaždinska","Koprivnièko-križevaèka","Meðimurska","Bjelovarsko-bilogorska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Osjeèko-baranjska","Vukovarsko-srijemska","Karlovaèka","Sisaèko-moslavaèka","Primorsko-goranska","Lièko-senjska","Zadarska","Šibensko-kninska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska"
"2000.",5334.27443515141,8926.58179705095,4256.53045746734,4018.92580859541,4870.60719987359,6056.17693901076,4359.37748759943,3954.92287825818,3881.85150679712,3837.72963563395,3233.88307157179,4148.08397761623,3098.40442192856,4156.45690972677,4933.0518070333,6805.56675634722,4407.97777510342,3942.8499035903,3801.56196702022,4207.55089756721,6967.84245310251,4739.30659047147
"2001.",6046.64569499361,10192.5717890224,4380.74160085422,4752.68795025049,5576.25423873644,6603.93614843247,5008.05529902775,4481.98807044055,4505.27500971055,4324.64875948374,3865.21464402097,4669.46214680779,3674.44394002307,5145.70580513295,4901.01253987993,7116.6009161354,4557.46670336614,4784.27366469286,4147.69242068425,4896.86956195209,8236.89793607644,5449.39828874968
"2002.",6634.60653245821,11034.2069234506,5347.05149514892,4960.02047794035,6368.84151816391,7143.73649311354,5678.75543252688,5030.47647691761,4870.50899122553,4623.14269294381,4210.66793988462,5291.36925026354,4074.55073542068,5672.27504152471,5104.19167961802,7517.89490507805,5635.8310660159,5326.57057417613,4662.02967065535,5281.21671122579,9136.24435226286,5760.06815526332
"2003.",7135.24437228368,12132.4625638089,5530.29617655143,5149.54447015032,6568.84934082989,7313.66958067568,5766.76153742078,5123.07620513523,5100.98876111874,5105.85923793012,4374.68027514555,5389.19851216356,4377.19158746772,5509.85067587461,5226.13167746613,8433.29070108811,7004.88705649486,6211.57798868844,5286.44214908375,5698.31432001154,9886.88694616837,6374.85552859004
"2004.",7768.51458609013,13339.4164569813,6058.42435775886,5326.03234278686,6528.16672964674,7349.35212176127,6074.89281641498,5455.88509334617,5255.815965142,5476.90968295999,4770.85083554228,5951.82848597229,4638.15020833987,5663.04185923059,5482.22215241823,8956.21875461935,9523.38248741939,6591.86866854646,5963.37503721618,6494.48608832228,10840.5613777657,7473.23080466527
"2005.",8468.19239470967,14962.8498275792,6804.48438971776,6005.02460239041,6922.85806422945,7576.12106299578,6520.03519955033,5631.91471122683,5415.65863937139,5714.56606420916,4778.10636058552,6572.01260806177,5055.62576324936,6139.69384731986,6042.81184957533,10142.298490733,7518.6202716306,7233.30294790128,6776.14609048962,6811.37749008914,11285.7565492021,8268.81890798647
"2006.",9322.49107303859,16514.6032306878,7023.39968944221,6335.86330186282,7571.90203959372,8979.88240879022,7439.04236509684,6536.43611270425,6346.51244735881,5927.4893957965,5290.70712494719,7279.63599474225,5916.07809549813,7004.47483798506,7047.23761340735,11021.2430860182,7967.06459758669,7570.88819713254,6901.4093100877,7576.29077423686,12131.38389645,9088.80286541634
"2007.",10187.2910560126,17806.4375658214,7891.18458183468,7045.92428230522,8197.95097287807,9410.95949830718,7900.23371225651,6640.6922197912,6832.80094260467,6311.38139249074,5724.76414787884,8463.42206680619,6131.34179388976,7844.92666681915,6839.73347220646,11731.7920843168,7839.83180638312,8728.97195889128,8160.22051620479,8684.77134725437,13219.2205719685,10713.8367519774
"2008.",11165.8439671824,19625.1632366864,8573.32979594827,7282.9970340626,9302.6297365677,9496.24824123395,9172.50604216174,7920.67012383331,7177.71681290122,6925.32151232368,6460.26166108375,9262.21016838506,6958.72449227472,8389.40268359641,7989.26219705021,13462.8795611105,9358.90726812398,9723.2702539427,8405.08216421963,9073.50389133899,13722.3237743233,11103.2130515476
"2009.",10471.452649593,18368.6662767288,8259.09656678276,6510.75087868581,8815.73505774594,9760.81174918414,8642.99710696272,7648.7525948784,6425.56616196313,6374.80402401836,5963.33152255609,8638.33905779858,6468.62922306494,7612.47601240234,7904.54484312034,12443.1989033981,8568.85333329471,8805.98590244467,7333.39396270793,8360.88984794471,13292.4685875663,10408.1350982894
"2010.",10479.1187020334,19211.0064929238,7754.6962188939,6174.29303620949,8337.78839738908,9108.3409280772,8353.07871250748,7058.73954379669,6179.27945868244,6404.07659573033,5852.40247767495,8245.53475811195,6122.88252369833,7538.66122564558,8078.91257607123,12514.7911056284,8242.57995045063,8460.37749147376,7848.389534814,8340.20327646379,13298.3218218191,10264.5667850881
"2011.",10445.5365569406,18909.7005076313,7900.14240314116,6275.26142831077,8334.26509988205,9342.12176958057,8448.67578564184,7041.41361834229,6328.70538480217,6282.63955443305,5898.61978520166,8320.62142922395,6215.5969223552,7745.23716718029,8267.64408323804,12608.2147669861,8066.97603922629,8286.2931631865,7928.74132624063,8129.24020193582,13178.5398457498,9859.58674037279
"2012.",10297,18506,7791,6246,8300,9156,8436,6879,6199,6101,5853,8093,5996,7621,8148,13110,7764,8169,7869,7875,12677,9861
"2013.",10228,18132,7781,6380,8415,8768,8481,6838,6043,6102,5858,8121,6025,7763,7842,12930,7841,8173,8051,7849,12711,9969
"2014.",10151.5171135172,17908.2816293538,7893.71830688743,6540.74845321645,8447.93800964429,8563.85961133365,8685.58461186192,7012.07028901694,5654.57798659932,5826.73836065839,5660.69650125972,8044.50131625965,5896.8908633954,7629.4760690631,7408.7927550732,12548.2669406187,7821.77044299171,8196.53685072835,8068.25605209118,7807.70035697797,12723.8060149989,10177.1193056217
