"","Županija","County of","X2000.","X2001.","X2002.","X2003.","X2004.","X2005.","X2006.","X2007.","X2008.","X2009.","X2010.","X2011.","X2012.","X2013.","X2014."
"1","Republika Hrvatska","Republic of Croatia",5334.27443515141,6046.64569499361,6634.60653245821,7135.24437228368,7768.51458609013,8468.19239470967,9322.49107303859,10187.2910560126,11165.8439671824,10471.452649593,10479.1187020334,10445.5365569406,10297,10228,10151.5171135172
"2","Grad Zagreb","City of Zagreb",8926.58179705095,10192.5717890224,11034.2069234506,12132.4625638089,13339.4164569813,14962.8498275792,16514.6032306878,17806.4375658214,19625.1632366864,18368.6662767288,19211.0064929238,18909.7005076313,18506,18132,17908.2816293538
"3","Zagrebaèka ","Zagreb",4256.53045746734,4380.74160085422,5347.05149514892,5530.29617655143,6058.42435775886,6804.48438971776,7023.39968944221,7891.18458183468,8573.32979594827,8259.09656678276,7754.6962188939,7900.14240314116,7791,7781,7893.71830688743
"4","Krapinsko-zagorska","Krapina-Zagorje",4018.92580859541,4752.68795025049,4960.02047794035,5149.54447015032,5326.03234278686,6005.02460239041,6335.86330186282,7045.92428230522,7282.9970340626,6510.75087868581,6174.29303620949,6275.26142831077,6246,6380,6540.74845321645
"5","Varaždinska ","Varaždin",4870.60719987359,5576.25423873644,6368.84151816391,6568.84934082989,6528.16672964674,6922.85806422945,7571.90203959372,8197.95097287807,9302.6297365677,8815.73505774594,8337.78839738908,8334.26509988205,8300,8415,8447.93800964429
"6","Koprivnièko-križevaèka ","Koprivnica-Križevci",6056.17693901076,6603.93614843247,7143.73649311354,7313.66958067568,7349.35212176127,7576.12106299578,8979.88240879022,9410.95949830718,9496.24824123395,9760.81174918414,9108.3409280772,9342.12176958057,9156,8768,8563.85961133365
"7","Meðimurska ","Meðimurje",4359.37748759943,5008.05529902775,5678.75543252688,5766.76153742078,6074.89281641498,6520.03519955033,7439.04236509684,7900.23371225651,9172.50604216174,8642.99710696272,8353.07871250748,8448.67578564184,8436,8481,8685.58461186192
"8","Bjelovarsko-bilogorska ","Bjelovar-Bilogora",3954.92287825818,4481.98807044055,5030.47647691761,5123.07620513523,5455.88509334617,5631.91471122683,6536.43611270425,6640.6922197912,7920.67012383331,7648.7525948784,7058.73954379669,7041.41361834229,6879,6838,7012.07028901694
"9","Virovitièko-podravska ","Virovitica-Podravina",3881.85150679712,4505.27500971055,4870.50899122553,5100.98876111874,5255.815965142,5415.65863937139,6346.51244735881,6832.80094260467,7177.71681290122,6425.56616196313,6179.27945868244,6328.70538480217,6199,6043,5654.57798659932
"10","Požeško-slavonska","Požega-Slavonia",3837.72963563395,4324.64875948374,4623.14269294381,5105.85923793012,5476.90968295999,5714.56606420916,5927.4893957965,6311.38139249074,6925.32151232368,6374.80402401836,6404.07659573033,6282.63955443305,6101,6102,5826.73836065839
"11","Brodsko-posavska ","Slavonski Brod-Posavina",3233.88307157179,3865.21464402097,4210.66793988462,4374.68027514555,4770.85083554228,4778.10636058552,5290.70712494719,5724.76414787884,6460.26166108375,5963.33152255609,5852.40247767495,5898.61978520166,5853,5858,5660.69650125972
"12","Osjeèko-baranjska","Osijek-Baranja",4148.08397761623,4669.46214680779,5291.36925026354,5389.19851216356,5951.82848597229,6572.01260806177,7279.63599474225,8463.42206680619,9262.21016838506,8638.33905779858,8245.53475811195,8320.62142922395,8093,8121,8044.50131625965
"13","Vukovarsko-srijemska","Vukovar-Sirmium",3098.40442192856,3674.44394002307,4074.55073542068,4377.19158746772,4638.15020833987,5055.62576324936,5916.07809549813,6131.34179388976,6958.72449227472,6468.62922306494,6122.88252369833,6215.5969223552,5996,6025,5896.8908633954
"14","Karlovaèka ","Karlovac",4156.45690972677,5145.70580513295,5672.27504152471,5509.85067587461,5663.04185923059,6139.69384731986,7004.47483798506,7844.92666681915,8389.40268359641,7612.47601240234,7538.66122564558,7745.23716718029,7621,7763,7629.4760690631
"15","Sisaèko-moslavaèka ","Sisak-Moslavina",4933.0518070333,4901.01253987993,5104.19167961802,5226.13167746613,5482.22215241823,6042.81184957533,7047.23761340735,6839.73347220646,7989.26219705021,7904.54484312034,8078.91257607123,8267.64408323804,8148,7842,7408.7927550732
"16","Primorsko-goranska ","Primorje-Gorski kotar",6805.56675634722,7116.6009161354,7517.89490507805,8433.29070108811,8956.21875461935,10142.298490733,11021.2430860182,11731.7920843168,13462.8795611105,12443.1989033981,12514.7911056284,12608.2147669861,13110,12930,12548.2669406187
"17","Lièko-senjska ","Lika-Senj",4407.97777510342,4557.46670336614,5635.8310660159,7004.88705649486,9523.38248741939,7518.6202716306,7967.06459758669,7839.83180638312,9358.90726812398,8568.85333329471,8242.57995045063,8066.97603922629,7764,7841,7821.77044299171
"18","Zadarska ","Zadar",3942.8499035903,4784.27366469286,5326.57057417613,6211.57798868844,6591.86866854646,7233.30294790128,7570.88819713254,8728.97195889128,9723.2702539427,8805.98590244467,8460.37749147376,8286.2931631865,8169,8173,8196.53685072835
"19","Šibensko-kninska ","Šibenik-Knin",3801.56196702022,4147.69242068425,4662.02967065535,5286.44214908375,5963.37503721618,6776.14609048962,6901.4093100877,8160.22051620479,8405.08216421963,7333.39396270793,7848.389534814,7928.74132624063,7869,8051,8068.25605209118
"20","Splitsko-dalmatinska ","Split-Dalmatia",4207.55089756721,4896.86956195209,5281.21671122579,5698.31432001154,6494.48608832228,6811.37749008914,7576.29077423686,8684.77134725437,9073.50389133899,8360.88984794471,8340.20327646379,8129.24020193582,7875,7849,7807.70035697797
"21","Istarska ","Istria",6967.84245310251,8236.89793607644,9136.24435226286,9886.88694616837,10840.5613777657,11285.7565492021,12131.38389645,13219.2205719685,13722.3237743233,13292.4685875663,13298.3218218191,13178.5398457498,12677,12711,12723.8060149989
"22","Dubrovaèko-neretvanska","Dubrovnik-Neretva",4739.30659047147,5449.39828874968,5760.06815526332,6374.85552859004,7473.23080466527,8268.81890798647,9088.80286541634,10713.8367519774,11103.2130515476,10408.1350982894,10264.5667850881,9859.58674037279,9861,9969,10177.1193056217
