"","Republika Hrvatska1)","Grad Zagreb","Zagrebaèka","Krapinsko-zagorska","Varaždinska","Koprivnièko-križevaèka","Meðimurska","Bjelovarsko-bilogorska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Osjeèko-baranjska","Vukovarsko-srijemska","Karlovaèka","Sisaèko-moslavaèka","Primorsko-goranska","Lièko-senjska","Zadarska","Šibensko-kninska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska"
"2000.",40721.0615653295,68144.204304581,32493.723545798,30679.8848217977,37181.4945139694,46231.9584382212,33278.8425524659,30191.295924037,29633.4798888662,29296.6600544435,24686.9847536845,31665.8591686936,23652.7607931482,31729.7768932315,37658.1874032248,51952.6893940747,33649.8499544288,30099.1326222226,29020.5614250612,32119.8208344953,53191.4780463015,36179.1650942838
"2001.",45174.5262671715,76148.7649912168,32728.5467844315,35507.3601924491,41660.2288751254,49338.0465885559,37415.2111873681,33484.9597661897,33658.9366291976,32309.4768299956,28877.0417967685,34885.5797155739,27451.792722576,38443.5989443831,36615.4940915182,53168.168144053,34048.8610856487,35743.3372545624,30987.4349610866,36584.5418785615,61537.9139018147,40712.4873116386
"2002.",49142.3713553612,81730.1058610325,39605.4820953322,36738.7526396127,47173.8562728436,52913.4847548161,42062.4051985962,37260.6185330933,36075.7432057917,34243.5069712102,31188.3163746948,39193.04504384,30180.0995080433,42014.4050979725,37806.6252703303,55684.8671324354,41744.4654460342,39453.7804052288,34531.5418818321,39117.8454308483,67671.9426473466,42664.6865843997
"2003.",53972.757972558,91772.9556833664,41832.5317928868,38952.4314592456,49688.4054886738,55322.4104982869,43621.2144259121,38752.2189385418,38585.1440343149,38621.9855287944,33091.1665219092,40765.2340672362,33110.1627111195,41677.8769552831,39531.7560890098,63791.5023191243,52986.7029073172,46985.9163777806,39987.9594533225,43103.4626985187,74786.8648087802,48220.9881824261
"2004.",58230.2994126641,99987.9971482653,45412.0102899659,39922.2341111806,48933.0487920785,55088.3917120435,45535.4525861454,40895.568776493,39395.9146135956,41053.1623723696,35760.7711909576,44613.0017457328,34766.089753649,42448.3496033975,41092.9829434383,67132.9497946252,71384.2276432997,49410.5381414503,44699.5509989606,48680.5894825156,81257.3791080908,56016.9466779134
"2005.",62665.0217258941,110725.791978028,50353.5042946778,44437.4642938454,51229.475049627,56063.6519438587,48248.5669183268,41676.43356307,40076.1284673043,42288.0574597528,35358.2116393318,48633.2021842496,37411.8682624562,45434.0230357778,44717.0916990144,75053.485519453,55638.1433852192,53526.781779708,50143.7995484895,50404.5135614017,83515.1288946533,61189.6485535886
"2006.",68267.1944317095,120933.945753239,51431.2953924322,46396.5702441828,55447.8952787368,65758.322917327,54474.983944207,47865.3346514802,46474.552328629,43406.109794519,38743.0493792124,53307.6751644623,43322.5465655404,51292.7115628641,51605.8569101024,80706.8989112055,58341.6110213731,55440.4710634838,50537.9782649664,55480.0333198296,88836.2924347348,66555.9309742111
"2007.",74734.1607454387,130628.364305179,57889.8800248462,51689.0344075524,60140.324098102,69038.977687812,57956.2646175543,48716.2442975404,50125.5575381658,46300.4138115585,41996.978559358,62087.8250871095,44979.6398954694,57550.5310813919,50176.4147070426,86064.6496345974,57513.1550884309,64035.9041408937,59863.5327510682,63711.6476141136,96976.4532811515,78596.9099754043
"2008.",80652.8784951848,141756.047337642,61926.687168838,52606.3839505062,67194.5504553216,68593.0913786197,66254.6438486097,57212.41018373,51845.9261731782,50022.8299907431,46663.6199045836,66902.5927196553,50264.1056606599,60598.1488972946,57707.8629379647,97244.7754624633,67601.0530831532,70232.9117863333,60711.4045767836,65539.5336908342,99118.7871955688,80200.4842432512
"2009.",76855.792180131,134817.81804603,60618.0852431167,47786.0076546619,64703.5635060194,71640.0049169714,63435.7439883967,56138.4327027501,47160.7898263011,46788.2183737,43768.1937297026,63401.5559850218,47476.8534886632,55872.1787667316,58015.8337215033,91327.5302842309,62891.5617577966,64632.0090542314,53823.8409925688,61365.202527042,97560.7909917468,76391.06959319
"2010.",76353.2690603168,139975.811838936,56502.5002309913,44987.3191492207,60751.0439547082,66365.4669203839,60862.4527074334,51431.5998261977,45023.6513702357,46661.5750141082,42641.9505049096,60078.8627205981,44612.7303306465,54928.4195821356,58864.8151791475,91185.6463975627,60057.3333123719,61644.2562897008,57185.1712802478,60768.6393190687,96894.6314077932,74789.9944465121
"2011.",77654.2496537538,140578.571152635,58731.2702540016,46651.5736113936,61958.6269426036,69451.2390279029,62809.1793203217,52347.3052871347,47048.8868865179,46706.4241061244,43851.5428016253,61857.1971116224,46208.0155025607,57579.6731292004,61463.3527141846,93732.040653587,59971.5455387203,61601.9937789337,58943.8804825034,60434.4300261921,97971.9536354329,73298.1791836264
"2012.",77407,139119,58567,46956,62396,68831,63415,51713,46599,45866,43999,60835,45077,57288,61250,98556,58362,61411,59152,59200,95298,74129
"2013.",77465,137321,58930,48321,63734,66404,64231,51785,45764,46214,44366,61503,45629,58792,59390,97924,59384,61899,60975,59444,96268,75501
"2014.",77456.2176973761,136640.439547912,60229.1811936074,49906.0022685198,64457.8852847181,65342.3687285103,66271.132186691,53502.1944741833,43144.5092018446,44458.0952661605,43191.1935543627,61379.6576660796,44993.359844179,58213.0092196164,56529.1924443071,95743.4524326575,59680.217984813,62539.6909225732,61560.9066330404,59572.863031547,97082.8180277259,77651.5627815642
