"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.",3029,298,53,104,42,81,48,55,293,31,33,101,130,114,173,114,156,203,272,104,62,562
"2003.",3187,207,41,68,36,96,45,66,414,33,25,110,127,87,145,105,101,210,296,95,67,813
"2004.",3513,214,62,69,35,66,84,66,442,49,41,93,158,138,178,122,123,330,305,162,65,711
"2005.",3608,300,74,64,39,113,50,77,466,48,42,36,126,123,144,117,101,276,338,115,93,866
"2006.",3891,287,47,49,79,113,83,56,476,50,49,77,141,170,166,150,66,222,273,131,100,1106
"2007.",4036,234,43,52,53,162,64,72,524,45,45,62,90,139,195,161,101,274,343,116,74,1187
"2008.",4352,220,68,61,68,99,61,66,440,68,42,74,114,161,146,73,135,304,333,139,100,1580
"2009.",3061,194,57,64,46,201,65,29,445,53,51,41,84,112,137,41,141,205,247,83,91,674
"2010.",2830,322,61,61,24,92,36,77,259,42,29,50,81,167,146,111,111,142,191,124,91,613
"2011.",2482,189,55,61,30,78,52,40,325,47,39,48,109,184,103,60,94,210,188,137,49,384
"2012.",2101,195,39,63,41,58,38,37,268,23,32,26,46,201,90,97,68,161,164,128,42,284
"2013.",1996,159,21,51,40,42,27,21,324,23,14,16,115,125,109,122,56,153,218,121,43,196
"2014.",1726,135,26,25,45,55,30,37,225,66,11,32,49,144,99,57,53,147,190,82,48,170
"2015.",1637,103,26,21,22,51,30,29,187,30,16,13,30,140,53,84,68,190,147,68,54,275
