"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.",2372,337,48,104,56,73,36,45,145,8,26,99,189,34,223,46,212,58,132,50,59,392
"2003.",2458,269,28,94,24,73,61,48,198,14,40,138,141,50,215,80,153,42,115,38,82,555
"2004.",2501,243,47,105,24,63,73,53,165,25,49,101,202,71,222,74,106,77,162,41,127,471
"2005.",2569,310,56,75,40,100,67,60,189,27,44,62,241,30,189,63,167,74,147,60,112,456
"2006.",2668,290,52,79,49,113,113,67,194,34,53,73,229,26,234,74,115,71,128,53,123,498
"2007.",2966,291,60,67,58,132,86,76,176,38,45,47,259,29,234,62,123,51,207,54,181,690
"2008.",2576,245,81,72,44,125,85,69,163,49,33,44,223,52,189,35,115,54,172,53,143,530
"2009.",2216,280,68,102,38,85,62,56,156,35,60,51,149,42,166,15,122,44,98,99,196,292
"2010.",2246,368,67,79,31,109,53,66,119,24,43,32,140,79,128,45,90,59,132,85,145,352
"2011.",1933,378,48,63,26,77,38,74,163,35,35,21,129,64,137,53,95,61,134,66,69,167
"2012.",1593,268,45,71,21,83,38,36,103,28,40,15,68,77,99,64,77,62,102,84,94,118
"2013.",1496,144,57,88,36,58,32,33,122,22,20,21,89,53,115,33,70,62,132,133,86,90
"2014.",1323,176,37,64,31,43,18,40,122,28,15,28,39,86,101,36,41,67,122,94,65,70
"2015.",1218,158,36,29,29,60,24,26,60,23,18,12,40,65,67,27,37,70,167,47,67,156
