"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.",19549,914,218,267,152,478,224,273,2036,325,136,169,342,1806,752,459,337,2355,1766,666,210,5664
"2003.",21245,903,238,304,152,397,226,240,2859,546,136,170,441,1638,732,591,496,2739,2592,939,213,4693
"2004.",20358,944,179,240,248,534,314,242,2559,1015,135,127,430,1287,646,863,593,2830,2284,828,167,3893
"2005.",23484,1582,190,236,272,454,264,305,2832,661,142,155,573,1457,1150,1040,527,2269,1664,796,389,6526
"2006.",25517,1119,179,186,414,770,404,265,2545,519,209,198,526,660,1807,957,470,2428,1797,713,383,8968
"2007.",24877,1175,330,307,281,378,323,335,2837,358,205,157,635,656,1509,923,417,2803,1531,922,278,8517
"2008.",24585,1752,307,485,372,897,207,440,2731,628,190,170,610,1054,1090,250,821,2225,1398,601,352,8005
"2009.",17018,1401,418,461,255,451,193,354,2206,602,177,146,384,1417,980,343,668,1671,1444,469,373,2605
"2010.",13378,815,152,285,227,468,204,195,1561,376,168,144,285,1585,662,495,426,1149,1082,628,188,2283
"2011.",13470,710,140,284,130,446,182,230,1625,279,157,161,309,1576,501,499,656,1498,1133,485,197,2272
"2012.",9742,598,152,191,159,145,80,142,1246,245,78,76,228,1066,692,457,215,925,857,441,144,1605
"2013.",7744,345,77,268,178,185,83,99,952,222,37,56,102,846,237,417,113,1110,745,281,228,1163
