"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.","1572","59","42","108","75","53","76","41","97","53","55","27","26","35","215","15","66","99","76","22","51","273","8"
"2003.","1670","69","55","166","82","58","75","36","103","48","57","47","56","53","209","21","70","91","89","23","82","169","11"
"2004.","1538","  71","  76","  85","  75","  32"," 118","  45"," 101","  37","  75","  33","  32","  15"," 225","  18","  97","  64","  77","  33","  55"," 168","   6"
"2005.","1565","  72","  56","  70","  85","  18"," 128","  49"," 116","  26","  64","  38","  26","  48"," 206","  14","  81","  99","  91","  39","  82"," 150","   7"
"2006.","1440","  59","  65","  83","  65","  17","  76","  61"," 111","  33","  60","  26","  15","  45"," 187","   7","  70","  90","  82","  35","  99"," 151","   3"
"2007.","1423","  45","  53","  79","  37","  23"," 102","  32"," 108","  31","  66","  35","  22","  37"," 189","  20","  76"," 104","  98","  58","  76"," 127","   5"
"2008.","1392","  22","  20","  41","  56","  41","  64","  62"," 100","  27","  40","  23","  26","  85"," 224","   7"," 109"," 134","  98","  33","  71","  96","  13"
"2009.","1419","  43","  28","  40","  72","  32","  74","  46"," 138","  27","  32","  19","  18","  45"," 154","  20"," 109"," 123"," 164","  32","  91"," 100","  12"
"2010.","1458","  42","  27","  39","  66","  45","  57","  94"," 141","  43","  29","  24","  23","  73"," 150","  14"," 111","  81"," 178","  43","  84","  79","  15"
"2011.","1382","  70","  29","  62","  37","  39","  50","  52"," 142","  18","  38","  29","  13","  67"," 164","  12","  70","  92"," 161","  48","  85","  92","  12"
"2012.","1640"," 106","  39","  68","  23","  54","  76","  47"," 140","  21","  26","  45","  26","  68"," 155","  34","  88","  96"," 269","  45"," 122","  84","   8"
"2013.","1259","  52","  22","  37","  23","  44","  82","  32"," 130","  29","  26","  32","  25","  66"," 140","   8","  60","  75"," 188","  35","  61","  84","   8"
"2014.","1002","  66","  22","  38","  19","  51","  43","  36","  60","  22","  39","  29","  14","  35"," 105","  13","  54","  51"," 120","  41","  61","  73","  10"
"2015.","1195","  54","  28","  51","  33","  63","  46","  68","  83","  21","  48","  13","  19","  55"," 109","  11","  68","  37"," 103","  47","  74"," 159","   5"
