"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.","1679263","114095","25655","27925","13982","45742","29744","28165","172339","21285","13865","19532","38011","116739","76350","34645","30894","174459","152276","55238","33357","454965"
"2003.","1765469","99234","26157","28182","13245","43134","28926","24000","233463","34216","15814","19623","52423","110394","70804","43244","43327","182050","207200","76118","34847","379068"
"2004.","1700479"," 112533","  20627","  25506","  21199","  50800","  33663","  25530"," 219915","  56867","  14327","  15482","  55113","  85896","  68970","  67183","  47786"," 199854"," 171930","  67196","  28858"," 311244"
"2005.","1982425"," 159101","  22958","  25256","  25913","  49211","  33673","  30596"," 223547","  42161","  18423","  18782","  70315","  98223"," 101148","  74397","  49694"," 166384"," 131268","  67481","  52731"," 521163"
"2006.","2150055"," 129991","  22176","  21065","  37842","  78012","  48665","  26294"," 202801","  35132","  21619","  21633","  63124","  46478"," 146389","  65725","  46896"," 167793"," 146157","  60431","  59700"," 702132"
"2007.","2088495"," 132739","  35366","  28457","  25568","  41956","  38371","  30707"," 222754","  27828","  20969","  17754","  65987","  47724"," 116372","  67299","  39021"," 197210"," 126488","  76417","  46219"," 683289"
"2008.","1994128"," 178743","  31220","  44091","  33980","  80618","  22874","  37158"," 214698","  45405","  19629","  15941","  66475","  74510","  91643","  18264","  67196"," 160569"," 121206","  54158","  53930"," 561820"
"2009.","1581068"," 170867","  41248","  44601","  29053","  51357","  21337","  34861"," 176969","  41854","  19839","  15388","  45777"," 117627","  89986","  31222","  53882"," 128526"," 145881","  47146","  47494"," 226153"
"2010.","1279630"," 110390","  17688","  31135","  20635","  49433","  19598","  22353"," 136265","  25965","  17173","  13868","  35206"," 137476","  58484","  46247","  42115","  98744"," 117538","  54578","  26586"," 198153"
"2011.","1230863","  89520","  16643","  25787","  13724","  42119","  18957","  21694"," 145591","  22401","  17310","  15113","  33588"," 124540","  47451","  49161","  52702"," 119651"," 122394","  46607","  30090"," 175820"
"2012.","901709"," 64194"," 16764"," 20142"," 15266"," 19676","  9337"," 13779","111858"," 19593","  8330","  6947"," 23050"," 90098"," 57760"," 43475"," 22112"," 76882"," 90400"," 50725"," 20772","120549"
"2013.","733322"," 42380","  9930"," 27406"," 16017"," 19852","  8707"," 11055"," 88945"," 18087","  5365","  6200"," 13087"," 72428"," 25622"," 38134"," 12673"," 92959"," 79725"," 35764"," 25002"," 83984"
"2014.","705309"," 34880","  9285","  7081"," 10891"," 25242","  8346","  9543"," 79750"," 26578","  5754","  6941"," 18538"," 90282"," 20874"," 29936"," 17890"," 89190"," 64738"," 26491"," 19658","103421"
"2015.","650126"," 32432","  7776","  6315","  8762"," 23254","  8440","  7914"," 94495"," 21488","  5817","  7703"," 12733"," 78440"," 15950"," 26949"," 11625"," 79772"," 59980"," 36106"," 21658"," 82517"
