"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002. broj",14197,1101,327,1126,483,510,312,402,982,252,183,487,529,436,1108,508,1901,625,767,381,398,1379
"2002. površina, m2",3114608,234439,61743,109340,90311,106854,46915,60803,280160,49010,35392,70058,121959,73055,196086,99934,184770,255500,200226,99838,127361,610854
"2003. broj",12526,769,273,801,376,440,384,505,1017,447,232,629,546,543,813,429,966,561,696,293,389,1417
"2003. površina, m2",3377555,221285,88302,91215,51716,111004,73840,78291,317396,83647,43250,97971,136372,113408,221774,91602,122040,268351,203077,82570,108627,771817
"2004. broj",11348,707,281,487,331,349,426,387,980,500,299,737,580,603,783,377,493,636,682,270,383,1057
"2004. površina, m2",3415405,191897,58413,74149,49319,121781,89963,68270,287464,89778,53284,94782,117118,152877,236826,121299,111555,356926,187536,103439,127267,721462
"2005. broj",10800,853,293,419,302,416,319,344,1070,278,273,332,550,538,739,388,487,687,770,292,381,1069
"2005. površina, m2",4046630,304912,74865,70781,61526,219946,81672,71931,395400,74075,47405,56715,134207,240269,246216,100916,123982,342570,270475,96198,139418,893151
"2006. broj",10897,758,240,326,323,402,430,377,992,372,268,343,528,533,834,497,408,696,649,330,366,1225
"2006. površina, m2",4489874,282533,62756,71932,87899,134151,124086,93387,488718,82399,54727,65850,149420,124415,301534,156100,103174,338442,248665,121776,162873,1235037
"2007. broj",10561,757,216,255,258,393,377,389,1225,242,206,181,505,398,687,361,422,646,812,282,416,1533
"2007. površina, m2",5164904,333956,92360,53471,74897,173679,152484,85745,473196,82310,56550,46741,188522,160471,349380,140155,113551,438371,280935,116288,155623,1596219
"2008. broj",9923,622,262,290,235,406,323,362,1049,311,181,222,522,432,625,289,436,733,710,297,330,1286
"2008. površina, m2",4843808,287484,94314,75833,64209,191490,104776,80287,408204,80236,37528,55805,113742,225207,322066,114357,157225,421625,316870,114146,123657,1454747
"2009. broj",8434,668,212,342,201,390,218,308,977,208,213,147,411,343,505,122,400,592,585,229,441,922
"2009. površina, m2",3923859,249793,70991,80429,42891,157282,63143,77171,399754,66356,49512,49759,94583,132126,317916,97514,158778,370126,228445,198033,153825,865432
"2010. broj",7491,805,257,279,140,332,183,327,632,132,193,131,382,478,410,211,321,412,573,218,306,769
"2010. površina, m2",3352329,261328,81209,64440,72953,106825,54914,67007,241186,32533,51619,31040,95571,135422,342272,55380,107421,280644,160848,156504,100618,852595
"2011. broj",6777,703,188,271,130,298,174,256,761,241,168,140,349,446,396,187,268,452,452,237,213,447
"2011. površina, m2",2660604,210926,56367,50874,31997,93432,53371,81987,227289,53357,39074,37178,79471,158624,191424,51918,81367,236384,163303,131961,74335,555965
"2012. broj",6047,670,147,278,183,229,136,212,685,141,151,89,253,543,315,203,257,407,371,208,210,359
"2012. površina, m2",2690013,183943,56358,47928,42166,136883,40430,50276,310154,31451,34766,19870,64001,147808,194672,75305,108609,176588,110171,99417,54347,704870
"2013. broj",5739,549,148,276,184,192,121,170,681,151,93,64,336,400,398,190,301,349,446,204,236,250
"2013. površina, m2",1943383,138522,32804,48521,56467,68204,29583,36176,265789,32245,25169,17253,59841,124530,142353,64410,93981,167184,171834,94387,83105,191025
"2014. broj",4971,492,136,191,180,167,114,218,514,200,75,114,231,431,335,132,193,342,402,123,210,171
"2014. površina, m2",1658467,125260,36239,31862,36049,75209,46084,38983,177801,46759,20892,21534,42851,132399,164937,40129,31620,129961,112370,66643,65264,215621
"2015. broj",4641,426,124,112,169,191,105,150,338,101,76,55,174,407,231,139,412,327,415,100,222,367
"2015. površina, m2",1898127,131653,48240,25791,37508,50860,26185,38199,110254,26629,15593,12222,42817,149548,235478,64313,52776,293360,102691,48578,72465,312967
