"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.",3596308,231833,88714,47286,48700,143570,79557,79105,320368,42917,39052,57200,66819,199083,183590,52554,74488,381047,246954,111675,119277,982519
"2003.",4103471,231383,101021,66921,47212,146137,85106,74020,440050,59379,51298,54756,116427,177294,236943,90304,106110,438904,374123,129777,134222,942084
"2004.",4202942,272945,83752,58313,58415,167783,106979,73647,391544,92721,50732,57398,96766,147439,248015,120172,113707,464265,321395,128508,138603,1009843
"2005.",4773236,308352,90087,51259,86791,190012,127610,91201,476661,93027,55498,53309,157315,167042,342374,128247,168027,383407,276211,142199,150011,1234596
"2006.",5155445,278428,78614,79668,85873,222529,177159,92304,393354,78533,70147,57267,155041,89018,537948,117947,147060,378083,310395,111604,209162,1485311
"2007.",5524936,460068,131204,57236,83817,196268,100581,172181,515477,99118,70488,40301,212808,142771,356393,154230,142152,473225,272096,302884,157267,1384371
"2008.",5156169,377557,93902,90089,81967,222949,102067,103597,439178,90966,62789,37103,129168,138763,309495,102345,187066,421981,261868,92901,160444,1649974
"2009.",4028377,413216,100049,96517,109490,117712,52324,100164,398349,68296,52872,46106,104961,195871,410368,71730,152277,486937,309265,110208,123480,508185
"2010.",3495567,223933,59845,69708,55602,133187,55197,57766,272205,46768,43304,62373,75207,280258,188777,77663,149213,244575,277106,108809,81632,932439
"2011.",2798345,205410,50297,52778,46791,96384,54812,92241,260349,58177,51932,32256,107757,184905,164307,101480,120442,310511,217997,90912,74902,423705
"2012.",2151516,137108,47321,63904,38016,64819,45758,45075,244794,37247,31648,17186,46650,195205,250302,78521,85701,148576,159771,86714,59616,267584
"2013.",1730362,177719,28336,43336,45902,60215,33852,33694,142334,38483,27419,19206,30377,126105,83206,52971,51246,202126,126661,75259,63315,268600
"2014.",1933672,202929,44335,36081,46477,84689,33615,47693,162044,43528,47731,41409,39394,130621,124710,54113,50769,152843,116983,78162,119508,276038
"2015.",2487012,120075,48364,21212,45875,93093,121743,69512,434833,49183,60678,19649,59032,145380,324416,56432,81823,172050,161797,108947,100202,192716
