"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.",11509034,363085,144108,405526,1652895,487105,149279,210501,1072090,433375,52849,134140,226836,665505,618907,246012,390095,822967,651316,265199,155469,2163248,198527
"2003.",16190009,593569,168775,398007,609245,827010,215528,273742,1538198,897104,102036,194902,291950,1092187,637189,448406,461122,1272089,906314,426387,238900,2657817,1939532
"2004.",16899253,620412,212596,415474,297105,513382,258114,246609,1514543,1948111,123772,225278,286558,917910,768204,724657,431614,1411905,1224593,529364,320333,3364759,543960
"2005.",17807328,860910,699342,474883,271439,482583,293404,225924,1761587,562430,221314,165099,280742,756466,876180,947429,658766,1449314,1490884,543551,335799,4054723,394559
"2006.",21430104,1103611,613719,613903,508023,571458,391239,236565,2150726,461011,210921,155134,395592,887921,1414901,379075,752060,2457810,1820365,683782,342878,5091138,188272
"2007.",24299155,1470920,453895,626443,509639,839701,351266,248378,2542273,434900,185943,139206,560728,1203064,2101286,538035,702999,2731824,1425926,970262,372362,5739193,150912
"2008.",27786783,1953109,483397,698132,522696,885315,421504,373514,2683811,597134,224821,239528,656094,1297699,2597382,486725,774579,2559916,1495444,1530116,494339,6587929,223599
"2009.",24395989,2465868,458065,696713,385856,642535,404810,343590,2260679,653694,206291,207989,416178,1103791,1729888,460283,948609,2234594,1487440,1391642,398968,5309401,189105
"2010.",17866247,1176326,223335,557769,397469,451497,222333,219954,1699771,417083,208266,143481,414545,745223,1264204,376933,675754,2229595,1214231,964932,270270,3916061,77215
"2011.",16783675,1148702,281187,579154,359030,426125,303627,266321,1346242,356704,279572,172538,351364,797507,1186514,519046,717372,1780843,1217885,826146,261384,3483191,123221
"2012.",15976215,1114411,290636,474568,326564,504950,405774,289259,1389237,262091,219010,158474,440556,840793,1107025,460633,473616,1538102,1174939,1060811,265373,3086385,93008
"2013.",15091225,1181712,326375,473423,289729,395888,342736,223274,1189967,246314,197088,166009,329833,764467,1047586,475728,395487,1635764,1163502,1036413,274763,2856253,78914
"2014.",14090716,1355814,366572,447127,351726,385140,277997,201234,1401906,234800,175532,153030,312094,645041,932599,382967,423025,1363455,1190003,797531,269308,2400008,23807
"2015.",15147581,1492844,406930,477809,370362,323639,346940,231471,1454877,236276,163676,128019,333548,549551,934241,425304,679357,1850758,1161819,944138,306168,2314290,15564
