"","Županija","County.of","X2002.","X2003.","X2004.","X2005.","X2006.","X2007.","X2008.","X2009.","X2010.","X2011.","X2012.","X2013.","X2014.","X2015."
"1","Republika Hrvatska","Republic of Croatia",11509034,16190009,16899253,17807328,21430104,24299155,27786783,24395989,17866247,16783675,15976215,15091225,14090716,15147581
"2","Zagrebaèka","Zagreb",363085,593569,620412,860910,1103611,1470920,1953109,2465868,1176326,1148702,1114411,1181712,1355814,1492844
"3","Krapinsko-zagorska","Krapina-Zagorje",144108,168775,212596,699342,613719,453895,483397,458065,223335,281187,290636,326375,366572,406930
"4","Sisaèko-moslavaèka","Sisak-Moslavina",405526,398007,415474,474883,613903,626443,698132,696713,557769,579154,474568,473423,447127,477809
"5","Karlovaèka","Karlovac",1652895,609245,297105,271439,508023,509639,522696,385856,397469,359030,326564,289729,351726,370362
"6","Varaždinska","Varaždin",487105,827010,513382,482583,571458,839701,885315,642535,451497,426125,504950,395888,385140,323639
"7","Koprivnièko-križevaèka","Koprivnica-Križevci",149279,215528,258114,293404,391239,351266,421504,404810,222333,303627,405774,342736,277997,346940
"8","Bjelovarsko-bilogorska","Bjelovar-Bilogora",210501,273742,246609,225924,236565,248378,373514,343590,219954,266321,289259,223274,201234,231471
"9","Primorsko-goranska","Primorje-Gorski kotar",1072090,1538198,1514543,1761587,2150726,2542273,2683811,2260679,1699771,1346242,1389237,1189967,1401906,1454877
"10","Lièko-senjska","Lika-Senj",433375,897104,1948111,562430,461011,434900,597134,653694,417083,356704,262091,246314,234800,236276
"11","Virovitièko-podravska","Virovitica-Podravina",52849,102036,123772,221314,210921,185943,224821,206291,208266,279572,219010,197088,175532,163676
"12","Požeško-slavonska","Požega-Slavonia",134140,194902,225278,165099,155134,139206,239528,207989,143481,172538,158474,166009,153030,128019
"13","Brodsko-posavska","Slavonski Brod-Posavina",226836,291950,286558,280742,395592,560728,656094,416178,414545,351364,440556,329833,312094,333548
"14","Zadarska","Zadar",665505,1092187,917910,756466,887921,1203064,1297699,1103791,745223,797507,840793,764467,645041,549551
"15","Osjeèko-baranjska ","Osijek-Baranja",618907,637189,768204,876180,1414901,2101286,2597382,1729888,1264204,1186514,1107025,1047586,932599,934241
"16","Šibensko-kninska","Šibenik-Knin",246012,448406,724657,947429,379075,538035,486725,460283,376933,519046,460633,475728,382967,425304
"17","Vukovarsko-srijemska","Vukovar-Sirmium",390095,461122,431614,658766,752060,702999,774579,948609,675754,717372,473616,395487,423025,679357
"18","Splitsko-dalmatinska","Split-Dalmatia",822967,1272089,1411905,1449314,2457810,2731824,2559916,2234594,2229595,1780843,1538102,1635764,1363455,1850758
"19","Istarska","Istria",651316,906314,1224593,1490884,1820365,1425926,1495444,1487440,1214231,1217885,1174939,1163502,1190003,1161819
"20","Dubrovaèko-neretvanska","Dubrovnik-Neretva",265199,426387,529364,543551,683782,970262,1530116,1391642,964932,826146,1060811,1036413,797531,944138
"21","Meðimurska","Meðimurje",155469,238900,320333,335799,342878,372362,494339,398968,270270,261384,265373,274763,269308,306168
"22","Grad Zagreb","City of Zagreb",2163248,2657817,3364759,4054723,5091138,5739193,6587929,5309401,3916061,3483191,3086385,2856253,2400008,2314290
"23","Nerasporeðeno","Unclassified2)",198527,1939532,543960,394559,188272,150912,223599,189105,77215,123221,93008,78914,23807,15564
