"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002. broj",18047,1199,203,1113,506,319,135,261,1636,392,160,479,530,851,1154,691,1882,1286,1240,483,186,3341
"2002. površina, m2",1438741,126762,21489,70229,32218,32708,14648,22369,127947,24098,14773,38389,60364,56913,97756,48696,121106,95925,101384,41412,25045,264510
"2003. broj",18460,901,175,787,316,347,177,337,2072,463,170,679,577,836,790,657,943,1288,1516,557,245,4627
"2003. površina, m2",1528821,99156,17715,54333,20415,36568,20883,28954,170726,27605,14785,59352,57225,55236,77642,43385,67134,97179,120440,48206,33325,378557
"2004. broj",18763,801,205,482,286,349,333,297,1879,578,265,727,576,1017,861,641,659,2356,1431,778,227,4015
"2004. površina, m2",1567929,92165,22786,39468,18577,34483,33347,26219,160306,36375,22646,54061,64559,71384,84890,48536,52060,162432,120324,64160,38709,320442
"2005. broj",19995,1540,229,405,252,522,215,294,2257,342,200,327,535,1237,718,679,613,2158,1822,628,251,4771
"2005. površina, m2",1700878,157759,24849,34701,21475,54078,25075,27409,184099,25322,19204,28650,66654,87161,70736,53035,53893,151628,145326,51975,39712,378137
"2006. broj",22121,1117,180,301,470,354,282,267,2474,392,226,329,590,1119,1274,1300,481,2277,1552,612,385,6139
"2006. površina, m2",1848602,120549,20125,29498,37952,41646,38104,25966,198268,28124,21828,29870,67362,73019,107074,88775,42497,158911,120572,52951,48806,496705
"2007. broj",25609,867,181,262,274,695,366,349,2828,341,192,184,468,1035,1404,1082,457,2737,1972,676,344,8895
"2007. površina, m2",2075193,105319,20952,25657,25628,68741,39584,33869,221121,26469,19381,19381,57370,72730,117432,79174,43731,192066,156361,56226,54727,639274
"2008. broj",25368,959,266,322,339,421,253,306,2617,773,201,276,510,1345,1440,584,486,2706,1805,672,343,8744
"2008. površina, m2",2037319,103665,28305,29916,27302,47440,31037,30037,205995,48201,17399,24343,60652,90243,108280,40118,47086,191795,143437,55294,49855,656919
"2009. broj",18740,780,255,385,198,484,203,345,2363,459,196,150,467,949,771,256,795,2553,1368,438,402,4923
"2009. površina, m2",1563538,91325,26444,37985,19468,50259,22972,28993,188857,32151,22470,16831,49040,67334,70608,19564,65736,175343,108573,43204,57020,369361
"2010. broj",14972,1086,243,346,131,403,151,343,1450,221,151,124,432,1069,851,399,503,1218,1063,507,342,3939
"2010. površina, m2",1324347,128131,25693,32580,13343,44110,18226,32937,118875,18211,15965,13444,46811,87246,70043,36283,41213,92811,91602,48191,45875,302757
"2011. broj",12390,774,236,285,142,267,218,182,1509,405,141,176,378,1093,606,327,423,1300,814,554,172,2388
"2011. površina, m2",1120032,100232,22091,27341,13353,29188,19606,23419,135496,29450,13961,14612,43616,88036,56514,33145,38982,99201,79340,51471,23970,177008
"2012. broj",11792,803,180,305,164,274,133,156,1557,232,145,79,213,1252,412,394,326,1069,672,524,173,2729
"2012. površina, m2",1017301,90990,19177,27673,14308,28917,15351,15731,130031,17070,15128,7528,22858,98007,40442,37777,29760,85521,63987,52632,26677,177736
"2013. broj",10090,524,103,293,238,306,109,105,1705,183,51,48,362,845,495,384,352,1134,916,525,185,1227
"2013. površina, m2",917330,60315,14713,28532,20692,28646,12029,11315,142983,14184,6110,5972,38423,67523,46950,37652,31527,90314,85710,57914,26816,89010
"2014. broj",7805,449,96,166,176,236,111,168,1052,327,39,101,156,927,534,267,211,866,735,323,227,638
"2014. površina, m2",739292,58004,11915,17886,16745,23023,10685,17106,95303,25264,4616,9933,16937,77159,47918,24410,18186,72169,73665,41620,26296,50452
"2015. broj",8059,414,115,94,113,162,141,101,741,271,46,46,103,950,274,337,378,999,588,230,158,1798
"2015. površina, m2",733413,51379,12235,10052,11220,19532,13290,10781,65882,20009,6064,4732,12700,76660,26555,29037,29659,78078,66970,24932,22942,140704
