"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.",13185,986,411,397,332,575,521,545,1238,209,268,238,413,623,1032,183,456,902,1035,347,531,1935,8
"2003.",13647,917,420,553,341,537,494,466,1482,235,293,257,517,636,1086,252,497,971,1207,418,507,1550,11
"2004.",12741,899,368,411,398,452,542,380,1507,359,311,213,514,454,1083,383,485,875,1044,432,359,1266,6
"2005.",13818,960,397,350,428,429,622,451,1419,289,336,238,619,648,1294,415,612,858,896,439,481,1630,7
"2006.",13575,1007,369,343,409,414,570,419,1276,275,364,238,550,276,1357,315,563,794,1101,402,535,1995,3
"2007.",12801,917,387,394,359,420,529,392,1367,310,303,210,559,263,1046,288,476,827,882,501,458,1908,5
"2008.",12281,969,383,421,358,642,351,473,1258,349,283,155,610,477,891,125,558,859,832,286,550,1438,13
"2009.",11736,1099,361,478,404,490,323,412,1209,303,270,190,446,666,784,196,561,701,1173,314,487,857,12
"2010.",10087,808,257,353,308,427,268,364,989,245,256,159,359,751,631,280,439,647,1046,325,355,805,15
"2011.",9601,776,225,355,223,378,229,379,998,228,257,194,334,737,663,242,533,617,920,303,352,646,12
"2012.",8330,704,214,305,210,309,230,305,801,197,160,148,259,642,614,308,358,483,929,286,364,496,8
"2013.",6687,503,178,315,174,251,219,244,633,198,129,112,183,484,436,223,226,478,752,193,324,424,8
"2014.",6589,514,175,144,233,309,179,222,559,214,193,97,281,511,410,198,228,471,642,221,320,458,10
"2015.",6328,408,182,152,237,325,189,227,657,177,191,101,185,505,330,184,226,423,559,224,285,556,5
