"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002. broj",2467,150,151,43,161,213,188,211,130,30,55,32,90,NA,230,70,70,104,123,27,220,169
"2002. površina, m2",970385,54489,31484,14759,44400,60732,27653,25829,76801,11587,15675,13850,44220,NA,56863,29481,25902,106718,41151,11338,93067,184386
"2003. broj",1366,62,35,32,25,98,74,57,225,36,13,26,29,33,78,29,19,101,106,48,64,176
"2003. površina, m2",322183,14576,14356,6080,6320,14796,11084,8966,45641,6109,3407,5043,5365,8023,13761,7218,2803,16510,20055,8369,16995,86706
"2004. broj",2279,155,108,39,85,127,205,159,155,99,63,44,89,99,190,66,94,96,52,34,164,156
"2004. površina, m2",1279885,74674,26836,21894,24354,74746,44047,34806,57125,40578,22275,21372,33638,51383,114930,53806,41714,125670,24800,19447,79370,292420
"2005. broj",2351,148,112,64,91,133,159,154,167,104,88,45,90,91,211,33,107,119,108,29,147,151
"2005. površina, m2",1619520,109676,41274,25854,33142,142385,46782,32421,133457,44504,20714,16591,46758,109729,138448,30391,49572,127699,76375,19782,89068,284898
"2006. broj",2240,157,96,64,79,113,178,185,150,92,73,38,110,40,207,30,101,110,74,51,131,161
"2006. površina, m2",1892920,125349,35508,33622,35547,78529,72831,56843,203389,40228,24570,20551,57008,25452,147829,38419,48364,116931,87370,37003,94300,513277
"2007. broj",2081,153,86,57,94,106,167,165,155,76,69,30,111,66,161,24,92,80,100,29,138,122
"2007. površina, m2",2191916,195707,65376,19398,41305,79539,103494,40445,146780,46577,31822,19874,114000,54752,181036,32377,53755,152677,61686,32296,87411,631609
"2008. broj",1775,112,89,49,78,121,132,137,97,44,52,35,80,44,147,28,110,108,79,36,92,105
"2008. površina, m2",1772025,143981,54354,36946,27170,124617,63586,39229,87143,12785,14967,19317,35832,88658,163373,60639,92219,143298,96603,28187,58968,380153
"2009. broj",1701,145,69,60,72,121,72,139,119,35,75,32,67,39,129,22,82,73,71,37,155,87
"2009. površina, m2",1693253,125711,34263,31482,14884,80102,32292,37189,131611,20924,17679,27971,28852,35831,213485,71671,66741,100890,80242,138934,79150,323349
"2010. broj",1383,155,88,34,48,98,63,125,74,17,87,22,64,27,89,12,57,69,70,18,89,77
"2010. površina, m2",1497999,96416,42642,21930,54593,47283,29285,21286,74762,8300,29301,12867,33061,11997,241971,5919,45717,151009,35204,89037,38912,406507
"2011. broj",1309,150,60,40,41,105,61,103,78,47,60,31,46,22,96,15,55,68,62,30,85,54
"2011. površina, m2",1082003,77128,22688,13977,13909,53580,27094,45306,42160,14420,20032,17150,22086,39704,105668,9823,28513,88084,59876,64219,42875,273711
"2012. broj",1099,145,43,35,50,49,56,94,67,24,44,19,71,38,75,8,60,54,32,17,62,56
"2012. površina, m2",1293436,62693,27877,12008,22242,97679,22772,27927,133866,8492,13450,10340,33656,15454,138077,26461,68441,41035,26115,29133,16894,458824
"2013. broj",1173,181,55,44,50,70,46,77,45,49,42,17,57,57,72,10,58,42,41,15,103,42
"2013. površina, m2",686977,49074,13167,11051,27578,29770,12775,21183,69937,14235,16995,8116,9195,34405,76939,15263,51266,36079,51580,8543,50054,79772
"2014. broj",1130,157,56,37,66,69,48,84,41,54,38,20,85,33,82,10,42,33,33,19,88,35
"2014. površina, m2",639503,49241,20096,8648,14228,44839,27411,15874,47502,14038,14882,8695,20819,24402,94551,5503,7488,29646,15350,8143,30151,137996
"2015. broj",963,100,41,44,62,50,35,58,27,9,38,21,76,54,65,11,47,30,51,16,89,39
"2015. površina, m2",919113,65075,32015,12551,21387,25455,8308,17489,22613,1370,8602,5628,26867,47172,199305,27354,11855,186677,16712,17141,44211,121326
