"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.","1203027","84594","54345","9198","26221","80613","44143","41086","70474","15005","21207","29211","10346","39552","60057","9944","31367","103586","29949","39411","76749","325969"
"2003.","1648101","91656","63875","28635","26904","85350","48048","39946","107397","14661","30318","28064","48558","24831","132372","34037","46853","178198","90142","26464","91299","410493"
"2004.","1768454"," 126094","  53896","  25772","  29419","  94343","  57911","  36422","  80169","  12792","  30156","  36231","  24974","  35843"," 148724","  29181","  46524"," 142531","  78408","  38188"," 101572"," 539304"
"2005.","1933000","  91546","  54730","  18378","  49143"," 119685","  81780","  49059"," 150407","  31793","  30228","  23543","  63328","  32697"," 194777","  31049"," 100753"," 133301","  84051","  48520","  76309"," 467923"
"2006.","1987453","  95682","  46988","  51904","  32185"," 113310"," 108732","  56925","  89227","  27267","  42221","  22503","  70199","  26876"," 312556","  26632","  82997"," 131884","  92872","  20799"," 133083"," 402611"
"2007.","2515233"," 280817","  82750","  18521","  46133"," 136204","  49182"," 127260"," 185521","  59375","  42187","  14176"," 125994","  71747"," 182234","  60227","  86728"," 161761","  79884"," 188035"," 100400"," 416097"
"2008.","2101940"," 132032","  47551","  31602","  28703"," 106489","  67650","  44244"," 120369","  26399","  33700","  14952","  38673","  39472"," 158109","  75123","  88812"," 146186","  90779","  14667","  88768"," 707660"
"2009.","1715423"," 165257","  37523","  36161","  65068","  45854","  21224","  49541"," 123944","   8728","  23851","  23940","  44052","  24331"," 270352","  25996","  65887"," 310103","  98943","  43739","  57612"," 173317"
"2010.","1650221","  70095","  35070","  28827","  23485","  64159","  25032","  26883","  80567","  10994","  19360","  40428","  26902","  90168","  96506","  12708","  90328","  92358"," 114665","  26069","  42529"," 633088"
"2011.","1091883","  82164","  28180","  19397","  27282","  39621","  27331","  60942","  58150","  24677","  28550","  12831","  61989","  17119","  95379","  34924","  49767"," 129423","  52149","  24898","  37078"," 180032"
"2012.","935244"," 50991"," 24978"," 37710"," 17194"," 39645"," 28355"," 26999"," 95870"," 11084"," 14991","  7738"," 16700"," 77781","169313"," 21920"," 56523"," 43880"," 41953"," 13416"," 33706","104497"
"2013.","730438","120772"," 14448","  5747"," 20428"," 34164"," 21388"," 12490"," 20078"," 15176"," 20739","  7794"," 13426"," 28886"," 46926","  4315"," 34597"," 88075"," 22400"," 24675"," 31857","142057"
"2014.","969958","158128"," 31947"," 27029"," 31327"," 52149"," 23132"," 35100"," 53560","  9577"," 41384"," 31446"," 13194"," 12441"," 96343"," 14360"," 23656"," 19656"," 33739"," 44580"," 93587","123623"
"2015.","1602146","  77750","  39587","  12306","  34682","  59832"," 110603","  58920"," 303103","  23165","  53877","   7167","  42881","  37445"," 303613","  20942","  66400","  60400","  83656","  54592","  71161","  80064"
