"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002. broj",11730,951,176,1083,322,297,124,191,852,222,128,455,439,436,878,438,1831,521,644,354,178,1210
"2002. površina, m2",2144223,179950,30259,94581,45911,46122,19262,34974,203359,37423,19717,56208,77739,73055,139223,70453,158868,148782,159075,88500,34294,426468
"2003. broj",11160,707,238,769,351,342,310,448,792,411,219,603,517,510,735,400,947,460,590,245,325,1241
"2003. površina, m2",3055372,206709,73946,85135,45396,96208,62756,69325,271755,77538,39843,92928,131007,105385,208013,84384,119237,251841,183022,74201,91632,685111
"2004. broj",9069,552,173,448,246,222,221,228,825,401,236,693,491,504,593,311,399,540,630,236,219,901
"2004. površina, m2",2135520,117223,31577,52255,24965,47035,45916,33464,230339,49200,31009,73410,83480,101494,121896,67493,69841,231256,162736,83992,47897,429042
"2005. broj",8449,705,181,355,211,283,160,190,903,174,185,287,460,447,528,355,380,568,662,263,234,918
"2005. površina, m2",2427110,195236,33591,44927,28384,77561,34890,39510,261943,29571,26691,40124,87449,130540,107768,70525,74410,214871,194100,76416,50350,608253
"2006. broj",8657,601,144,262,244,289,252,192,842,280,195,305,418,493,627,467,307,586,575,279,235,1064
"2006. površina, m2",2596954,157184,27248,38310,52352,55622,51255,36544,285329,42171,30157,45299,92412,98963,153705,117681,54810,221511,161295,84773,68573,721760
"2007. broj",8480,604,130,198,164,287,210,224,1070,166,137,151,394,332,526,337,330,566,712,253,278,1411
"2007. površina, m2",2972988,138249,26984,34073,33592,94140,48990,45300,326416,35733,24728,26867,74522,105719,168344,107778,59796,285694,219249,83992,68212,964610
"2008. broj",8148,510,173,241,157,285,191,225,952,267,129,187,442,388,478,261,326,625,631,261,238,1181
"2008. površina, m2",3071783,143503,39960,38887,37039,66873,41190,41058,321061,67451,22561,36488,77910,136549,158693,53718,65006,278327,220267,85959,64689,1074594
"2009. broj",6733,523,143,282,129,269,146,169,858,173,138,115,344,304,376,100,318,519,514,192,286,835
"2009. površina, m2",2230606,124082,36728,48947,28007,77180,30851,39982,268143,45432,31833,21788,65731,96295,104431,25843,92037,269236,148203,59099,74675,542083
"2010. broj",6108,650,169,245,92,234,120,202,558,115,106,109,318,451,321,199,264,343,503,200,217,692
"2010. površina, m2",1854330,164912,38567,42510,18360,59542,25629,45721,166424,24233,22318,18173,62510,123425,100301,49461,61704,129635,125644,67467,61706,446088
"2011. broj",5468,553,128,231,89,193,113,153,683,194,108,109,303,424,300,172,213,384,390,207,128,393
"2011. površina, m2",1578601,133798,33679,36897,18088,39852,26277,36681,185129,38937,19042,20028,57385,118920,85756,42095,52854,148300,103427,67742,31460,282254
"2012. broj",4948,525,104,243,133,180,80,118,618,117,107,70,182,505,240,195,197,353,339,191,148,303
"2012. površina, m2",1396577,121250,28481,35920,19924,39204,17658,22349,176288,22959,21316,9530,30345,132354,56595,48844,40168,135553,84056,70284,37453,246046
"2013. broj",4566,368,93,232,134,122,75,93,636,102,51,47,279,343,326,180,243,307,405,189,133,208
"2013. površina, m2",1256406,89448,19637,37470,28889,38434,16808,14993,195852,18010,8174,9137,50646,90125,65414,49147,42715,131105,120254,85844,33051,111253
"2014. broj",3841,335,80,154,114,98,66,134,473,146,37,94,146,398,253,122,151,309,369,104,122,136
"2014. površina, m2",1018964,76019,16143,23214,21821,30370,18673,23109,130299,32721,6010,12839,22032,107997,70386,34626,24132,100315,97020,58500,35113,77625
"2015. broj",3678,326,83,68,107,141,70,92,311,92,38,34,98,353,166,128,365,297,364,84,133,328
"2015. površina, m2",979014,66578,16225,13240,16121,25405,17877,20710,87641,25259,6991,6594,15950,102376,36173,36959,40921,106683,85979,31437,28254,191641
