"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2002.","2393281","147239","34369","38088","22479","62957","35414","38019","249894","27912","17845","27989","56473","159531","123533","42610","43121","277461","217005","72264","42528","656550"
"2003.","2455370","139727","37146","38286","20308","60787","37058","34074","332653","44718","20980","26692","67869","152463","104571","56267","59257","260706","283981","103313","42923","531591"
"2004.","2434488"," 146851","  29856","  32541","  28996","  73440","  49068","  37225"," 311375","  79929","  20576","  21167","  71792"," 111596","  99291","  90991","  67183"," 321734"," 242987","  90320","  37031"," 470539"
"2005.","2840236"," 216806","  35357","  32881","  37648","  70327","  45830","  42142"," 326254","  61234","  25270","  29766","  93987"," 134345"," 147597","  97198","  67274"," 250106"," 192160","  93679","  73702"," 766673"
"2006.","3167992"," 182746","  31626","  27764","  53688"," 109219","  68427","  35379"," 304127","  51266","  27926","  34764","  84842","  62142"," 225392","  91315","  64063"," 246199"," 217523","  90805","  76079","1082700"
"2007.","3009703"," 179251","  48454","  38715","  37684","  60064","  51399","  44921"," 329956","  39743","  28301","  26125","  86814","  71024"," 174159","  94003","  55424"," 311464"," 192212"," 114849","  56867"," 968274"
"2008.","3054229"," 245525","  46351","  58487","  53264"," 116460","  34417","  59353"," 318809","  64567","  29089","  22151","  90495","  99291"," 151386","  27222","  98254"," 275795"," 171089","  78234","  71676"," 942314"
"2009.","2312954"," 247959","  62526","  60356","  44422","  71858","  31100","  50623"," 274405","  59568","  29021","  22166","  60909"," 171540"," 140016","  45734","  86390"," 176834"," 210322","  66469","  65868"," 334868"
"2010.","1845346"," 153838","  24775","  40881","  32117","  69028","  30165","  30883"," 191638","  35774","  23944","  21945","  48305"," 190090","  92271","  64955","  58885"," 152217"," 162441","  82740","  39103"," 299351"
"2011.","1706462"," 123246","  22117","  33381","  19509","  56763","  27481","  31299"," 202199","  33500","  23382","  19425","  45768"," 167786","  68928","  66556","  70675"," 181088"," 165848","  66014","  37824"," 243673"
"2012.","1216272","  86117","  22343","  26194","  20822","  25174","  17403","  18076"," 148924","  26163","  16657","   9448","  29950"," 117424","  80989","  56601","  29178"," 104696"," 117818","  73298","  25910"," 163087"
"2013.","999924"," 56947"," 13888"," 37589"," 25474"," 26051"," 12464"," 21204","122256"," 23307","  6680"," 11412"," 16951"," 97219"," 36280"," 48656"," 16649","114051","104261"," 50584"," 31458","126543"
"2014.","963714"," 44801"," 12388","  9052"," 15150"," 32540"," 10483"," 12593","108484"," 33951","  6347","  9963"," 26200","118180"," 28367"," 39753"," 27113","133187"," 83244"," 33582"," 25921","152415"
"2015.","884866"," 42325","  8777","  8906"," 11193"," 33261"," 11140"," 10592","131730"," 26018","  6801"," 12482"," 16151","107935"," 20803"," 35490"," 15423","111650"," 78141"," 54355"," 29041","112652"
