"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.",1290014,86377,10037,78585,31425,55338,39809,23741,114982,30885,2690,20880,14039,71447,139549,41509,34632,71706,59254,5729,28416,319276,9708
"2003.",1745572,144835,23729,63507,39916,75907,30753,26654,186691,65034,10495,24201,25338,131802,145634,65157,66892,96039,45444,40444,93183,331236,12681
"2004.",1966781,99354,8501,79167,37743,64675,36156,18871,187282,140850,17726,19052,25865,188165,120824,70514,65828,150222,71817,31497,97179,428601,6892
"2005.",2169609,105370,18217,192210,35854,87921,38459,17886,247295,82343,22758,21729,42765,147006,102919,59625,98056,121549,124882,41409,80410,470058,10888
"2006.",2953807,185410,38476,112176,148893,76326,94962,30638,314452,92964,41269,22276,50267,229378,159494,102972,118340,148450,211147,37894,64929,646995,26099
"2007.",2751547,152309,88037,146524,45189,81819,58378,22188,269081,72338,28914,25111,72294,192747,161069,118979,99798,193560,162493,37389,105677,603492,14161
"2008.",2765983,184133,55136,114154,52156,71843,89632,38958,287643,63986,35015,26300,77734,265645,271626,96099,94364,132700,161282,63653,93325,465751,24848
"2009.",2817040,322033,30134,111308,62984,59875,60573,41887,285121,255247,25463,21928,76818,168192,166041,79109,105495,149522,135098,60770,53939,483048,62455
"2010.",2074251,115537,27911,90785,46876,38349,43432,32521,190169,133146,19954,10522,127630,169354,168582,88383,53096,162931,123937,40967,43227,327837,19105
"2011.",2166720,197404,47004,103275,68996,86080,63471,36073,171002,62288,40927,17647,67574,219718,137508,132803,117219,111965,140058,85058,58947,192032,9671
"2012.",2317763,154866,37268,95768,45376,77123,61070,44955,206606,50815,62626,28042,99815,151451,108044,128760,100515,142459,193986,173634,59386,280912,14286
"2013.",2210776,168978,30630,114157,32089,57584,56147,30709,199134,31317,44315,42817,58070,164273,175758,107340,61144,114739,197570,127630,61304,309592,25479
"2014.",1748788,154530,30006,118463,37122,41551,58060,29104,212167,22081,62721,16702,32624,127092,116368,90480,46514,103699,147778,73822,58574,162468,6862
"2015.",2381811,203561,44372,145436,100998,77116,63244,28143,284729,55171,46483,23010,43258,118339,199753,99774,81990,181672,175268,99733,118426,190697,638
