"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.","2974083"," 114098","  69738","  46311","  58948"," 114965","  47034"," 115603"," 238170","  22646","  16541","  41082","  36380"," 101822"," 191713","  64495","  64114"," 285891"," 269272"," 136801","  78529"," 859930",NA
"2003.","3786115"," 138610","  55271","  56892","  86647"," 105567","  79034"," 150358"," 331818","  46702","  40264","  52287","  89489"," 121201"," 253915","  90917"," 110547"," 364335"," 265481"," 164983","  68498","1113299",NA
"2004.","4202678"," 167365","  51819","  79086","  70901"," 179957","  93563","  65033"," 345754","  59917","  26137","  50608","  67797"," 195692"," 345832","  73697","  86531"," 327236"," 262862"," 234971"," 105377","1312543",NA
"2005.","4719005"," 202832","  76034","  62543","  61359"," 163765"," 104016","  61231"," 390914","  50833","  30990","  55059","  60904"," 203317"," 300945","  80313"," 129893"," 334687"," 480261"," 196562"," 108335","1564212",NA
"2006.","6092716"," 271293"," 100785"," 154162","  56678"," 154308"," 127414","  86485"," 430327"," 133939","  40327","  78744","  94529"," 174669"," 409831","  66544"," 173507"," 705346"," 704704"," 349424"," 124053","1655647",NA
"2007.","7304353"," 446242"," 106514"," 127747"," 128805"," 339509"," 132475","  90629"," 516119","  85054","  55677","  55305"," 177945"," 378524"," 536060","  98638"," 230357"," 762428"," 523163"," 462711"," 140912","1909539",NA
"2008.","8846535"," 683925"," 132496"," 161818"," 115525"," 366399"," 120174"," 126850"," 628667","  67851","  56170","  71624"," 166480"," 480795"," 774006"," 173456"," 299689"," 837889"," 549539"," 636553"," 178627","2218002",NA
"2009.","8106514","1012111"," 111048"," 193111","  86178"," 276305"," 151003","  79719"," 579729","  56821","  55210","  93024"," 127753"," 325822"," 700185"," 208994"," 309935"," 781385"," 313421"," 495508"," 153417","1995835",NA
"2010.","6585518"," 348715","  59003"," 135689"," 150688"," 200353","  72888","  45783"," 325420","  59404","  72440","  49689"," 142365"," 211066"," 621731"," 106160"," 363404"," 987024"," 314309"," 316318","  85891","1917178",NA
"2011.","5528582"," 283402"," 106418","  70227"," 100835"," 142159","  42945","  64351"," 341836"," 109233","  61876","  63835"," 110344"," 154248"," 511123"," 129674"," 341605"," 546538"," 434003"," 211647","  97150","1605133",NA
"2012.","5006339"," 278657","  80946","  40128"," 113415"," 216068","  96733","  78273"," 384181","  59145","  32913","  42407"," 148997"," 152425"," 251215"," 122994"," 174996"," 372261"," 489355"," 381056"," 101929","1388245",NA
"2013.","4354531"," 247249","  56874","  75281","  92827"," 189922","  63721","  64851"," 224387","  60170","  53362","  43117","  95245"," 215895"," 346564"," 112890"," 130761"," 374398"," 400183"," 335402"," 101346","1070086",NA
"2014.","4621430"," 572620","  65189","  72092","  72110"," 137071","  63413","  48224"," 428723","  34258","  40127","  42565"," 113060"," 208752"," 285407","  95427","  90032"," 452333"," 442357"," 366257"," 105199"," 886214",NA
"2015.","4982784","585901","69818","105333","83390","127624","83732","49841","368136","39192","23747","28191","78974","179752","301658","120744","164400","916444","401994","434361","79534","740018",NA
