"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.","97700","  962","  953"," 7077"," 1346","  393",NA,NA," 6573"," 3952",NA," 3266","  807","  560"," 1688","  966","  185"," 3308","12511"," 1813","  678","42550"," 8112"
"2003.","171739","  1528","   369","  3401","  1354","  6973","   570","  7457","  7780","  6828","   445","  2871","  2901"," 12635","  7276","  2727","  1046","  3252"," 15196","  3408","   196"," 83526",NA
"2004.","190460","  1406","   341","  5610","   615","  4607","   678","    18"," 20023","  3081","   214","  2823","  2293"," 21708","  3576","  8872","  1255"," 10315","  7925"," 22538","  3985"," 68577",NA
"2005.","173898"," 14364","  7408","   383","   366","  1999","  9555","  5520"," 12769","   765","  4661","  1611","  1735","  7949","  9617","  8219","  2219"," 18043"," 33430","  6034","   811"," 26440",NA
"2006.","170548"," 12643","  5096","   118","    99","   464"," 15945","  3815"," 16143"," 11529","  2323","   490","  2361","  9416","  4885","  2162","  2398"," 21778"," 11014"," 12439","  6322"," 29108",NA
"2007.","183700"," 31472","  1218","   686","   133","  7623"," 12146","  2040"," 14263","  1901","   511","   297","  2449","  9489","  6917","  3649","  3714"," 15274"," 13500","  3356","  5079"," 47983",NA
"2008.","234325"," 12439","  5971","   825","   544","  2427"," 12304","  7311"," 30560","   444","    25","   320","  7967"," 28688","  5254","  3191","  5821"," 15364"," 38695"," 15185","  6423"," 34567",NA
"2009.","237072","  9063","  4071"," 11028","  2541","  2578","  6758","  3496"," 11209","  1067","   688","    62","  6629"," 12043"," 23366","  5528"," 16570"," 43967"," 33559","  4883","  8226"," 29740",NA
"2010.","149234"," 10894","  2534","  3350","  1134","  1049","  1154","  3504","  9509","  1038","   187","   194","  4076","  8369","  7638"," 13678"," 11978","  8762"," 21866","  5739","  7661"," 24920",NA
"2011.","158838"," 11606","   894"," 14204","    28","  1167","  1326","  3285"," 11910","   370","  1895",NA,"   826","  5960","  1781"," 21363","  8439","  8662"," 12922","  7855","  4321"," 40024",NA
"2012.","118869"," 12087","  4000","  6655","   645","   119","   882","  1546"," 14673","  3323","   532","   660","   294","  2550","  1235"," 11169","  2850"," 11894","  6754","  7696","  2348"," 26957",NA
"2013.","145893","  8170","  2683","  7618","  1325","   132","    61","  6178"," 27739","  3116","  3235",NA,"  4389","  6888","  2484","  6010","  5175","  2049"," 29174","   555","  2686"," 26226",NA
"2014.","198598","  3741","    91","   845","  4436","   628",NA,"   927"," 47173","  4542",NA,"  1026","   343"," 15246","  4777","  5537","  8633","  8145"," 49621","  5024","  2088"," 35775",NA
"2015.","266374","26298","360","4077","1314","587","209","9941","70247","5441","249","55","8190","9420","7554","7789","17561","16603","40894","7224","102","32259",NA
