"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.",5480389,139099,53453,146329,1519801,282579,51369,60851,589369,343157,28567,36824,145915,412540,188985,98743,104609,311381,168833,83588,31889,512808,169700
"2003.",8309461,270521,67020,132118,436802,594221,78848,67171,793134,707767,37372,57121,142030,703325,135812,232726,115379,681549,375791,136992,56372,567399,1919991
"2004.",8026470,293338,137107,167637,161345,212460,96041,148178,728390,1667336,61911,55992,166228,370489,195522,496676,184668,772578,665975,132056,102537,672938,537068
"2005.",7674953,405066,582209,146724,138108,131200,102124,123924,843281,383322,152658,39686,154436,239815,323960,729626,363384,732979,568765,171595,99204,859216,383671
"2006.",8463969,457348,448580,260634,222884,238725,128394,103243,1101762,182658,110106,23440,206599,245581,662252,119904,409645,1335340,625833,154250,95446,1170776,160569
"2007.",8848935,600472,227939,248291,234735,275794,107913,111041,1345196,213657,80082,42871,255793,391597,1178592,188910,275331,1438180,297733,329296,71100,797661,136751
"2008.",9754781,785940,259272,262620,229699,214309,167826,169921,1308542,377900,105866,94620,311983,307086,1246724,136190,310654,1186246,360534,669872,168165,882061,198751
"2009.",8693581,913701,274718,236545,167043,161492,153981,180384,931847,242064,113478,80133,161444,409787,580915,103845,435537,899788,711471,707180,112182,989396,126650
"2010.",5871889,564768,111806,226915,132325,127609,84222,111880,802304,184186,105943,71710,125643,164920,273431,87177,198775,817634,523024,461744,82029,555734,58110
"2011.",5777826,556323,96899,216603,148322,122534,161867,144906,557993,145746,161589,79735,159994,240897,373235,160103,204749,807519,399865,358709,61153,505535,113550
"2012.",5942192,562871,131611,221367,136362,164890,222466,146425,549838,119756,108464,80510,180434,385209,666283,143380,161129,697040,280094,325124,60226,519991,78722
"2013.",6050335,619597,222628,199180,140301,115956,205339,103449,470017,126648,87962,75190,163085,255736,463088,150412,157846,843752,310594,452342,54858,778920,53435
"2014.",5295062,478701,247120,170156,199375,158478,136378,103481,479990,149955,65555,86153,158673,192799,450647,105070,141990,526886,328447,224882,62817,810564,16945
"2015.",4961227,546426,269606,162070,159487,76754,184976,108559,418841,95172,79309,70270,188484,114093,359720,118630,209220,401182,318691,278477,73382,713807,14071
