"","Županija","County.of","X2002.","X2003.","X2004.","X2005.","X2006.","X2007.","X2008.","X2009.","X2010.","X2011.","X2012.","X2013.","X2014.","X2015."
"1","Republika Hrvatska","Republic of Croatia","158436",204843,"155409","244568",259215,"428351","468584","451555","450553","428532","428586","421720","318970",297575
"2","Zagrebaèka","Zagreb","3344",7052,"4046","12710",5944,"15193","14811","16936","17749","15450","37454","35990","12431",19810
"3","Krapinsko-zagorska","Krapina-Zagorje","415",34,"741","4483",1763,"4517","1417","8221","4958","1449","2044","1519","10214",7849
"4","Sisaèko-moslavaèka","Sisak-Moslavina","32310",37079,"25895","49251",52927,"77386","116445","85409","84745","147142","92931","69531","77999",44154
"5","Karlovaèka","Karlovac","1057",610,"279","2674",19503,"45116","79385","31893","15472","9613","12285","7141","19088",7475
"6","Varaždinska","Varaždin","970",663,"3170","1116",2304,"2197","2606","537","9845","8425","7438","8092","5371",4311
"7","Koprivnièko-križevaèka","Koprivnica-Križevci","5995",9663,"11936","16598",8454,"14439","13374","9777","6656","3710","8010","7786","3897",956
"8","Bjelovarsko-bilogorska","Bjelovar-Bilogora","126",1568,"2421","4175",916,"1403","1501","1041","851","550","5146","7639","1468",13558
"9","Primorsko-goranska","Primorje-Gorski kotar","37569",74705,"67365","82454",83413,"90665","80258","167982","146749","53058","47854","75583","41598",54027
"10","Lièko-senjska","Lika-Senj","1878",7791,"2445","1058",1778,"3399","19634","39083","1548","3206","2426","2665","823",3095
"11","Virovitièko-podravska","Virovitica-Podravina","800",582,"124","373",1778,"3529","2564","710","801","548","3369","3057","2430",4833
"12","Požeško-slavonska","Požega-Slavonia","733",77,"214","466",925,"1500","860","1888","688","1020","809","2654","3613",2017
"13","Brodsko-posavska","Slavonski Brod-Posavina","920",127,"139","244",108,"5781","23441","321","419","8","2849","4645","3355",8881
"14","Zadarska","Zadar","2316",2101,"1398","2671",1267,"20416","2224","4589","56375","30071","15519","44747","3125",3209
"15","Osjeèko-baranjska ","Osijek-Baranja","1542",12483,"2197","11329",8241,"5119","12017","12081","2835","15706","10623","13932","28157",18375
"16","Šibensko-kninska","Šibenik-Knin","360",3186,"464","3931",3369,"4742","2413","919","22622","9316","2015","31802","4331",5483
"17","Vukovarsko-srijemska","Vukovar-Sirmium","149",8302,"1412","1991",1490,"6500","8134","1781","1040","1495","2896","5807","16608",9827
"18","Splitsko-dalmatinska","Split-Dalmatia","24729",11481,"7332","7787",13044,"28772","18976","38062","12145","32365","71789","51156","27995",44139
"19","Istarska","Istria","7545",7327,"10521","8294",17698,"39527","12765","9406","20900","14978","7337","10758","17089",11566
"20","Dubrovaèko-neretvanska","Dubrovnik-Neretva","1721",635,"2798","5062",2709,"1481","888","788","4167","37935","41898","2945","7514",2248
"21","Meðimurska","Meðimurje","-",117,"18","2987",4305,"850","1159","-","423","1750","1296","7675","5639",1285
"22","Grad Zagreb","City of Zagreb","22950",12400,"10494","24914",25675,"55819","53712","20131","39565","40737","52598","26596","26225",29622
"23","Nerasporeðeno","Unclassified","11007",6860,"-","-",1604,"-","-","-","-","-","-","-","-",855
