"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.",158436,3344,415,32310,1057,970,5995,126,37569,1878,800,733,920,2316,1542,360,149,24729,7545,1721,NA,22950,11007
"2003.",204843,7052,34,37079,610,663,9663,1568,74705,7791,582,77,127,2101,12483,3186,8302,11481,7327,635,117,12400,6860
"2004.",155409,4046,741,25895,279,3170,11936,2421,67365,2445,124,214,139,1398,2197,464,1412,7332,10521,2798,18,10494,NA
"2005.",244568,12710,4483,49251,2674,1116,16598,4175,82454,1058,373,466,244,2671,11329,3931,1991,7787,8294,5062,2987,24914,NA
"2006.",259215,5944,1763,52927,19503,2304,8454,916,83413,1778,1778,925,108,1267,8241,3369,1490,13044,17698,2709,4305,25675,1604
"2007.",428351,15193,4517,77386,45116,2197,14439,1403,90665,3399,3529,1500,5781,20416,5119,4742,6500,28772,39527,1481,850,55819,NA
"2008.",468584,14811,1417,116445,79385,2606,13374,1501,80258,19634,2564,860,23441,2224,12017,2413,8134,18976,12765,888,1159,53712,NA
"2009.",451555,16936,8221,85409,31893,537,9777,1041,167982,39083,710,1888,321,4589,12081,919,1781,38062,9406,788,NA,20131,NA
"2010.",450553,17749,4958,84745,15472,9845,6656,851,146749,1548,801,688,419,56375,2835,22622,1040,12145,20900,4167,423,39565,NA
"2011.",428532,15450,1449,147142,9613,8425,3710,550,53058,3206,548,1020,8,30071,15706,9316,1495,32365,14978,37935,1750,40737,NA
"2012.",428586,37454,2044,92931,12285,7438,8010,5146,47854,2426,3369,809,2849,15519,10623,2015,2896,71789,7337,41898,1296,52598,NA
"2013.",421720,35990,1519,69531,7141,8092,7786,7639,75583,2665,3057,2654,4645,44747,13932,31802,5807,51156,10758,2945,7675,26596,NA
"2014.",318970,12431,10214,77999,19088,5371,3897,1468,41598,823,2430,3613,3355,3125,28157,4331,16608,27995,17089,7514,5639,26225,NA
"2015.",297575,19810,7849,44154,7475,4311,956,13558,54027,3095,4833,2017,8881,3209,18375,5483,9827,44139,11566,2248,1285,29622,855
