"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2002.","1508412","  19205","   9512","  94914","  40318","  32860","   5072","  10180","  85427","  30857","   4251","  31355","  28775","  76820","  95430","  39939"," 186406"," 125952"," 133901","  35547","  15957"," 405734",NA
"2003.","1972279","  31023","  22352"," 105010","  43916","  43679","  16660","  20534"," 144070","  62982","  12878","  58345","  32065"," 121123","  82069","  53693"," 158956"," 115433"," 197075","  79925","  20534"," 549957",NA
"2004.","2357455","  54903","  14087","  58079","  26222","  48513","  19740","  12088"," 165729","  74482","  17660","  96589","  24236"," 140458"," 100253","  74434","  91920"," 144222"," 205493"," 105504","  11237"," 871606",NA
"2005.","2825295"," 120568","  10991","  23772","  33078","  96582","  22652","  13188"," 184874","  44109","   9874","  46548","  20658"," 155708"," 127410","  65715","  63223"," 234269"," 275252"," 122889","  44052","1109883",NA
"2006.","3489849"," 170973","  19019","  33886","  59966","  99331","  16070","  11468"," 204629","  38143","  15118","  29259","  41728"," 227610"," 170198","  84124","  46680"," 233852"," 249969"," 127066","  47823","1562937",NA
"2007.","4782269"," 225232","  25670","  25809","  55661"," 132759","  25915","  21077"," 306949","  58551","  17230","  14122","  46466"," 210291"," 213529"," 123117","  87299"," 293610"," 389510"," 136029","  48744","2324699",NA
"2008.","5716575"," 271861","  29105","  42270","  45387"," 227731","  18194","  28973"," 348141","  67319","  25181","  45804","  68489"," 213261"," 287755","  75376","  55917"," 368741"," 372629"," 143965","  46640","2933836",NA
"2009.","4090227"," 192024","  29873","  59312","  35217"," 141748","  22718","  37063"," 284791","  59412","  10742","  10954","  43213"," 183358"," 247300","  61888","  79291"," 321870"," 284485"," 122513","  71204","1791251",NA
"2010.","2734802"," 118663","  17123","  16285","  50974","  74292","  13981","  25415"," 225620","  37761","   8941","  10678","  14412"," 135139"," 189987","  58913","  47461"," 241099"," 210195"," 135997","  51039","1050827",NA
"2011.","2723177","  84517","  28523","  27703","  31236","  65760","  30308","  17156"," 210443","  35861","  12737","  10301","  12618"," 146613"," 147161","  65787","  43865"," 273794"," 216059"," 124942","  38063","1099730",NA
"2012.","2162466","  68476","  34767","  17719","  18481","  39312","  16613","  12914"," 186085","  26626","  11106","   6046","   8167"," 133639","  69625","  52315","  31230"," 242659"," 197413"," 131403","  40188"," 817682",NA
"2013.","1907970"," 101728","  12041","   7656","  16046","  24202","   9682","  10448"," 193107","  22398","   5157","   2231","   4399","  76928","  45760","  67274","  34754"," 249670"," 215223"," 117539","  46894"," 644833",NA
"2014.","1907868"," 133791","  13952","   7572","  19595","  42041","  16249","  18030"," 192255","  23141","   4699","   2971","   4039","  98027","  47243","  82122"," 119248"," 244397"," 204711"," 120032","  34991"," 478762",NA
"2015.","2257810","110848","14925","16739","17698","37247","13823","21429","258897","38205","9055","4476","5761","124738","47181","72884","196359","290718","213406","122095","33439","607887",NA
