"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Slobodne zone"
"2004.",100136164,6066269,2507744,7902525,2466027,5275152,4149655,2239775,12298593,314535,1448603,1234092,1857150,1121672,5602161,1443201,1329383,6730922,7587006,595067,2827412,25106814,32406
"2005.",103315185,6552058,2574617,7573120,2474495,5871377,4211726,2085549,13522862,277326,1470268,1146187,1759826,1264737,5282502,1818864,1554669,6048839,7352062,689841,2893370,25687396,1203494
"2006.",114624464,6773642,3010378,10024645,2825087,5726746,4242089,2311180,14538572,326303,1585319,1272971,2147043,1397599,5814046,2011562,1575760,6934890,8269948,689423,3272571,27705944,2168746
"2007.",129873586,7939884,3470293,10418737,3245465,6167244,4368502,2671421,17067039,371703,1849549,1416712,2546785,1549916,6688238,2452187,1826904,8107579,9232039,803729,3856444,30606054,3217162
"2008.",134399620,8878934,4021491,12230274,3333195,6764975,4878551,3021151,15835072,397499,1709397,1434756,2869343,1642197,7320160,2704566,2018045,8542353,9295908,845426,4236329,29297266,3122732
"2009.",116939359,8110658,3584839,8748190,2988902,6507753,4611515,2701240,13849008,378207,1449947,1287152,2478291,1462231,6349075,1978170,1677478,6699976,8132199,775304,3874111,26595287,2699826
"2010.",121613404,8217137,3492221,10546691,2992022,6380686,4851870,2559456,13656274,316587,1452005,1252954,2736755,1401582,6301623,2173655,1841177,6401695,10045829,605937,4061848,25702072,4623328
"2011.",129815663,9013477,3607462,10312341,3422751,6939482,5133635,2718617,15817772,410059,1594857,1288894,3038155,1487198,7323830,2327376,2159421,6174816,10531608,569457,4543295,26387853,5013307
"2012.",130437532,9566426,3463611,10019719,3452085,7055121,5586700,2673154,18088226,427474,1639779,1372079,3276183,1525379,7219750,2145252,2259830,4737843,8469929,537256,4755638,26894682,5271416
"2013.",123043991,9938948,3670854,8016295,3515968,7138576,5120311,2327306,17058416,571867,1257495,1274442,2898149,1556130,7252687,2131766,2190328,3943976,7442102,534767,4820062,25200231,5183315
"2014.",121343138,10072505,4125213,6793330,3477430,7537065,4804502,2187773,15986610,600503,1211321,1152262,2400725,1698490,7332739,2074687,2212981,4396044,7191051,603279,5126856,25114767,5243005
