"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nerasporeðeno"
"2000.",36785148,837894,1158100,1684903,728682,2228732,1013505,379793,2660538,47283,576065,379306,402708,319825,1426766,698093,319287,2119619,4954397,154076,1077407,13197755,420413
"2001.",38916595,791586,1236710,1755703,778914,2415894,995023,432388,3245825,37085,473928,409889,484675,375929,2230172,573226,347865,2239129,5161270,202984,1132814,13105815,489771
"2002.",38421439,902227,1232551,2067874,736027,2407252,1004409,428638,1764773,30710,543491,430792,446759,652285,2529591,506280,452864,2742581,5139987,130206,1048134,12694633,529373
"2003.",41355230,996645,1506589,2468663,751105,2450759,1046541,462765,1584792,36932,751244,479364,422452,713139,2801842,363655,585706,3712619,4988125,111535,1127526,13454652,538580
"2004.",48362953,1101721,1528060,3392311,1282449,3154709,1073180,489694,2399468,37091,562248,509545,507803,834102,2698795,752006,390615,4101900,5540072,112152,1294780,15986453,613798
"2005.",52282750,1190452,1550223,2962304,1172828,3204410,1107331,540028,2421080,39096,645362,531227,611630,799110,3182685,969250,808504,3815621,5297790,197951,1334326,19259339,642202
"2006.",60436998,1364352,1758661,3050807,1102360,3973233,1228314,658985,3097018,39989,826721,628940,634581,1094665,3359452,1126645,998970,4518483,6047480,202953,1625298,22349548,749543
"2007.",66043374,1574973,2044250,3481754,1335898,4475295,1286413,785874,3108490,60834,832492,754582,927380,1158884,3048556,1270424,1110531,5498495,6566899,230037,2041638,23562472,887200
"2008.",69204821,1886576,2160492,3692349,1476833,4598575,1336612,897237,4036145,42947,856801,621641,1232196,1091982,2798864,1432526,989260,5650071,6622137,272921,2254803,24440919,812934
"2009.",55272198,1557756,1948086,2511464,1365182,3949677,1372306,703868,2620805,33633,642917,553334,1016506,1029472,2236417,1021196,812686,3512169,5001866,182614,2010968,20645486,543789
"2010.",64891583,1857575,2152812,3130893,1364108,4486403,1523069,715312,3249221,43007,735728,607332,931077,1058330,2643653,1431947,1501391,4743912,6766374,226625,2319785,22782647,620384
"2011.",71234060,2195598,2288819,4008882,1500225,5399760,1849127,733346,4354545,76706,729343,680124,909327,1301131,3462485,1555273,1151711,4454474,7120999,246347,2931082,23673608,611148
"2012.",72380724.531,2784292.158,2427077.423,3645507.881,1675042.07,5651981.706,1861053.498,738029.048,4021808.236,129517.637,996058.694,762025.663,1376030.829,1264046.334,3251003.263,1923426.904,1197064.292,3595264.336,5242935.027,176662.027,3058074.821,26391493.004,212329.68
"2013.",72594640.149,3176549.384,2752080.494,3412397.451,1873568.688,6009698.5,1989924.141,765112.129,3498403.983,174243.75,756417.116,778544.336,1446426.23,1295700.007,2975563.549,1188250.91,1237696.451,2294355.207,5116869.843,224155.684,3172303.884,27578284.61,878093.802
"2014.",79099297.295,3583637.112,2908127.34,3678967.243,1965979.76,6020757.057,2069006.987,831759.453,3806359.231,194752.843,952230.329,763544.573,1308484.71,1388731.187,3401549.999,1032585.783,1404030.087,2710579.366,4618589.799,221194.996,3407594.282,28276433.341,4554401.817
"2015.",87772422666,4646264188,3109077521,4027717077,2099506558,6881434482,2186746635,890869890,4305012193,226178238,949374551,833997885,1878874328,1789599063,3795656002,541524003,1426110329,3603628213,5542424913,247009146,3785473790,29099582726,5906360935
"2016.",92793258522,4937318176,3360267749,3028816414,2425295091,7095697320,2340522405,1045305869,3595879537,233184108,1105157253,830867503,1904370867,1717448843,4257614506,371788383,1361892922,3515523225,5093153728,202228842,4157395710,30770785271,9442744800
