"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1993.",132,4,8,9,5,6,3,4,12,1,2,2,3,3,4,2,NA,20,10,6,2,26
"1994.",142,6,8,7,3,6,3,5,13,2,4,1,4,3,5,2,2,22,8,8,3,27
"1995.",151,6,8,9,4,5,5,5,13,3,4,2,3,3,6,2,2,23,9,8,5,26
"1996.",145,7,7,6,2,5,5,5,13,3,4,NA,4,4,7,3,2,22,10,10,4,22
"1997.",147,10,6,6,5,6,5,5,12,3,4,1,2,5,10,4,2,19,10,8,4,20
"1998.",147,9,5,7,3,5,5,5,11,3,4,1,2,6,11,4,3,21,10,8,3,21
"1999.",141,8,4,6,4,5,5,5,13,3,3,1,2,5,10,2,3,23,9,9,3,18
"2000.",142,8,4,7,4,5,5,5,14,3,2,1,1,4,10,3,3,22,8,9,3,21
"2001.",147,8,5,8,4,5,3,5,13,3,3,1,1,6,10,3,3,25,9,9,3,20
"2002.",146,8,5,7,4,6,3,5,11,3,3,1,2,8,9,3,3,24,9,8,4,20
"2003.",142,8,4,7,4,6,3,5,10,3,4,1,2,7,8,5,3,22,9,9,4,18
"2004.",131,8,4,7,5,5,2,5,10,3,4,1,2,8,8,5,2,20,8,6,4,14
"2005.",107,7,3,3,4,5,2,4,8,2,2,1,2,7,6,3,2,17,8,5,3,13
"2006.",87,7,2,4,4,5,2,3,7,2,1,NA,1,4,4,4,2,12,6,6,2,9
"2007.",89,7,1,3,3,5,2,3,8,2,1,NA,1,5,5,5,2,13,6,7,2,8
"2008.",81,6,NA,4,1,5,2,3,7,2,1,NA,NA,5,5,6,1,11,6,7,2,7
"2009.",75,7,NA,4,1,5,2,1,6,1,1,NA,NA,4,4,6,1,11,5,6,2,8
"2010.",72,7,1,3,1,4,2,2,6,1,1,NA,NA,3,4,6,NA,11,5,6,2,7
"2011.",78,7,1,3,1,5,2,2,6,1,1,NA,NA,2,6,6,2,11,5,6,2,9
"2012.",77,7,1,3,1,4,2,2,6,1,1,NA,NA,3,5,5,1,10,5,8,2,10
"2013.",74,6,1,3,NA,3,2,1,6,1,1,1,1,3,5,4,1,10,5,8,2,10
"2014.",67,4,1,3,NA,2,1,2,4,1,1,1,1,2,5,4,1,10,5,7,2,10
"2015.",78,5,1,4,0,2,1,2,6,2,1,1,1,2,6,3,1,15,5,9,2,9
