"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1993.",3689,52,46,108,43,80,46,62,353,3,6,26,45,41,217,37,NA,507,111,89,54,1763
"1994.",4562,92,56,129,57,106,78,95,415,6,32,13,125,108,257,83,76,535,125,116,100,1958
"1995.",3694,68,47,114,63,89,73,74,363,13,28,36,58,105,191,69,29,414,132,82,112,1534
"1996.",3255,110,24,64,10,59,62,56,298,15,20,NA,72,97,193,64,22,383,151,88,76,1391
"1997.",3233,129,29,68,64,64,65,61,243,17,23,17,39,92,230,53,24,347,125,78,80,1385
"1998.",2738,88,22,60,9,47,52,42,218,13,19,13,31,72,179,38,27,303,143,75,70,1217
"1999.",2295,77,8,39,13,44,37,29,205,8,8,2,16,65,146,20,11,294,61,71,45,1096
"2000.",2743,72,11,38,49,48,40,28,282,9,9,5,17,73,149,26,17,312,82,67,48,1361
"2001.",2935297,70612,10883,35949,48923,69889,40743,32748,299055,10417,10033,6522,18193,83078,164305,16565,21817,350056,117174,69756,61288,1397291
"2002.",2766321,64564,13080,41307,38726,68660,39490,28377,268340,8316,10752,6642,31914,114425,154582,36571,21008,294964,105382,59461,60292,1299468
"2003.",2342992,42471,11292,21822,29717,58468,35972,24998,252727,5454,6576,3071,20910,80098,123632,28794,6874,273456,79527,61676,54464,1120993
"2004.",2975569,34937,9717,21834,27022,43165,33451,17211,264128,6560,5873,2261,18220,121004,137021,27582,5081,281803,84331,58851,56028,1719489
"2005.",2173633,36500,1219,9130,6621,29229,22716,15007,182728,1741,6020,443,7311,67437,85918,5531,1927,174677,35515,37123,28369,1418471
"2006.",2668695,49968,3279,13262,7109,32044,29195,13431,228762,2357,4591,NA,6377,98271,97696,9710,2859,236032,45681,57176,38120,1692775
"2007.",2482799,32892,1645,11912,3644,25742,24785,16646,181241,2954,3944,NA,3814,83531,92229,18177,1965,237028,45458,56308,31653,1607231
"2008.",3282900,21439,NA,10340,915,22357,19698,10006,518823,2680,3050,NA,NA,156608,96017,18725,316,357977,54172,55847,24421,1909509
"2009.",3523873,21203,NA,12450,1058,23983,26424,8226,485690,2008,2680,NA,NA,225437,123288,20089,2782,365162,99873,58594,35518,2009408
"2010.",3355313,22209,1847,12082,921,16926,19990,8763,462772,2094,2565,NA,NA,211713,106189,129807,NA,187647,90412,68421,32503,1978452
"2011.",3558049,21063,2710,10493,408,32707,22611,10353,403676,1881,4956,NA,NA,159686,291693,101334,1067,374230,91338,58290,37414,1932139
"2012.",4064350,19598,2324,11832,191,200444,25826,10403,425471,1668,6511,NA,NA,164973,331300,97095,1180,440419,95248,98711,20818,2110338
"2013.",4156674,23182,4149,18026,NA,181774,24193,9914,417314,1381,5835,4169,103663,162465,288057,94454,4305,454790,103126,133753,17529,2104595
"2014.",4079522,23269,4623,25039,NA,172401,25847,34325,389061,2011,7088,3884,102237,151474,274748,83416,53596,444424,104795,129334,18961,2028989
"2015.",4347959,27171,5881,27544,0,190736,28416,53732,418842,4563,11145,3531,98173,150519,279712,88144,45106,492674,112660,134041,17794,2157575
