"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1993.",902224,35801,29545,31403,21046,43204,29637,28819,84504,6256,23975,26915,27718,15697,66017,10875,25304,70147,53490,18263,26805,226803
"1994.",954480,37630,29949,36053,26716,43581,30356,33261,88336,6718,24726,27946,28891,15327,69446,11471,26567,78048,55621,18942,27386,237509
"1995.",982918,38379,30425,35831,25898,44316,31003,35796,90614,9462,24740,28737,33056,17872,62952,14745,27828,83235,58232,17945,27692,244160
"1996.",998611,69867,30470,32370,27074,44286,31330,36042,90926,9497,25184,20191,34425,20703,71751,18126,28796,83651,58233,18195,27728,219766
"1997.",1031655,70457,30438,38337,33861,44450,31902,35599,92027,11526,25261,21315,39173,26194,71890,19998,30147,81632,58507,20464,27705,220772
"1998.",1097847,72051,31185,46230,35391,44460,31917,35598,93449,13792,25418,20760,40613,30772,91220,20648,42892,81679,58955,21576,27286,231955
"1999.",1110688,73654,32082,45376,34990,45402,32216,36337,94623,12957,25631,21448,41554,29566,93563,22298,45190,85580,60510,23583,27611,226517
"2000.",1120177,73759,32044,46013,35712,45406,32235,36482,94418,12779,25741,21766,42158,29956,94474,23707,47374,87710,60779,23757,27792,226115
"2001.",1150388,74846,32682,47166,36754,46674,32860,37421,96230,13813,26554,22522,43353,30913,97051,24646,49266,91022,62919,25394,28762,229540
"2002.",1163060,76276,33064,48650,37865,46736,32872,37499,96553,14137,26567,22626,43645,30767,97720,25011,50192,91574,63344,25979,29019,232964
"2003.",1167925,76607,33195,48680,38361,46610,32616,37561,96783,14227,26222,22741,43255,31629,97164,25650,50412,92856,64030,27031,28851,233444
"2004.",1188764,77944,33249,49805,38689,46848,33027,37686,100947,14702,26372,22898,43824,32874,97684,25942,51938,94745,65936,30187,28991,234476
"2005.",1235922,78979,34010,51208,39454,47189,33180,37512,105029,15075,26494,23015,44378,35686,99300,26354,52941,97997,82344,31991,29475,244311
"2006.",1269898,80532,34973,51452,39200,48330,33357,37676,110502,15796,26250,23068,44307,38825,99918,28715,53290,101910,88672,33527,29908,249690
"2007.",1294899,82753,35956,52552,40451,49536,33581,37774,114836,17128,26313,23407,44278,41793,99563,29360,53893,104744,92764,34258,30575,249384
"2008.",1303283,83044,36027,52829,41002,49973,33309,37807,115502,17874,25906,23097,44071,42541,99258,30009,53560,105221,96687,34583,31022,249961
"2009.",1301148,83290,36263,52461,40947,49438,32715,37175,114601,18318,25086,22891,43176,42907,98141,31458,53022,106608,98432,36090,30916,247213
"2010.",1321020,83959,36073,52406,40750,49721,33278,37313,117661,18597,25841,23180,43910,46168,98744,32298,53377,109789,100309,37141,31055,249450
"2011.",1336054,84073,35983,51826,40605,49238,32587,36714,120919,19302,25758,23001,43545,47867,98647,33247,52629,112554,102271,38547,30692,256049
"2012.",1362759,84555,36210,52359,41052,49979,33152,37370,123305,20145,25878,23385,44428,49775,98697,34110,53652,116450,106238,39399,31242,261378
"2013.",1377412,85941,36331,51550,40961,49750,33176,37564,125028,20572,26167,23335,44605,51795,98974,34426,53831,121267,109320,40343,31042,261434
"2014.",1386992,86752,36194,51094,40946,49823,33168,37226,126597,21116,25966,23199,44166,54876,98230,35607,51264,124087,111641,41341,31167,262532
"2015.",1394425,87268,35858,49963,40929,49454,32688,36391,127344,21517,25407,22651,43640,55991,96643,36492,51617,127677,113731,42213,31248,265703
