"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1993.",51913,1060,2698,2760,2479,2368,666,1408,6682,260,977,768,1346,1281,1722,916,NA,6563,3898,2433,952,10676
"1994.",54255,1780,2683,2110,1595,2361,1098,1681,6810,477,1577,314,1546,1281,2035,916,840,7489,3092,2965,1272,10333
"1995.",55133,1675,2663,2440,2027,1947,1416,1681,6506,727,1575,768,1092,1281,2399,916,840,7551,2933,3034,2001,9661
"1996.",53593,2583,2358,2113,997,1947,1418,1629,6339,786,1575,NA,1546,1498,2632,1136,840,7323,3271,3440,1680,8482
"1997.",53182,3111,2052,2060,2270,2298,1412,1632,5912,786,1427,454,756,2102,3103,1316,840,6031,3072,2965,1680,7903
"1998.",52030,2961,1661,2085,1222,1653,1416,1629,5401,796,1372,454,756,2309,3654,1167,1342,6601,3476,2642,1258,8175
"1999.",51298,2618,1757,1797,1780,1981,1486,1629,6016,776,1168,454,756,1879,3103,688,1342,7260,2936,3272,1258,7342
"2000.",50442,2618,1743,2082,1780,1969,1416,1636,5797,1386,810,330,431,1689,3104,710,1340,6793,2696,3230,1258,7624
"2001.",50839,2618,1857,2509,1777,1971,1066,1440,5545,786,1064,330,431,1882,2957,951,1341,7870,2853,3184,1258,7149
"2002.",49814,2618,1847,2206,1704,2127,963,1537,5109,836,1064,130,759,2251,2757,951,1343,7241,2753,2877,1564,7177
"2003.",48045,2591,1560,2011,1704,2043,963,1547,4858,794,1365,330,759,1970,2328,1301,1341,6581,2914,3184,1564,6337
"2004.",48161,2480,1570,2159,2028,1699,563,1338,5355,736,1424,130,759,2394,2334,1321,1041,6201,2914,1985,1564,8166
"2005.",41103,2293,1470,917,1728,1695,563,1099,4725,536,765,130,759,1881,1763,583,1028,5503,2707,1940,1170,7848
"2006.",34957,2273,804,1406,1728,1696,563,824,4375,536,508,NA,431,1182,1476,983,1028,3818,1939,1743,864,6780
"2007.",37404,2213,420,1148,1479,1696,563,774,6249,536,517,NA,431,1796,1476,1145,1028,4498,1421,1950,864,7200
"2008.",34201,1983,NA,1370,507,1596,563,824,5110,536,517,NA,NA,2698,1476,1335,502,3829,1371,1950,864,7170
"2009.",31936,2193,NA,1378,507,1587,563,286,4571,286,517,NA,NA,2208,1473,1335,508,3520,1316,1643,864,7181
"2010.",31023,2193,234,918,507,1547,563,535,4592,286,492,NA,NA,1807,1473,1683,NA,3654,1316,1316,864,7043
"2011.",37840,2193,234,918,459,2343,563,535,4591,278,491,NA,NA,1374,3898,1717,1010,4795,1316,1316,864,8945
"2012.",36355,2199,234,918,459,1779,563,535,3534,286,490,NA,NA,1594,3282,1615,508,4548,1316,1971,864,9660
"2013.",36066,1879,234,918,NA,1400,563,286,3434,278,490,280,512,1594,3535,1415,415,4473,1575,1981,864,9940
"2014.",33310,1193,234,918,NA,994,204,435,2759,278,354,290,512,1834,3535,1415,415,4030,1587,1781,852,9690
"2015.",34998,1567,234,1318,0,982,204,433,3270,528,354,290,512,1834,2845,1059,419,4923,1675,2159,852,9540
