"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1993.",845561,32334,24939,29802,18899,40109,27512,26234,82456,5051,22240,24768,25944,14051,63824,10127,23068,65366,50532,14012,25799,218494
"1994.",890073,34266,25490,31994,22315,40663,28230,30675,86445,5535,23040,25797,27153,13727,67051,10812,24456,71062,52758,14566,26334,227704
"1995.",927173,35242,26358,33884,24190,41400,28944,33326,88596,7348,23375,26463,31086,16279,61374,13977,26522,76322,55280,15933,26780,234494
"1996.",948186,65723,26797,30035,25331,41434,29427,33934,89925,8005,24003,19035,32765,18934,70040,16737,27573,77963,54798,16251,26928,212548
"1997.",989270,66803,27138,37427,31646,41813,30176,33903,90773,10055,24258,20283,38045,24384,71013,18609,29316,77006,56525,19338,26931,213828
"1998.",1055511,69165,28233,43318,32820,42075,30462,34237,92823,12021,24651,19941,39868,28225,90176,19493,41514,77847,57396,20356,26569,224321
"1999.",1083318,71119,29797,43420,33469,43389,31085,35293,94967,11817,25050,20871,41105,28162,93208,21591,44027,83208,60265,22920,27015,221540
"2000.",1093230,71398,29817,44213,34253,43618,31186,35481,94044,11761,25264,21283,41729,28597,94076,22698,46138,85615,60678,22991,27199,221191
"2001.",1080048,70335,29768,43800,33975,43584,30839,35157,91219,12260,25229,21336,41516,28581,93172,22580,47203,84822,58925,23538,27197,215012
"2002.",1091880,71738,30096,45010,34841,43738,30856,35271,91513,12570,25279,21480,41795,28453,93779,22957,48132,85562,59255,24145,27393,218017
"2003.",1094676,72226,30220,45079,35161,43622,30578,35175,91506,12575,24994,21503,41438,28868,93265,23425,48266,86195,59795,25022,27172,218591
"2004.",1114028,73337,30332,46108,35437,43788,30947,35344,95424,13062,25125,21678,41908,30109,93644,23814,49603,88285,61362,28151,27317,219253
"2005.",1148032,73921,30967,47239,35785,43958,30968,35143,98744,13363,25156,21732,42267,32722,94703,24206,50521,90872,77057,29732,27547,221429
"2006.",1173384,75107,31559,47445,35548,44544,31042,35109,103368,14018,24891,21625,42166,35485,94753,26406,50660,94544,82466,30965,27769,223914
"2007.",1193509,76724,32290,48500,36542,45448,31184,35213,106625,15119,24923,21913,42118,38159,94442,27060,51133,97200,86264,31666,28201,222785
"2008.",1196822,76576,32338,48677,36874,45506,30752,35181,106998,15786,24544,21609,41884,38796,94103,27686,50833,97268,89822,31912,28478,221199
"2009.",1193579,76639,32549,48381,36821,45121,30200,34702,106115,16225,23863,21476,41168,39236,93136,29018,50382,98265,91367,33285,28415,217215
"2010.",1210465,77286,32572,48423,36695,45477,30737,34766,108826,16532,24561,21763,41798,42277,93520,29822,50685,101249,93160,34080,28591,217645
"2011.",1219322,77169,32566,47989,36400,45152,30222,34212,111674,17258,24499,21656,41495,43915,93340,30586,50045,103717,94553,35437,28373,219064
"2012.",1238585,77543,32774,48526,36712,45666,30412,34654,113761,18015,24529,22004,42384,45582,93254,31329,50941,107043,98060,36252,28767,220377
"2013.",1252001,78553,32864,47873,36601,45475,30437,34647,115534,18459,24684,21943,42564,47538,93489,31795,51112,111953,101080,37176,28667,219557
"2014.",1260711,79108,32770,47500,36679,45540,30426,34392,117004,18889,24510,21772,42182,50500,92776,32815,48609,114710,103171,37996,28809,220553
"2015.",1266449,79077,32485,46484,36603,45181,29954,33589,117472,19293,24040,21286,41631,51586,91081,33714,49009,118219,105091,38963,28903,222788
