"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nepoznato"
"1995.",7601,445,150,253,217,257,148,143,596,48,87,168,208,277,439,161,228,934,345,247,115,2135,NA
"1996.",8133,346,157,226,212,290,157,153,687,46,71,106,224,358,482,144,222,948,377,313,126,2488,NA
"1997.",9672,497,179,294,279,345,202,184,778,73,95,147,240,342,609,197,229,1139,415,352,161,2915,NA
"1998.",11493,603,235,287,297,354,252,214,1091,80,122,168,291,448,684,257,293,1469,544,410,173,3221,NA
"1999.",10830,585,190,344,283,370,188,180,881,97,118,156,316,436,541,245,286,1352,465,443,198,3156,NA
"2000.",10678,562,216,363,239,342,194,214,852,73,126,135,296,401,672,244,269,1379,483,400,180,3038,NA
"2001.",10227,642,211,336,281,297,183,222,851,73,125,123,316,375,604,208,203,1294,409,442,184,2848,NA
"2002.",11012,650,205,319,300,315,204,201,962,72,143,156,299,338,669,214,221,1512,398,529,194,3111,NA
"2003.",11113,666,214,336,299,325,220,207,986,73,123,170,309,441,557,278,229,1404,446,472,219,3139,NA
"2004.",11426,693,235,357,381,331,201,211,912,77,115,156,343,410,608,285,220,1564,529,457,215,3126,NA
"2005.",11526,699,230,402,320,310,235,245,888,86,128,209,374,427,644,317,247,1457,514,419,233,3142,NA
"2006.",12199,736,231,370,353,354,250,253,908,80,169,192,375,484,725,316,312,1651,533,455,253,3199,NA
"2007.",12562,738,273,345,330,422,254,283,1015,85,162,190,392,462,757,341,424,1546,583,482,259,3219,NA
"2008.",17300,1081,424,472,506,578,358,374,1253,96,305,268,540,592,1316,460,562,2253,676,606,378,4202,NA
"2009.",21689,1351,492,621,664,728,473,458,1823,164,306,390,684,728,1479,523,711,2853,1018,695,483,4983,62
"2010.",23677,1312,494,660,682,825,553,485,2136,217,442,407,760,1052,1702,605,842,3171,1086,712,542,4926,66
"2011.",26521,1642,643,755,735,975,602,550,2112,231,382,395,850,1036,1744,653,861,3580,1177,850,609,6036,103
"2012.",26986,1519,683,751,716,969,634,573,2099,267,431,479,887,1039,1922,750,912,3576,1149,791,654,6155,30
"2013.",25335,1569,637,741,656,911,551,536,1982,229,371,487,840,883,1727,611,856,3229,1082,767,590,5819,261
"2014.",24362,1551,642,659,517,855,612,493,1733,232,405,478,833,983,1588,638,830,3299,944,705,605,5624,136
"2015.",24724,1591,630,756,574,930,605,547,1730,205,386,435,770,946,1620,725,825,3196,1028,740,572,5913,NA
