"","Županija","County.of","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"1","Republika Hrvatska","Republic of Croatia",72114,72021,71786,72773,75445,77633,80997,84403,86330,89239,94538,97500,98425,94837,106079,108300,109227,109373,108382,104977
"2","Zagrebaèka","Zagreb",3078,3803,3955,4241,4432,4535,4928,5013,5264,5613,5881,6251,5780,6016,6701,6877,6534,6780,6851,6443
"3","Krapinsko-zagorska","Krapina-Zagorje",1232,1255,1271,1305,1390,1431,1537,1660,1741,1731,1873,2013,2077,2113,2409,2575,2563,2765,2852,2766
"4","Sisaèko-moslavaèka","Sisak-Moslavina",2406,2055,2114,2069,2142,2261,2395,2440,2506,2502,2714,2862,2843,2679,3049,3168,3185,3276,3187,3244
"5","Karlovaèka","Karlovac",1792,1806,1782,1851,2019,2144,2318,2429,2539,2647,2886,3000,3001,2624,2927,2980,2809,2703,2641,2555
"6","Varaždinska","Varaždin",1989,1902,2010,2081,2145,2229,2483,2672,2768,2869,3057,3133,3308,3340,3669,3555,3762,3994,3911,3811
"7","Koprivnièko-križevaèka","Koprivnica-Križevci",1204,1237,1299,1364,1336,1397,1505,1663,1754,1835,2072,2035,2187,2176,2469,2593,2710,2779,2839,2731
"8","Bjelovarsko-bilogorska","Bjelovar-Bilogora",1181,1216,1297,1352,1397,1502,1631,1702,1790,1862,1973,2051,2031,1999,2265,2340,2330,2537,2568,2488
"9","Primorsko-goranska","Primorje-Gorski kotar",5977,5977,6057,6064,6373,6534,6591,6752,6828,6927,7013,7394,7387,6489,8195,8091,8250,7298,6472,6751
"10","Lièko-senjska","Lika-Senj",502,429,424,440,464,536,557,568,546,595,633,736,817,818,997,1014,1021,999,991,981
"11","Virovitièko-podravska","Virovitica-Podravina",836,906,933,935,902,937,982,1082,1160,1276,1438,1467,1570,1535,1688,1706,1701,1800,1822,1773
"12","Požeško-slavonska","Požega-Slavonia",1336,1011,938,966,1067,1223,1263,1271,1328,1357,1439,1516,1603,1695,1827,1946,2080,2195,2135,2106
"13","Brodsko-posavska","Slavonski Brod-Posavina",2112,2071,2129,2158,2283,2407,2568,2741,2803,2936,3086,3273,3373,3355,3492,3699,3715,3832,3731,3663
"14","Zadarska","Zadar",3030,2982,2915,2896,2917,2977,3072,3160,3056,3231,3488,3750,3716,3797,4389,4161,4144,4531,4624,4588
"15","Osjeèko-baranjska","Osijek-Baranja",4555,4805,4636,4517,4632,4642,4895,5167,5454,6022,6697,6719,6688,6636,7128,7286,7367,7580,7367,7589
"16","Šibensko-kninska","Šibenik-Knin",1578,1625,1719,1804,1953,2142,2254,2275,2140,2242,2461,2565,2717,2566,2890,2899,2864,3003,2929,2839
"17","Vukovarsko-srijemska","Vukovar-Sirmium",1946,1894,1836,1799,1882,1930,2100,2377,2562,2959,3362,3407,3503,3522,3736,3795,3789,3928,3977,3884
"18","Splitsko-dalmatinska","Split-Dalmatia",9184,9008,8911,9444,10186,10825,10984,11484,11297,11521,12459,12543,12625,12541,14157,14556,14433,14434,14028,13359
"19","Istarska","Istria",3078,3124,3127,3023,3169,3022,3253,3651,3745,3845,4143,4400,4565,4242,4880,4839,4862,4850,5141,4880
"20","Dubrovaèko-neretvanska","Dubrovnik-Neretva",2752,2629,2608,2666,2789,2794,2978,2832,2908,3015,3139,3186,3230,3341,3532,3684,3571,3688,3652,3582
"21","Meðimurska","Meðimurje",992,1036,1112,1281,1378,1416,1535,1657,1677,1777,1948,2051,2149,2127,2458,2490,2572,2670,2577,2464
"22","Grad Zagreb","City of Zagreb",21354,21250,20713,20517,20589,20749,21135,21746,22393,22455,22692,23046,20809,21147,23094,23919,24853,23374,23841,22228
"23","Nepoznato","Other",NA,NA,NA,NA,NA,NA,33,61,71,22,84,102,2446,79,127,127,112,357,246,252
