"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",106111,7586,2624,3540,1900,4101,2267,2350,6935,886,1399,1271,2357,3559,5927,2456,2441,13254,5519,3164,2572,30003
"2006.",109508,7827,2720,3408,2150,4312,2370,2209,7256,913,1432,1272,2315,3547,5868,2467,2747,13586,5862,3129,2844,31274
"2007.",113615,8981,2683,3591,2303,4831,2442,2409,7481,961,1417,1233,2253,3666,5966,2546,2609,13444,6192,3286,3152,32169
"2008.",116382,8849,2764,3528,2488,4813,2491,2446,7656,915,1394,1399,2159,3903,6264,2661,3112,13478,6453,3295,3430,32884
"2009.",121433,9422,2867,3697,2791,5221,2757,2555,8060,943,1542,1258,2172,4031,6272,2764,3094,13704,6703,3824,3043,34713
"2010.",125166,10109,2823,3667,2939,5167,3022,2535,7958,907,1579,1337,2219,4361,5697,2849,3302,14033,6767,3949,3113,36833
"2011.",127028,10417,2797,3466,3002,5184,2936,2561,8781,980,1067,1473,2230,4757,5771,2896,3224,14358,6971,3934,2995,37228
"2012.",128046,10405,2811,3300,2647,4927,2863,2648,8373,943,1660,1376,2345,4685,5865,2919,2981,14772,7100,4136,3115,38175
"2013.",131037,10372,2801,3580,3083,5104,2739,2634,8534,948,1574,1392,2292,4990,5908,3050,3165,14876,7129,4295,3359,39212
"2014.",133764,10446,3786,3485,3062,4937,2931,2704,8678,912,1645,1431,2431,5067,6167,2956,3238,15265,7116,4378,3368,39761
"2015.",134573,10816,3179,3730,3105,4820,2750,2708,8707,934,2280,1648,2384,4818,6560,3039,3238,14890,7342,4623,3453,39549
