"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",1205,59,26,27,20,35,29,32,102,10,8,14,27,46,72,41,29,199,118,42,51,218
"2006.",1244,64,26,27,22,37,29,33,101,11,8,15,27,55,80,42,30,204,117,43,53,220
"2007.",1288,74,26,27,22,39,29,33,104,11,8,15,27,55,87,42,30,212,125,43,53,226
"2008.",1325,75,26,28,21,42,29,30,107,11,8,15,28,55,94,44,36,216,128,43,54,235
"2009.",1444,80,29,33,31,50,43,38,109,13,12,16,27,63,94,47,43,220,132,49,55,260
"2010.",1495,87,29,33,32,52,44,38,110,13,12,18,28,71,96,50,48,226,133,50,54,271
"2011.",1513,84,28,33,33,53,44,37,115,13,12,18,26,74,97,50,48,230,135,49,56,278
"2012.",1534,92,29,33,29,52,44,38,115,13,13,19,26,73,99,50,49,232,137,49,57,285
"2013.",1562,94,29,33,34,53,46,39,116,13,13,19,24,76,102,52,51,239,132,49,57,291
"2014.",1590,98,31,32,37,52,45,41,119,13,13,20,27,78,107,52,51,240,137,49,56,292
"2015.",1602,97,31,34,36,53,46,40,117,15,11,25,25,80,109,52,52,235,143,49,57,295
