"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",387952,28061,12425,15430,9924,16249,11048,11792,21824,4335,8939,8862,17538,15803,29674,10010,18837,43795,15803,11527,11114,64962
"2006.",382441,27991,12153,15247,9773,16073,10902,11514,21271,4309,8753,8736,17375,15786,29352,9811,18607,43261,15391,11215,10964,63957
"2007.",376100,27933,11906,15067,9766,15896,10707,11343,20925,4289,8524,8415,17082,15618,28788,9599,18439,42758,15337,11126,10846,61736
"2008.",369698,27947,11676,15006,9631,15645,10586,10964,20698,4245,8232,8181,16540,15378,28255,9360,18085,41891,15152,10833,10695,60698
"2009.",361052,27744,11437,14586,9565,15379,10328,10684,20291,4127,7952,7911,15984,15112,27308,9089,17536,40922,14871,10520,10608,59098
"2010.",351345,27314,11160,14172,9326,15030,10113,10223,19884,3987,7707,7580,15408,14561,26287,8786,16974,39873,14529,10199,10397,57835
"2011.",342028,26861,10763,13692,9105,14777,9801,9876,19507,3827,7403,7157,14788,14125,25241,8372,16501,39527,14315,9860,10151,56379
"2012.",334070,26485,10401,13235,8910,14431,9562,9598,19368,3654,7080,6844,14188,13880,24452,8007,16015,38348,14310,9596,9998,55708
"2013.",327204,26238,10098,12751,8864,14204,9256,9394,19283,3507,6824,6557,13576,13677,23751,7387,15456,37673,14361,9354,9860,55133
"2014.",323195,25978,9869,12355,8787,14023,9118,9143,19033,3423,6574,6312,13125,13525,23048,7509,14960,37269,14530,9310,9747,55557
"2015.",320017,25700,9715,11961,8661,13771,8995,8956,18861,3346,6406,6087,12640,13462,22283,7368,14336,36714,14606,9395,9646,57108
