"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",2140,128,88,91,84,70,93,108,126,55,77,65,114,106,184,52,93,220,110,77,59,140
"2006.",2146,127,88,92,83,71,93,107,129,55,79,64,114,109,184,54,92,220,110,76,59,140
"2007.",2133,125,88,92,82,71,93,107,128,54,79,64,113,109,184,54,93,219,108,74,59,137
"2008.",2127,126,88,92,82,70,93,106,126,52,79,64,113,111,184,56,93,214,108,74,59,137
"2009.",2131,126,88,93,80,72,93,107,125,51,80,64,114,113,183,56,93,216,107,74,59,137
"2010.",2130,127,88,94,80,72,93,108,127,52,80,63,115,113,183,54,93,212,107,73,59,137
"2011.",2136,127,88,96,80,72,93,108,126,54,80,64,115,114,186,54,92,214,106,73,59,135
"2012.",2140,128,88,95,81,73,93,108,124,52,80,63,115,116,186,55,92,216,106,72,59,138
"2013.",2132,128,88,95,81,73,93,108,122,52,79,63,114,116,187,53,92,214,105,72,59,138
"2014.",2130,128,88,95,81,74,93,108,120,47,79,63,115,116,187,55,92,213,105,70,59,142
"2015.",2125,129,88,95,81,73,92,107,119,47,80,61,116,115,187,55,92,209,105,71,59,144
