"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",189661,7388,5558,6230,5646,8154,4929,5481,12293,1552,3835,3816,7208,7784,14797,4729,8311,22319,8958,5629,4515,40529
"2006.",187977,7676,5488,6144,5507,8097,4829,5522,11999,1503,3878,3872,7203,7743,14465,4730,8246,22187,8678,5729,4428,40053
"2007.",184183,7646,5368,5853,5232,8098,4669,5500,11608,1475,3798,3913,7081,7767,14123,4731,8084,21778,8111,5562,4349,39437
"2008.",181878,7487,5279,5667,5033,8033,4605,5493,11259,1456,3782,3929,6945,7708,13959,4715,7966,21500,7590,5663,4386,39423
"2009.",180582,7449,5221,5511,4918,8042,4608,5562,10843,1491,3762,3886,7097,7679,13849,4654,8041,21478,7368,5644,4355,39124
"2010.",180158,7489,5218,5459,4811,8062,4611,5587,10639,1543,3725,3903,7151,7732,13888,4575,8080,21512,7253,5598,4364,38958
"2011.",183807,7596,5353,5726,4922,8033,4728,5637,10637,1632,3774,3933,7297,8005,14083,4622,8269,21637,7280,5907,4383,40353
"2012.",184793,7537,5433,5921,5016,8170,4852,5619,10576,1722,3839,3977,7254,7925,14092,4750,8468,21624,7173,5694,4410,40741
"2013.",182878,7584,5451,5909,4911,8008,4789,5492,10520,1716,3810,3952,7206,7833,13733,4719,8217,21419,7101,5701,4464,40343
"2014.",178661,7416,5377,5791,4820,7867,4687,5377,10230,1637,3743,3862,6866,7659,13432,4528,8064,20913,6919,5457,4299,39717
"2015.",170661,7114,5168,5423,4555,7939,4463,5118,9960,1392,3471,3546,6334,7302,12603,4291,7594,20169,6783,5164,4110,38162
