"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",683,32,22,29,27,25,17,24,52,12,13,14,14,34,54,20,25,80,45,28,16,100
"2006.",693,33,22,28,27,29,16,27,53,12,13,14,15,35,54,20,25,80,45,29,16,100
"2007.",705,33,23,28,27,31,16,27,55,12,14,15,15,36,53,23,26,80,45,28,16,102
"2008.",710,33,23,29,26,29,16,27,57,12,15,15,15,36,53,23,27,82,45,28,17,102
"2009.",713,33,23,29,26,27,16,27,57,12,16,15,15,36,53,23,27,86,45,28,17,102
"2010.",711,33,23,29,26,27,18,27,57,12,16,15,15,35,53,22,27,85,43,28,19,101
"2011.",715,33,23,29,27,27,18,27,57,12,16,15,15,35,53,22,27,85,42,30,19,103
"2012.",724,33,24,29,27,28,18,27,58,12,16,15,15,35,52,22,27,88,42,30,19,107
"2013.",739,33,24,29,27,29,18,27,59,12,16,15,15,35,52,22,29,91,44,32,21,109
"2014.",743,33,24,29,28,30,18,27,58,12,16,15,15,35,52,22,29,92,44,31,22,111
"2015.",750,34,24,29,28,38,18,27,58,12,16,15,15,36,52,22,29,91,44,30,22,110
