"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb","Nepoznato"
"1995.",8877,312,192,288,258,302,162,164,689,56,100,207,237,327,525,195,267,1142,392,295,129,2638,NA
"1996.",10822,457,210,297,271,357,219,209,927,82,102,165,294,456,652,198,310,1290,503,407,151,3265,NA
"1997.",10934,534,205,335,303,375,231,209,906,84,104,176,275,387,694,226,281,1365,491,393,176,3184,NA
"1998.",12761,661,260,320,331,384,274,240,1164,93,137,197,327,502,743,287,318,1621,606,465,197,3634,NA
"1999.",12852,673,236,388,325,432,238,203,1078,135,140,195,357,490,705,294,345,1709,560,529,238,3582,NA
"2000.",13077,669,261,424,304,437,254,256,1123,107,167,174,365,475,857,303,332,1688,590,494,232,3565,NA
"2001.",13421,819,311,440,337,411,285,304,1106,116,162,177,377,480,847,279,308,1729,553,601,257,3522,NA
"2002.",14373,804,283,437,372,447,286,259,1220,119,173,253,358,466,844,291,312,2077,532,665,269,3906,NA
"2003.",15359,942,325,484,449,478,325,283,1304,119,166,246,415,572,725,406,308,1958,618,638,333,4265,NA
"2004.",16877,1057,365,539,508,497,356,298,1285,119,168,225,461,593,854,412,340,2437,790,651,337,4585,NA
"2005.",17767,1069,438,629,521,489,384,364,1393,168,176,305,524,631,1020,482,432,2305,714,675,392,4656,NA
"2006.",19077,1153,455,600,547,550,423,393,1405,154,247,277,531,742,1091,512,544,2497,782,798,414,4962,NA
"2007.",20364,1231,472,602,573,677,415,389,1536,174,242,277,626,719,1162,559,660,2541,934,849,460,5266,NA
"2008.",24893,1630,632,718,724,816,526,478,1820,185,397,366,731,808,1754,670,784,3154,1041,910,549,6200,NA
"2009.",29474,1931,700,856,877,983,632,592,2554,259,382,479,867,929,1885,705,901,3809,1429,911,663,7011,119
"2010.",31606,1844,724,870,919,1102,720,688,2959,303,560,509,968,1360,2200,772,1094,4007,1471,934,723,6785,94
"2011.",35588,2328,972,1047,1044,1254,792,789,2879,336,513,509,1112,1305,2154,920,1121,4589,1561,1068,820,8345,130
"2012.",36073,2223,944,1017,1039,1255,813,860,2959,383,557,625,1198,1290,2363,958,1176,4493,1468,960,895,8545,52
"2013.",34453,2324,966,1019,940,1238,734,775,2786,332,499,617,1140,1138,2210,754,1134,3984,1380,998,801,8329,355
"2014.",33015,2204,970,919,747,1166,778,687,2470,320,524,622,1089,1279,2139,767,1138,4145,1288,859,794,7914,196
"2015.",34036,2404,935,1044,815,1249,817,745,2532,298,513,605,1083,1321,2131,987,1124,4004,1364,951,820,8294,NA
