"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",51784,4849,281,2776,3926,643,807,1622,2243,611,1427,1263,3720,2203,2845,2194,2437,4291,1989,1659,279,9719
"1999.",32910,2700,177,1674,847,360,469,840,1674,242,780,596,2029,1427,1860,1329,1567,3569,1371,1280,285,7834
"2000.",29385,2151,172,1698,643,340,307,647,1470,255,700,695,1865,1286,1522,1054,1619,4581,1524,1381,254,5221
"2001.",24415,1712,148,981,486,225,228,405,1139,213,473,479,1195,1433,1112,918,1044,4654,1171,1080,222,5097
"2002.",20365,1543,162,903,428,181,149,321,1123,228,505,295,994,1487,986,842,620,3128,1174,852,212,4232
"2003.",18455,1572,146,788,408,207,156,267,1135,268,298,210,816,1230,781,826,618,2693,1169,694,192,3981
"2004.",18383,1219,111,672,399,167,151,243,1003,226,338,210,748,1360,658,896,518,3185,1049,779,124,4327
"2005.",14230,808,98,597,311,175,98,211,848,221,228,164,732,1311,588,790,590,2289,996,741,123,2311
"2006.",14978,881,106,580,290,183,120,232,825,175,214,165,766,1526,696,887,614,2103,961,901,123,2630
"2007.",14622,828,123,576,354,172,117,222,858,215,233,173,824,1376,721,770,854,1693,1023,910,142,2438
"2008.",14541,819,110,571,337,175,118,228,943,226,273,152,668,1368,765,871,763,1756,1088,939,106,2265
"2009.",8468,470,62,249,175,134,56,91,479,117,135,61,336,669,441,438,429,1140,474,682,93,1737
"2010.",4985,341,65,161,77,67,32,28,291,66,79,43,185,373,232,153,190,823,293,300,74,1112
"2011.",8534,520,78,266,122,140,73,104,727,146,66,57,248,563,401,246,311,1226,606,503,88,2043
"2012.",8959,534,59,272,184,71,66,76,840,132,82,67,226,473,427,257,353,1250,735,467,81,2307
"2013.",10378,627,56,244,164,123,48,70,915,137,67,80,216,561,395,343,325,1765,895,664,89,2594
"2014.",10638,551,79,258,198,120,62,108,957,146,66,87,212,534,378,516,287,1678,1009,552,100,2740
"2015.",11706,652,118,361,257,203,90,117,1049,147,99,125,300,612,470,415,434,1828,1076,465,130,2758
