"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",36694,5812,696,1915,1581,677,728,943,2018,592,651,605,1329,1808,1919,1683,1377,1870,1823,621,256,7790
"1999.",31183,5163,625,1471,1011,583,665,675,1839,543,569,515,1130,1474,1588,1195,1170,1676,1481,469,283,7058
"2000.",33170,5301,677,1480,934,623,709,781,1747,538,676,653,1061,1562,1726,1395,1432,1953,1514,553,325,7530
"2001.",30845,5041,607,1291,748,554,570,768,2031,562,514,499,867,1534,1458,1118,1233,1889,1445,537,289,7290
"2002.",32842,5212,651,1230,790,611,645,774,2032,607,499,497,861,1644,1424,1119,1283,1857,1712,508,337,8549
"2003.",33289,5596,713,1147,821,600,601,757,2142,573,463,408,738,1768,1426,1073,1094,2011,1653,579,343,8783
"2004.",31877,5278,615,1131,754,574,547,666,1937,546,490,519,760,1784,1295,1099,1002,2147,1539,576,324,8294
"2005.",31330,5351,750,1026,765,587,564,623,2008,561,466,439,752,1845,1202,1057,938,1841,1542,622,289,8102
"2006.",32011,5284,701,1073,692,594,497,636,2059,543,395,446,735,1896,1164,1187,1063,1711,1658,629,257,8791
"2007.",32418,5052,649,1267,802,712,604,637,2064,558,485,412,781,1790,1306,986,1267,1746,1545,656,258,8841
"2008.",29557,4535,606,989,650,627,526,661,1772,537,440,407,747,1611,1285,932,986,1691,1425,643,254,8233
"2009.",27798,4202,592,864,659,596,457,647,1684,455,382,314,721,1480,1199,840,845,1603,1281,693,284,8000
"2010.",25846,3802,565,803,561,529,459,563,1636,408,289,333,632,1460,1120,737,756,1631,1011,553,252,7746
"2011.",28514,4214,573,785,565,649,481,600,1640,461,401,356,628,1643,1193,803,726,1881,1140,643,249,8883
"2012.",27617,3777,549,771,607,555,514,603,1800,438,411,337,629,1749,1100,870,734,1799,1195,673,265,8241
"2013.",29959,4009,662,818,696,624,505,616,1920,595,391,381,603,1577,1152,983,751,2160,1334,896,274,9012
"2014.",33806,4227,747,912,681,762,521,781,2430,617,494,429,680,1600,1517,1038,756,2118,1756,923,441,10376
"2015.",33418,3702,836,811,914,918,523,635,2355,517,428,564,619,1571,1354,872,731,2155,1724,939,364,10886
