"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",NA,10661,977,4691,5507,1320,1535,2565,4261,1203,2078,1868,5049,4011,4764,3877,3814,6161,3812,2280,535,17509
"1999.",NA,7863,802,3145,1858,943,1134,1515,3513,785,1349,1111,3159,2901,3448,2524,2737,5245,2852,1749,568,14892
"2000.",NA,7452,849,3178,1577,963,1016,1428,3217,793,1376,1348,2926,2848,3248,2449,3051,6534,3038,1934,579,12751
"2001.",NA,6753,755,2272,1234,779,798,1173,3170,775,987,978,2062,2967,2570,2036,2277,6543,2616,1617,511,12387
"2002.",NA,6755,813,2133,1218,792,794,1095,3155,835,1004,792,1855,3131,2410,1961,1903,4985,2886,1360,549,12781
"2003.",NA,7168,859,1935,1229,807,757,1024,3277,841,761,618,1554,2998,2207,1899,1712,4704,2822,1273,535,12764
"2004.",NA,6497,726,1803,1153,741,698,909,2940,772,828,729,1508,3144,1953,1995,1520,5332,2588,1355,448,12621
"2005.",NA,6159,848,1623,1076,762,662,834,2856,782,694,603,1484,3156,1790,1847,1528,4130,2538,1363,412,10413
"2006.",NA,6165,807,1653,982,777,617,868,2884,718,609,611,1501,3422,1860,2074,1677,3814,2619,1530,380,11421
"2007.",NA,5880,772,1843,1156,884,721,859,2922,773,718,585,1605,3166,2027,1756,2121,3439,2568,1566,400,11279
"2008.",NA,5354,716,1560,987,802,644,889,2715,763,713,559,1415,2979,2050,1803,1749,3447,2513,1582,360,10498
"2009.",NA,4672,654,1113,834,730,513,738,2163,572,517,375,1057,2149,1640,1278,1274,2743,1755,1375,377,9737
"2010.",NA,4143,630,964,638,596,491,591,1927,474,368,376,817,1833,1352,890,946,2454,1304,853,326,8858
"2011.",NA,4734,651,1051,687,789,554,704,2367,607,467,413,876,2206,1594,1049,1037,3107,1746,1146,337,10926
"2012.",NA,4311,608,1043,791,626,580,679,2640,570,493,404,855,2222,1527,1127,1087,3049,1930,1140,346,10548
"2013.",NA,4636,718,1062,860,747,553,686,2835,732,458,461,819,2138,1547,1326,1076,3925,2229,1560,363,11606
"2014.",NA,4778,826,1170,879,882,583,889,3387,763,560,516,892,2134,1895,1554,1043,3796,2765,1475,541,13116
"2015.",NA,4354,954,1172,1171,1121,613,752,3404,664,527,689,919,2183,1824,1287,1165,3983,2800,1404,494,13644
