"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",7592,143,22,237,2439,48,41,70,1848,18,55,69,172,164,178,25,129,255,126,83,15,1455
"1999.",14285,564,135,559,348,196,169,543,1415,346,545,193,590,577,574,155,414,935,411,576,117,4923
"2000.",5953,266,94,372,219,136,85,195,427,177,334,164,225,188,472,147,399,389,224,237,121,1082
"2001.",7488,420,62,459,342,142,92,231,537,102,378,162,298,280,500,181,630,416,362,257,134,1503
"2002.",11767,511,139,667,381,165,128,215,589,174,298,183,570,398,539,193,611,551,442,291,170,4552
"2003.",6534,434,64,419,279,108,87,163,441,107,220,159,279,272,474,201,411,382,217,156,128,1533
"2004.",6812,417,57,538,305,97,65,176,343,178,666,198,272,284,620,246,493,330,209,108,78,1132
"2005.",6012,278,69,702,331,74,45,214,273,243,209,194,232,258,607,259,424,246,148,102,60,1044
"2006.",7692,377,111,738,422,177,66,236,326,317,246,212,363,330,863,247,580,425,185,224,112,1135
"2007.",9002,328,54,1464,458,101,74,285,340,387,279,253,362,404,1042,362,598,510,237,245,85,1134
"2008.",7488,224,41,1172,402,83,69,187,299,392,224,216,265,504,643,483,500,466,174,166,66,912
"2009.",9940,180,28,1342,786,77,57,228,255,581,673,303,827,477,618,800,804,541,213,186,57,907
"2010.",9860,312,36,1094,373,64,77,302,300,400,252,291,333,368,539,860,931,1041,468,386,68,1365
"2011.",12699,400,45,1307,541,98,83,449,617,434,228,414,325,533,611,1016,772,1249,946,510,122,1999
"2012.",12877,420,114,1217,601,115,78,303,672,498,285,589,395,546,746,1107,499,1303,889,418,95,1987
"2013.",15262,787,124,1608,700,290,115,367,961,371,236,239,695,718,983,1004,1019,1359,638,870,174,2004
"2014.",20858,1699,256,1317,762,511,271,441,1435,491,443,404,914,1248,1505,778,1594,1948,879,461,380,3121
"2015.",29651,2276,409,1748,901,800,374,621,2549,513,804,1028,1571,1542,2212,929,1967,2155,1280,584,342,5046
