"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",NA,3171,710,1798,3412,739,777,1172,3680,678,929,1223,1986,1403,2164,1061,2881,2742,1022,748,317,11455
"1999.",NA,3238,671,2154,1271,779,814,1661,2889,997,1301,1029,2053,1670,2243,1136,2618,2950,1216,1208,427,13265
"2000.",NA,3195,798,2145,1318,803,742,1392,2065,846,1200,1063,1716,1388,2330,1209,2619,2424,958,941,475,9557
"2001.",NA,3314,707,2098,1262,732,732,1335,2036,678,1144,828,1582,1358,2230,1134,2558,2294,1140,905,432,9807
"2002.",NA,3631,937,2352,1546,855,844,1327,2244,812,1144,996,2021,1609,2395,1253,2752,2686,1297,1027,542,12889
"2003.",NA,3826,792,2231,1295,847,842,1314,2239,679,954,930,1874,1359,2181,1258,2666,2461,1057,1009,512,10016
"2004.",NA,3789,705,2108,1174,806,725,1297,2044,688,1477,970,1772,1365,2374,1291,2309,2281,1120,810,503,9545
"2005.",NA,3518,725,2261,1280,760,738,1259,1863,833,988,925,1646,1218,2413,1133,2246,2284,1099,860,483,9299
"2006.",NA,3930,862,2365,1329,812,786,1296,1938,798,1048,988,1838,1352,2711,1152,2380,2674,1183,989,510,9252
"2007.",NA,3780,816,2998,1414,745,743,1382,2170,940,1129,937,1788,1538,3080,1330,2312,2718,1211,1048,523,8818
"2008.",NA,3513,673,2511,1209,668,611,1160,2062,861,930,900,1609,1523,2357,1321,1996,2587,1125,849,467,8113
"2009.",NA,3372,607,2641,1528,674,609,1100,1856,1082,1247,996,2045,1400,2205,1622,2284,2575,1058,878,388,7571
"2010.",NA,3249,680,2292,1155,623,598,1236,1695,777,807,883,1517,1164,1976,1643,2338,2884,1219,1065,414,7491
"2011.",NA,3869,771,2602,1273,723,699,1475,2118,904,793,1098,1565,1464,2148,1949,2276,3075,1835,1304,485,8787
"2012.",NA,3597,777,2572,1295,750,665,1253,2272,905,940,1214,1554,1495,2293,1984,1958,3218,1716,1130,510,8396
"2013.",NA,4231,870,3009,1538,992,701,1401,2590,815,901,878,2108,1777,2754,1855,2700,3469,1579,1720,598,8735
"2014.",NA,5100,1074,2919,1709,1446,1139,1636,3349,1067,1266,1216,2500,2503,3665,1782,3622,4279,1982,1361,973,10076
"2015.",NA,5720,1225,3358,1835,1665,1234,1867,4557,1068,1699,1932,3173,2801,4458,1945,3877,4329,2410,1488,916,11512
