"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",3962,253,43,144,93,168,128,131,401,27,77,78,175,103,330,59,181,259,215,71,92,934
"1999.",3721,253,53,174,77,134,132,123,335,28,65,79,156,100,359,81,177,280,230,83,100,702
"2000.",4419,272,74,149,89,200,113,123,422,27,83,64,184,97,477,79,223,305,257,60,91,1030
"2001.",4670,340,55,204,93,175,134,169,371,28,101,67,174,106,401,76,240,390,216,98,101,1131
"2002.",4496,279,74,159,104,164,131,141,436,35,74,74,164,113,392,71,247,309,260,72,88,1109
"2003.",4934,316,128,213,101,163,179,164,404,40,82,72,207,100,443,95,240,413,253,81,109,1131
"2004.",4985,371,120,216,102,151,169,163,461,38,99,70,176,117,477,77,229,291,248,86,120,1204
"2005.",4883,335,90,178,114,192,157,145,410,41,71,60,172,146,448,86,194,404,258,96,116,1170
"2006.",4651,335,110,169,116,160,124,134,372,34,82,80,160,120,358,80,223,468,213,97,79,1137
"2007.",4785,318,82,194,119,186,131,153,325,45,110,69,179,143,418,81,239,423,260,94,134,1082
"2008.",5025,353,109,208,133,189,151,167,368,48,96,68,158,154,459,91,218,397,310,101,122,1125
"2009.",5076,333,111,201,118,189,166,169,426,38,117,87,191,152,462,76,219,397,319,140,135,1030
"2010.",5058,424,134,180,100,206,177,133,230,29,114,87,183,186,451,102,233,338,280,88,113,1270
"2011.",5662,375,145,165,129,199,184,163,568,27,93,95,180,184,501,107,233,362,314,98,127,1413
"2012.",5659,378,143,193,151,221,168,164,239,32,119,115,205,191,548,121,251,415,303,79,151,1472
"2013.",5992,395,143,219,149,224,120,197,655,49,121,97,242,196,527,122,269,372,362,107,144,1282
"2014.",6570,433,163,247,155,189,164,163,616,65,127,100,221,271,521,153,256,523,288,114,121,1680
"2015.",6010,429,135,216,180,224,153,154,444,38,122,88,186,222,511,86,249,559,279,120,187,1428
