"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",24243,1640,770,1062,709,981,584,704,1519,266,507,470,1003,876,1735,521,1336,2556,1042,611,619,4732
"1999.",23778,1582,698,929,654,938,562,720,1439,249,506,472,1004,845,1787,495,1258,2504,1059,640,620,4817
"2000.",22017,1468,607,950,690,927,631,618,1441,240,480,478,894,810,1732,459,1102,2449,975,523,605,3938
"2001.",22076,1562,655,928,637,894,546,629,1464,273,496,456,940,820,1680,461,1137,2530,958,565,656,3789
"2002.",22806,1715,658,953,676,883,628,705,1560,262,505,475,974,898,1656,515,1105,2503,985,644,594,3912
"2003.",22337,1588,675,903,718,927,548,597,1573,256,461,437,915,846,1611,495,1068,2525,1013,656,613,3912
"2004.",22700,1675,711,969,726,931,554,641,1479,252,491,474,885,881,1618,523,1127,2494,1088,568,591,4022
"2005.",22138,1662,667,878,646,902,541,615,1521,246,453,478,945,923,1609,492,1073,2407,1054,636,566,3824
"2006.",22092,1676,646,902,652,849,596,639,1473,234,435,459,923,829,1585,507,1031,2402,1103,676,556,3919
"2007.",23140,1743,626,921,681,846,570,654,1585,221,477,461,940,926,1647,537,1107,2527,1131,710,621,4209
"2008.",23373,1867,669,949,658,877,588,632,1510,256,483,470,956,893,1804,560,1075,2649,1034,648,612,4183
"2009.",22382,1728,675,847,614,818,595,608,1488,200,440,427,901,844,1679,535,1039,2578,991,697,556,4122
"2010.",21294,1666,647,818,596,806,558,581,1387,218,429,390,878,839,1508,502,925,2406,948,632,570,3990
"2011.",20211,1574,612,747,558,756,495,534,1365,176,402,396,793,836,1525,457,926,2297,912,656,483,3711
"2012.",20323,1530,592,803,551,768,521,501,1309,225,429,396,770,861,1481,477,949,2309,930,664,532,3725
"2013.",19169,1489,590,689,535,706,453,523,1261,201,394,368,749,785,1411,447,939,2170,804,599,462,3594
"2014.",19501,1502,617,725,517,695,486,519,1218,228,411,396,831,759,1496,462,869,2159,844,628,492,3647
"2015.",19834,1494,602,712,566,712,502,523,1237,223,412,419,836,828,1485,447,906,2207,855,621,510,3737
