"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",52311,3410,2104,2358,2032,2486,1803,2006,3567,858,1323,1063,1972,1607,4081,1357,2166,4550,2167,1323,1351,8727
"1999.",51953,3487,2084,2448,2029,2383,1797,1990,3536,839,1335,1050,1993,1559,4088,1353,2313,4346,2210,1234,1333,8546
"2000.",50246,3331,2006,2479,2075,2371,1754,1857,3392,819,1255,1004,1919,1541,3800,1334,2261,4206,2089,1233,1287,8233
"2001.",49552,3341,2051,2441,2064,2266,1706,1818,3310,853,1226,993,1952,1482,3713,1241,2136,4375,2124,1183,1237,8040
"2002.",50569,3456,2039,2536,2003,2329,1724,1872,3417,838,1238,992,2090,1611,3781,1386,2250,4194,2116,1225,1311,8161
"2003.",52575,3551,2126,2620,2143,2492,1708,1958,3585,863,1273,1006,2056,1701,4030,1481,2249,4570,2228,1283,1272,8380
"2004.",49756,3466,1973,2589,2087,2245,1738,1843,3241,790,1218,1024,1990,1594,3724,1416,2180,4215,2112,1211,1210,7890
"2005.",51790,3569,1905,2651,2149,2199,1694,1866,3432,857,1268,987,1997,1714,3976,1495,2333,4536,2210,1256,1254,8442
"2006.",50378,3419,1916,2550,1984,2125,1702,1799,3335,850,1202,1055,1962,1641,3924,1476,2242,4316,2154,1216,1296,8214
"2007.",52367,3509,1929,2702,2065,2316,1709,1866,3509,869,1264,1089,2047,1794,4134,1445,2293,4488,2241,1238,1229,8631
"2008.",52151,3485,2004,2629,2041,2354,1751,1821,3446,919,1273,1057,2067,1784,3970,1467,2340,4720,2109,1323,1272,8319
"2009.",52414,3500,1987,2615,2060,2280,1721,1892,3475,824,1244,1105,2022,1867,3997,1491,2350,4690,2303,1239,1281,8471
"2010.",52096,3478,1916,2601,1992,2294,1673,1814,3537,823,1245,1087,2039,1751,4063,1534,2334,4589,2332,1294,1235,8465
"2011.",51019,3342,1867,2567,2016,2187,1607,1729,3513,808,1246,1046,1958,1704,3914,1399,2269,4691,2222,1284,1254,8396
"2012.",51710,3515,1898,2385,1956,2251,1575,1772,3632,893,1184,1014,2035,1889,4096,1448,2325,4651,2302,1371,1189,8329
"2013.",50386,3505,1882,2453,1849,2154,1456,1725,3440,842,1172,1008,1917,1787,3825,1452,2261,4590,2167,1314,1227,8360
"2014.",50839,3412,1868,2475,2001,2094,1573,1648,3530,899,1145,986,1957,1933,3945,1466,2270,4646,2226,1238,1168,8359
"2015.",54205,3692,1844,2619,2027,2366,1626,1817,3784,919,1133,1076,2125,2072,4108,1594,2400,5152,2414,1342,1274,8821
