"","Republika Hrvatska","Zagrebaèka","Krapinsko zagorska","Sisaèko moslavaèka","Karlovaèka","Varaždinska","Koprivnièko križevaèka","Bjelovarsko bilogorska","Primorsko goranska","Lièko senjska","Virovitièko podravska","Požeško slavonska","Brodsko posavska","Zadarska","Osjeèko baranjska","Šibensko kninska","Vukovarsko srijemska","Splitsko dalmatinska","Istarska","Dubrovaèko neretvanska","Meðimurska","Grad Zagreb"
"1998.",47068,3133,1519,1946,1126,1984,1352,1437,2565,539,1104,1062,2261,1788,3514,1175,2323,5440,1675,1587,1314,8224
"1999.",45179,3002,1417,1819,1178,1930,1263,1366,2419,489,1040,1019,2011,1739,3488,1098,2279,5293,1659,1392,1346,7932
"2000.",43746,3111,1354,1688,1155,1853,1208,1227,2399,442,925,877,1959,1695,3280,1093,2130,5204,1709,1359,1345,7733
"2001.",40993,2852,1227,1567,1114,1790,1200,1173,2269,436,867,852,1839,1636,3108,961,2084,4805,1572,1282,1346,7013
"2002.",40094,2892,1296,1498,1032,1688,1168,1167,2251,418,867,842,1733,1549,2998,961,1946,4741,1603,1187,1238,7019
"2003.",39668,3010,1216,1516,1078,1683,1104,1129,2360,434,843,822,1683,1509,2794,936,1901,4593,1551,1123,1249,7134
"2004.",40307,3056,1224,1575,1023,1725,1099,1132,2355,405,846,796,1607,1543,2804,890,1971,4962,1692,1264,1178,7160
"2005.",42492,3174,1228,1631,1131,1834,1239,1249,2367,458,910,833,1766,1791,3061,954,2052,4970,1772,1251,1236,7585
"2006.",41446,3188,1204,1523,1119,1764,1127,1184,2351,390,816,808,1695,1672,2928,905,1950,4906,1793,1340,1220,7563
"2007.",41910,3247,1206,1506,1159,1721,1157,1174,2384,380,848,815,1689,1676,2869,914,1942,4883,1918,1308,1214,7900
"2008.",43753,3397,1285,1611,1162,1727,1232,1199,2529,417,860,876,1729,1784,2991,997,1994,4910,1960,1462,1286,8345
"2009.",44577,3407,1282,1646,1118,1780,1190,1211,2659,435,867,830,1800,1828,3116,1008,1948,4941,2012,1381,1326,8792
"2010.",43361,3320,1265,1546,1131,1733,1173,1250,2524,405,860,786,1551,1776,2856,998,1813,4957,1906,1433,1286,8792
"2011.",41197,3275,1179,1486,1019,1594,1108,1073,2499,361,816,691,1615,1676,2835,895,1698,4614,1827,1272,1253,8411
"2012.",41771,3267,1190,1543,1051,1643,1092,1132,2504,400,794,736,1563,1766,2919,918,1772,4726,1832,1324,1205,8394
"2013.",39939,3077,1152,1337,1048,1519,1113,1092,2422,396,790,703,1512,1688,2786,890,1593,4313,1801,1252,1201,8254
"2014.",39566,2930,1153,1403,1011,1459,1059,1040,2370,377,737,692,1412,1635,2685,916,1651,4312,1813,1285,1174,8452
"2015.",37503,2712,1037,1271,952,1455,1010,975,2344,386,693,636,1314,1568,2551,819,1438,4110,1701,1283,1209,8039
