"","Republika-Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad-Zagreb"
"1998.",-5243,-277,-585,-412,-906,-502,-451,-569,-1002,-319,-219,-1,289,181,-567,-182,157,890,-492,264,-37,-503
"1999.",-6774,-485,-667,-629,-851,-453,-534,-624,-1117,-350,-295,-31,18,180,-600,-255,-34,947,-551,158,13,-614
"2000.",-6500,-220,-652,-791,-920,-518,-546,-630,-993,-377,-330,-127,40,154,-520,-241,-131,998,-380,126,58,-500
"2001.",-8559,-489,-824,-874,-950,-476,-506,-645,-1041,-417,-359,-141,-113,154,-605,-280,-52,430,-552,99,109,-1027
"2002.",-10475,-564,-743,-1038,-971,-641,-556,-705,-1166,-420,-371,-150,-357,-62,-783,-425,-304,547,-513,-38,-73,-1142
"2003.",-12907,-541,-910,-1104,-1065,-809,-604,-829,-1225,-429,-430,-184,-373,-192,-1236,-545,-348,23,-677,-160,-23,-1246
"2004.",-9449,-410,-749,-1014,-1064,-520,-639,-711,-886,-385,-372,-228,-383,-51,-920,-526,-209,747,-420,53,-32,-730
"2005.",-9298,-395,-677,-1020,-1018,-365,-455,-617,-1065,-399,-358,-154,-231,77,-915,-541,-281,434,-438,-5,-18,-857
"2006.",-8932,-231,-712,-1027,-865,-361,-575,-615,-984,-460,-386,-247,-267,31,-996,-571,-292,590,-361,124,-76,-651
"2007.",-10457,-262,-723,-1196,-906,-595,-552,-692,-1125,-489,-416,-274,-358,-118,-1265,-531,-351,395,-323,70,-15,-731
"2008.",-8398,-88,-719,-1018,-879,-627,-519,-622,-917,-502,-413,-181,-338,0,-979,-470,-346,190,-149,139,14,26
"2009.",-7837,-93,-705,-969,-942,-500,-531,-681,-816,-389,-377,-275,-222,-39,-881,-483,-402,251,-291,142,45,321
"2010.",-8735,-158,-651,-1055,-861,-561,-500,-564,-1013,-418,-385,-301,-488,25,-1207,-536,-521,368,-426,139,51,327
"2011.",-9822,-67,-688,-1081,-997,-593,-499,-656,-1014,-447,-430,-355,-343,-28,-1079,-504,-571,-77,-395,-12,-1,15
"2012.",-9939,-248,-708,-842,-905,-608,-483,-640,-1128,-493,-390,-278,-472,-123,-1177,-530,-553,75,-470,-47,16,65
"2013.",-10447,-428,-730,-1116,-801,-635,-343,-633,-1018,-446,-382,-305,-405,-99,-1039,-562,-668,-277,-366,-62,-26,-106
"2014.",-11273,-482,-715,-1072,-990,-635,-514,-608,-1160,-522,-408,-294,-545,-298,-1260,-550,-619,-334,-413,47,6,93
"2015.",-16702,-980,-807,-1348,-1075,-911,-616,-842,-1440,-533,-440,-440,-811,-504,-1557,-775,-962,-1042,-713,-59,-65,-782
