"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2001.",4299642,296755,139307,189502,140362,180671,121500,129840,296520,55723,91973,83443,164688,154707,318607,110015,190529,435312,197796,117339,114034,771019
"2002.",4302174,299356,138446,188302,139110,180077,120895,128925,296537,55243,91376,83150,164453,156380,318362,110156,189603,438878,198800,117818,114143,772164
"2003.",4303399,302608,137630,187167,138018,179280,120279,127860,296318,55152,90985,82806,164072,158372,317386,110423,188365,441601,200119,118181,114050,772727
"2004.",4304600,305281,136885,185964,137011,178547,119509,126905,296370,55315,89993,82285,163428,159839,316194,110581,187040,444799,201583,118448,113998,774625
"2005.",4310145,307857,136300,184705,136045,178160,118984,126060,296788,54632,89440,81944,163000,162158,315121,110871,186004,448646,203186,119171,114080,776993
"2006.",4311159,309976,135901,182992,134863,178040,118385,124948,297229,54082,88679,81383,162666,164119,313225,111237,185113,451315,204753,119891,114005,778357
"2007.",4310217,312288,135141,181000,133645,177598,117771,123795,297449,53529,87856,80777,162030,166085,310965,111579,184333,452832,206385,120647,113805,780707
"2008.",4309705,314184,134333,179126,132673,177268,117284,122788,297676,52950,87196,80264,161605,167715,309155,111488,183866,454087,207650,121514,113748,783135
"2009.",4305181,315510,133964,176877,131461,176686,116781,121820,297280,52286,86522,79588,160680,168732,307753,111375,183057,454763,208441,122308,113791,785506
"2010.",4295427,316965,133285,174359,129944,176448,116140,120742,296732,51464,85443,78683,159555,169411,306398,110262,181148,454824,208620,122596,113851,788557
"2011.",4280622,317594,132672,171725,128495,175771,115424,119448,296004,50697,84621,77775,158249,170212,304541,109072,178959,454683,208028,122456,113746,790450
"2012.",4267558,318235,131734,169379,126997,175150,114846,118083,295300,49942,83820,76651,157086,170955,302751,107595,177583,454777,207719,122337,113561,793057
"2013.",4255689,318837,130895,167036,125688,174434,114346,116959,294705,49364,83029,75801,155956,171594,300950,106540,175932,454711,207793,122197,113417,795505
"2014.",4238389,318453,129967,163975,124127,173454,113688,115536,293811,48670,82162,74991,154082,171462,298272,105532,173441,454627,208201,122355,113159,798424
"2015.",4203604,316506,128905,160292,121840,171879,112357,113746,291654,47634,80610,73473,151012,170168,294233,104315,169224,453155,208180,122280,112576,799565
