"","Republika Hrvatska","Zagrebaèka","Krapinsko zagorska","Sisaèko moslavaèka","Karlovaèka","Varaždinska","Koprivnièko križevaèka","Bjelovarsko bilogorska","Primorsko goranska","Lièko senjska","Virovitièko podravska","Požeško slavonska","Brodsko posavska","Zadarska","Osjeèko baranjska","Šibensko kninska","Vukovarsko srijemska","Splitsko dalmatinska","Istarska","Dubrovaèko neretvanska","Meðimurska","Grad Zagreb"
"1998.",44192,7490,267,2893,2095,581,758,1393,581,525,1149,645,3063,2608,2600,2816,933,3419,2790,1532,218,6054
"1999.",18625,4625,131,991,587,164,320,-146,624,-212,48,82,1106,1231,1205,1388,119,2295,1636,541,141,1627
"2000.",23432,4257,51,1033,259,160,274,36,1152,-53,176,285,1210,1460,918,1240,432,4110,2080,993,104,3194
"2001.",16927,3439,48,174,-28,47,66,-162,1134,97,-157,150,480,1609,340,902,-281,4249,1476,712,79,2580
"2002.",8598,3124,-124,-219,-328,-63,-50,-232,911,23,-140,-204,-166,1522,15,708,-849,2299,1589,333,7,-108
"2003.",11921,3342,67,-296,-66,-40,-85,-290,1038,162,-193,-312,-320,1639,26,641,-954,2243,1765,264,23,2748
"2004.",11571,2708,21,-305,-21,-65,-27,-388,896,84,-649,-241,-264,1779,-421,704,-789,3051,1468,545,-55,3076
"2005.",8218,2641,123,-638,-204,2,-76,-425,993,-51,-294,-322,-162,1938,-623,714,-718,1846,1439,503,-71,1114
"2006.",7286,2235,-55,-712,-347,-35,-169,-428,946,-80,-439,-377,-337,2070,-851,922,-703,1140,1436,541,-130,2169
"2007.",5620,2100,-44,-1155,-258,139,-22,-523,752,-167,-411,-352,-183,1628,-1053,426,-191,721,1357,518,-123,2461
"2008.",7053,1841,43,-951,-222,134,33,-271,653,-98,-217,-341,-194,1456,-307,482,-247,860,1388,733,-107,2385
"2009.",-1472,1300,47,-1528,-694,56,-96,-362,307,-510,-730,-621,-988,749,-565,-344,-1010,168,697,497,-11,2166
"2010.",-4875,894,-50,-1328,-517,-27,-107,-645,232,-303,-439,-507,-700,669,-624,-753,-1392,-430,85,-212,-88,1367
"2011.",-4165,865,-120,-1551,-586,66,-145,-771,249,-297,-326,-685,-689,742,-554,-900,-1239,32,-89,-158,-148,2139
"2012.",-3918,714,-169,-1529,-504,-124,-85,-574,368,-335,-447,-810,-699,727,-766,-857,-871,-169,214,10,-164,2152
"2013.",-4884,405,-152,-1947,-678,-245,-148,-715,245,-83,-443,-417,-1289,361,-1207,-529,-1624,456,650,-160,-235,2871
"2014.",-10220,-322,-248,-1749,-830,-564,-556,-747,38,-304,-706,-700,-1608,-369,-1770,-228,-2579,-483,783,114,-432,3040
"2015.",-17945,-1366,-271,-2186,-664,-544,-621,-1115,-1153,-404,-1172,-1243,-2254,-618,-2634,-658,-2712,-346,390,-84,-422,2132
