"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska"
"2003.",26153,5641,987,1111,934,722,685,722,1794,679,506,519,1131,1310,1596,767,1000,2889,1791,832,537
"2004.",24271,5565,736,958,828,552,665,600,1628,574,504,394,1023,1116,1568,800,1018,2781,1815,735,411
"2005.",21773,4728,664,1101,677,579,631,573,1416,398,456,417,882,1080,1380,739,617,2648,1541,853,393
"2006.",23136,5091,743,1145,775,600,611,654,1601,391,430,443,1019,1042,1678,769,695,2633,1593,797,426
"2007.",25092,5386,689,1281,966,659,679,607,1561,434,481,431,1143,1255,1800,764,1076,2819,1696,855,510
"2008.",22395,4655,605,1108,739,658,636,494,1501,421,429,372,1035,1115,1589,699,997,2610,1464,790,478
"2009.",21923,4945,546,951,706,627,565,572,1603,432,455,378,1020,1109,1552,606,920,2425,1439,667,405
"2010.",18333,4044,504,774,615,530,374,468,1294,354,390,378,741,1030,1217,530,821,2119,1209,636,305
"2011.",18065,4132,450,791,528,497,423,459,1310,374,388,346,777,929,1120,531,846,2015,1162,615,372
"2012.",16010,3790,429,732,509,436,364,364,1130,391,319,243,667,826,1096,484,781,1578,1046,527,298
"2013.",15274,3570,337,643,455,507,372,419,1081,351,312,263,644,811,1051,448,731,1558,954,489,278
"2014.",14222,3466,296,580,457,403,354,371,1013,277,216,234,607,722,883,497,725,1437,918,454,312
"2015.",15024,3431,356,576,491,496,384,424,929,374,260,234,702,759,898,467,793,1596,967,590,297
