"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska"
"2003.",701,98,24,41,34,35,15,22,46,33,19,7,37,25,70,26,27,59,38,25,20
"2004.",608,98,18,24,26,19,25,18,48,23,14,9,22,31,38,31,23,69,38,19,15
"2005.",597,114,14,26,20,12,19,33,43,11,22,5,21,32,41,23,21,64,45,20,11
"2006.",614,103,18,25,25,27,17,23,46,14,17,12,27,40,45,22,26,42,40,25,20
"2007.",619,115,18,26,28,14,11,20,55,22,10,10,24,29,51,19,31,60,41,22,13
"2008.",664,113,20,35,26,32,15,20,36,33,25,12,48,25,38,28,33,56,32,26,11
"2009.",548,94,20,25,21,15,17,18,38,16,18,9,25,20,41,21,29,48,36,21,16
"2010.",426,88,15,14,15,16,9,19,35,16,15,10,18,21,28,11,18,26,27,16,9
"2011.",418,76,11,15,21,13,10,18,34,15,12,6,29,21,25,18,17,32,18,18,9
"2012.",393,67,11,13,21,10,10,12,26,31,10,10,18,19,27,23,15,25,27,12,6
"2013.",368,63,18,20,11,16,6,13,25,16,10,8,15,8,30,12,22,33,15,18,9
"2014.",308,47,11,20,18,12,7,12,28,8,10,4,9,18,13,17,12,27,19,9,7
"2015.",348,44,9,15,20,10,13,14,17,12,8,4,9,22,35,18,20,34,24,14,6
