"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska"
"2003.",26854,5739,1011,1152,968,757,700,744,1840,712,525,526,1168,1335,1666,793,1027,2948,1829,857,557
"2004.",24879,5663,754,982,854,571,690,618,1676,597,518,403,1045,1147,1606,831,1041,2850,1853,754,426
"2005.",22370,4842,678,1127,697,591,650,606,1459,409,478,422,903,1112,1421,762,638,2712,1586,873,404
"2006.",23750,5194,761,1170,800,627,628,677,1647,405,447,455,1046,1082,1723,791,721,2675,1633,822,446
"2007.",25711,5501,707,1307,994,673,690,627,1616,456,491,441,1167,1284,1851,783,1107,2879,1737,877,523
"2008.",23059,4768,625,1143,765,690,651,514,1537,454,454,384,1083,1140,1627,727,1030,2666,1496,816,489
"2009.",22471,5039,566,976,727,642,582,590,1641,448,473,387,1045,1129,1593,627,949,2473,1475,688,421
"2010.",18759,4132,519,788,630,546,383,487,1329,370,405,388,759,1051,1245,541,839,2145,1236,652,314
"2011.",18483,4208,461,806,549,510,433,477,1344,389,400,352,806,950,1145,549,863,2047,1180,633,381
"2012.",16403,3857,440,745,530,446,374,376,1156,422,329,253,685,845,1123,507,796,1603,1073,539,304
"2013.",15642,3633,355,663,466,523,378,432,1106,367,322,271,659,819,1081,460,753,1591,969,507,287
"2014.",14530,3513,307,600,475,415,361,383,1041,285,226,238,616,740,896,514,737,1464,937,463,319
"2015.",15372,3475,365,591,511,506,397,438,946,386,268,238,711,781,933,485,813,1630,991,604,303
