"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska"
"2003.",17959,3937,624,765,594,526,465,509,1315,408,358,347,724,898,1042,516,653,1996,1312,566,404
"2004.",16600,3758,485,656,535,417,476,419,1167,338,336,265,669,786,1069,533,643,1958,1260,527,303
"2005.",15149,3346,453,754,459,410,423,410,1070,252,297,256,592,744,899,496,405,1902,1057,613,311
"2006.",16155,3658,473,784,508,455,435,440,1194,269,302,281,652,707,1114,516,475,1859,1131,572,330
"2007.",17481,3821,459,884,581,499,462,419,1181,272,315,304,738,877,1120,558,696,2064,1221,630,380
"2008.",15698,3359,397,756,517,458,442,346,1186,267,291,265,648,788,1045,497,631,1819,1070,561,355
"2009.",15237,3491,373,666,481,451,384,394,1204,286,297,263,636,753,1018,419,594,1745,1010,482,290
"2010.",12870,2880,316,560,388,400,286,308,981,227,261,233,510,715,833,387,508,1543,857,442,235
"2011.",12843,2994,308,569,374,366,314,324,991,246,279,233,499,639,768,371,525,1475,867,429,272
"2012.",11418,2753,293,484,336,356,277,281,892,239,220,160,457,568,720,350,456,1207,765,384,220
"2013.",10897,2598,248,441,306,384,283,277,841,210,209,166,419,591,718,304,437,1154,717,373,221
"2014.",10323,2544,219,392,311,320,271,270,799,203,161,158,414,504,601,363,473,1087,674,334,225
"2015.",10721,2507,242,380,344,365,263,307,747,252,187,160,427,541,595,344,495,1183,722,416,244
