"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska"
"2003.",633,91,21,34,32,31,14,21,38,28,18,6,33,21,65,21,27,55,35,24,18
"2004.",540,86,17,22,25,18,21,16,43,15,10,8,21,30,33,25,22,62,34,18,14
"2005.",530,104,13,22,19,11,16,29,35,11,15,5,18,28,40,21,20,56,37,19,11
"2006.",551,96,18,23,23,26,16,20,37,14,16,10,25,32,41,19,24,40,31,23,17
"2007.",548,99,16,24,25,14,10,19,48,18,9,10,23,26,44,18,24,55,36,17,13
"2008.",585,99,19,30,23,26,13,18,35,16,23,12,41,24,36,20,30,55,31,23,11
"2009.",493,82,19,23,19,15,16,17,37,14,18,7,20,20,37,17,24,42,33,18,15
"2010.",402,83,13,14,14,15,8,19,35,13,15,9,17,19,27,11,16,26,25,14,9
"2011.",385,71,10,12,16,11,9,16,33,15,12,4,26,19,24,16,15,32,17,18,9
"2012.",355,61,11,12,18,9,10,11,23,20,10,9,17,19,27,20,13,25,25,9,6
"2013.",328,55,16,16,10,14,4,13,25,11,9,8,13,8,27,11,19,30,13,17,9
"2014.",284,44,11,16,16,11,7,11,25,7,10,4,9,17,12,17,9,25,19,7,7
"2015.",317,41,8,13,18,10,9,14,16,11,7,4,9,21,33,14,18,31,20,14,6
