"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2001.",75476,5514,2371,1717,3671,3815,2320,3225,4506,713,906,2002,1858,1570,6464,756,2460,5744,4768,1079,2097,17920
"2002.",82992,6209,1871,2414,3814,5134,1974,2863,4978,1004,1421,2759,2525,1413,6350,1152,2397,6222,4486,1076,2161,20772
"2003.",87907,7092,2911,2097,3847,6324,1831,3880,4499,1168,969,1952,2456,1855,5420,1263,2720,7581,6097,1226,2218,20501
"2004.",92429,4822,2919,2426,3640,6056,2014,2944,7106,1211,1195,1815,2971,2434,7427,1436,2985,7262,6748,1660,2948,20408
"2005.",100150,8940,2505,2608,2409,5199,2628,3623,6334,477,930,1122,3259,1830,7272,1320,2546,7686,6628,1575,2748,28512
"2006.",107753,9758,2981,2427,3100,6107,1876,2932,7871,2476,1378,1417,2633,2202,7336,1169,2884,7997,5899,1111,2588,31611
"2007.",114315,8990,3287,1751,2775,6356,2464,3798,6180,792,1334,1124,3158,2484,6864,1101,2656,7338,7620,1023,3350,39875
"2008.",110812,9367,3019,2400,2796,5193,2458,2536,6237,1521,834,1593,3872,1907,6548,702,2584,6719,6685,1281,2557,40003
"2009.",92847,9783,1919,1812,1855,5510,1977,2414,6242,589,1126,1340,2645,2121,6648,822,3331,6081,5705,846,2054,28027
"2010.",74967,7443,2028,1469,2025,4985,1409,2381,6102,635,870,844,2022,1779,6514,1280,2829,5761,4806,1130,2154,16501
"2011.",74645,8624,1624,1685,2588,4466,1792,2321,5183,667,1025,964,2499,1397,6187,677,2447,5619,5427,741,2247,16465
"2012.",65439,8072,1611,1524,2048,4751,1866,1800,5027,567,974,855,2037,1365,5058,589,1520,4887,4074,717,1877,14220
"2013.",67500,8259,1845,1451,2370,4243,1768,1370,5398,568,1026,1036,2791,1491,6091,800,1451,3260,4802,719,2178,14584
"2014.",66146,6853,1817,1439,1812,4177,1353,1462,4188,581,519,1416,2434,972,6771,1049,1505,3293,4755,712,1929,17108
"2015.",66491,6714,2230,1627,1962,3906,1727,1773,4810,807,875,1149,2312,1194,6528,773,1516,3243,3854,719,2526,16246
