"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",501,709,758,463,449,909,672,564,417,355,451,397,455,463,389,403,413,546,650,548,756,1172
"2006.",509,616,758,461,462,924,666,563,432,378,450,397,455,482,388,419,412,552,667,548,754,1167
"2007.",513,620,772,461,462,949,666,563,436,379,455,397,462,488,397,423,415,562,667,551,763,1171
"2008.",517,620,771,430,471,948,644,553,447,380,435,401,457,507,412,434,413,588,663,566,874,1208
"2009.",518,634,772,430,471,948,644,553,446,380,435,401,458,507,421,432,412,586,664,578,873,1211
"2010.",518,631,781,430,471,947,644,553,447,380,416,409,458,512,420,433,414,584,664,573,879,1212
"2011.",520,634,781,430,471,957,644,553,447,379,421,409,458,516,420,432,415,587,668,585,878,1211
"2012.",472,520,765,401,413,906,618,504,427,339,423,378,445,492,396,382,386,573,627,556,775,112
"2013.",474,526,784,401,415,929,622,504,430,337,423,378,445,492,396,383,386,577,627,568,776,112
"2014.",473,502,790,393,418,938,622,504,430,337,423,379,445,490,397,382,387,580,626,581,798,107
"2015.",472,535,794,396,417,938,599,447,430,337,423,380,447,490,397,382,387,579,625,580,795,111
